productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
532104,500 Years in the Future - Booster Pack,500 Years in the Future Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/532104_200w.jpg,68,23387,https://cpt.tcgcsv.com/6Sg6,2024-06-28T04:03:18.813,1,10.0,11.47,14.99,10.62,,Normal,,,,,,,,,,,
532105,500 Years in the Future - Sleeved Booster Pack,500 Years in the Future Sleeved Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/532105_200w.jpg,68,23387,https://cpt.tcgcsv.com/7Sg6,2025-08-22T13:22:54.91,1,25.0,39.24,95.0,26.18,,Normal,,,,,,,,,,,
532106,500 Years in the Future - Booster Box,500 Years in the Future Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/532106_200w.jpg,68,23387,https://cpt.tcgcsv.com/8Sg6,2024-11-25T13:14:03.38,1,350.0,389.0,9999.0,347.81,,Normal,,,,,,,,,,,
532107,500 Years in the Future - Booster Box Case,500 Years in the Future Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/532107_200w.jpg,68,23387,https://cpt.tcgcsv.com/9Sg6,2024-11-25T13:14:10.313,1,3450.0,3900.0,11969.69,3481.89,,Normal,,,,,,,,,,,
545778,Monkey.D.Dragon (001),MonkeyDDragon 001,https://tcgplayer-cdn.tcgplayer.com/product/545778_200w.jpg,68,23387,https://cpt.tcgcsv.com/Bkn6,2024-06-28T04:03:18.813,1,0.02,0.19,5.0,0.14,,Normal,L,OP07-001,[Activate:Main][Once Per Turn]Give up to 2 total of your currently given DON!! cards to 1 of your Characters.,Red,Leader,5,5000,Revolutionary Army,Special,,
545779,Monkey.D.Dragon (001) (Parallel),MonkeyDDragon 001 Parallel,https://tcgplayer-cdn.tcgplayer.com/product/545779_200w.jpg,68,23387,https://cpt.tcgcsv.com/Ckn6,2024-06-28T04:03:18.813,1,19.14,24.0,99.99,20.17,,Foil,L,OP07-001,[Activate:Main][Once Per Turn]Give up to 2 total of your currently given DON!! cards to 1 of your Characters.,Red,Leader,5,5000,Revolutionary Army,Special,,
545780,Ain,Ain,https://tcgplayer-cdn.tcgplayer.com/product/545780_200w.jpg,68,23387,https://cpt.tcgcsv.com/Dkn6,2024-06-28T04:03:18.813,1,0.05,0.28,5.0,0.27,,Foil,R,OP07-002,[On Play] Set the power of up to 1 of your opponent's Characters to 0 during this turn.,Red,Character,,6000,FILM;Neo Navy,Special,7,
545781,Outlook III,Outlook III,https://tcgplayer-cdn.tcgplayer.com/product/545781_200w.jpg,68,23387,https://cpt.tcgcsv.com/Fkn6,2024-06-28T04:03:18.813,1,0.01,0.19,5.0,0.09,,Foil,R,OP07-003,[Activate:Main] <strong>You may trash this Character</strong>: Give up to 2 of your opponent's Characters -2000 power during this turn.,Red,Character,,0,Goa Kingdom,Wisdom,2,1000
545782,Curly.Dadan,CurlyDadan,https://tcgplayer-cdn.tcgplayer.com/product/545782_200w.jpg,68,23387,https://cpt.tcgcsv.com/Gkn6,2024-06-28T04:03:18.813,1,0.01,0.2,5.0,0.1,,Foil,R,OP07-004,"[On Play] <strong>You may trash 1 card from your hand</strong>: Look at 5 cards from the top of your deck; reveal up to 1 Character card with 2000 power or less and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Red,Character,,3000,Mountain Bandits;Mountain Bandits,Slash,2,1000
545783,Carina,Carina,https://tcgplayer-cdn.tcgplayer.com/product/545783_200w.jpg,68,23387,https://cpt.tcgcsv.com/Hkn6,2024-06-28T04:03:18.813,1,0.01,0.24,5.0,0.18,,Foil,R,OP07-005,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
[On Play] Give up to 1 of your opponent's Characters -2000 power during this turn.",Red,Character,,0,FILM;Grantesoro,Wisdom,3,1000
545784,Carina (Parallel),Carina Parallel,https://tcgplayer-cdn.tcgplayer.com/product/545784_200w.jpg,68,23387,https://cpt.tcgcsv.com/Jkn6,2024-06-28T04:03:18.813,1,5.0,7.17,20.0,5.86,,Foil,R,OP07-005,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
[On Play] Give up to 1 of your opponent's Characters -2000 power during this turn.",Red,Character,,0,FILM;Grantesoro,Wisdom,3,1000
545785,Sterry,Sterry,https://tcgplayer-cdn.tcgplayer.com/product/545785_200w.jpg,68,23387,https://cpt.tcgcsv.com/Kkn6,2024-06-28T04:03:18.813,1,0.01,0.12,3.0,0.04,,Normal,C,OP07-006,[On Play] <strong>You may give your 1 active Leader -5000 power during this turn</strong>: Draw 1 card and trash 1 card from your hand.,Red,Character,,1000,Goa Kingdom,Wisdom,1,1000
