productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
606561,Double Pack Set Volume 7,Double Pack Set Volume 7,https://tcgplayer-cdn.tcgplayer.com/product/606561_200w.jpg,68,24241,https://cpt.tcgcsv.com/fFS6,2025-06-06T04:10:18.077,1,69.99,73.38,99.99,65.17,,Normal,,,,,,,,,,,
606562,Double Pack Set Volume 7 Display,Double Pack Set Volume 7 Display,https://tcgplayer-cdn.tcgplayer.com/product/606562_200w.jpg,68,24241,https://cpt.tcgcsv.com/gFS6,2025-06-06T04:10:18.077,1,695.68,700.0,999.99,634.73,,Normal,,,,,,,,,,,
620179,A Fist of Divine Speed Booster Pack,A Fist of Divine Speed Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/620179_200w.jpg,68,24241,https://cpt.tcgcsv.com/C5-6,2025-06-06T04:10:17.127,1,10.0,12.0,34.24,11.17,,Normal,,,,,,,,,,,
620180,A Fist of Divine Speed Booster Box,A Fist of Divine Speed Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/620180_200w.jpg,68,24241,https://cpt.tcgcsv.com/D5-6,2025-06-06T04:10:17.127,1,594.99,709.99,1200.0,638.95,,Normal,,,,,,,,,,,
620181,A Fist of Divine Speed Booster Box Case,A Fist of Divine Speed Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/620181_200w.jpg,68,24241,https://cpt.tcgcsv.com/F5-6,2025-06-06T04:10:17.127,1,7440.99,7699.5,23999.95,5802.48,,Normal,,,,,,,,,,,
632355,Koby (001),Koby 001,https://tcgplayer-cdn.tcgplayer.com/product/632355_200w.jpg,68,24241,https://cpt.tcgcsv.com/7Z37,2025-06-06T04:10:17.127,1,0.01,0.18,5.0,0.12,,Normal,L,OP11-001,"Your ""SWORD"" type Characters can attack Characters on the turn in which they are played.<br>
[Once Per Turn] If your ""Navy"" type Character with 7000 base power or less would be removed from the field by your opponent's effect, you may place 3 cards from your trash at the bottom of your deck in any order instead.",Red;Black,Leader,4,5000,Navy;SWORD,Strike,,
632356,Koby (001) (Alternate Art),Koby 001 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/632356_200w.jpg,68,24241,https://cpt.tcgcsv.com/8Z37,2025-06-06T04:10:17.127,1,24.99,34.99,9999.0,29.93,,Foil,L,OP11-001,"Your ""SWORD"" type Characters can attack Characters on the turn in which they are played.<br>
[Once Per Turn] If your ""Navy"" type Character with 7000 base power or less would be removed from the field by your opponent's effect, you may place 3 cards from your trash at the bottom of your deck in any order instead.",Red;Black,Leader,4,5000,Navy;SWORD,Strike,,
632357,Ain,Ain,https://tcgplayer-cdn.tcgplayer.com/product/632357_200w.jpg,68,24241,https://cpt.tcgcsv.com/9Z37,2025-06-06T04:10:17.127,1,0.01,0.13,4.99,0.09,,Normal,C,OP11-002,"[On Play] Give up to 1 of your opponent's Characters 1000 power during this turn. Then, K.O. up to 1 of your opponent's Characters with 0 power or less.",Red,Character,,4000,FILM;Neo Navy,Special,3,1000
632358,Usopp,Usopp,https://tcgplayer-cdn.tcgplayer.com/product/632358_200w.jpg,68,24241,https://cpt.tcgcsv.com/bZ37,2025-06-06T04:10:17.127,1,0.01,0.15,3.0,0.12,,Normal,UC,OP11-003,,Red,Character,,6000,Straw Hat Crew,Ranged,5,2000
632359,Kujyaku,Kujyaku,https://tcgplayer-cdn.tcgplayer.com/product/632359_200w.jpg,68,24241,https://cpt.tcgcsv.com/cZ37,2025-06-06T04:10:17.127,1,0.5,1.15,13.0,0.96,,Foil,SR,OP11-004,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 ""Navy"" type card other than ""Kujyaku"" and add it to your hand. Then, place the rest at the bottom of your deck in any order.<br>
[Activate: Main] <strong>You may trash this Character:</strong> Up to 1 of your Characters gains +1000 power during this turn.",Red,Character,,,Navy;SWORD,Special,1,1000
632360,Kujyaku (Alternate Art),Kujyaku Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/632360_200w.jpg,68,24241,https://cpt.tcgcsv.com/dZ37,2025-06-06T04:10:17.127,1,11.29,14.22,32.05,12.05,,Foil,SR,OP11-004,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 ""Navy"" type card other than ""Kujyaku"" and add it to your hand. Then, place the rest at the bottom of your deck in any order.<br>
[Activate: Main] <strong>You may trash this Character:</strong> Up to 1 of your Characters gains +1000 power during this turn.",Red,Character,,,Navy;SWORD,Special,1,1000
632361,Smoker,Smoker,https://tcgplayer-cdn.tcgplayer.com/product/632361_200w.jpg,68,24241,https://cpt.tcgcsv.com/fZ37,2025-06-06T04:10:17.127,1,0.01,0.1,4.89,0.07,,Normal,C,OP11-005,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em><br>
[DON!! x1] This Character cannot be K.O.'d by effects of Characters without the (Special) attribute.",Red,Character,,5000,Navy,Special,4,1000
632362,Zephyr,Zephyr,https://tcgplayer-cdn.tcgplayer.com/product/632362_200w.jpg,68,24241,https://cpt.tcgcsv.com/gZ37,2025-06-06T04:10:17.127,1,0.01,0.11,4.0,0.07,,Normal,C,OP11-006,[DON!! x1] [When Attacking] Give up to 1 of your opponent's (Special) attribute Characters 5000 power during this turn.,Red,Character,,6000,FILM;Neo Navy,Strike,5,1000
632363,Tashigi,Tashigi,https://tcgplayer-cdn.tcgplayer.com/product/632363_200w.jpg,68,24241,https://cpt.tcgcsv.com/hZ37,2025-06-06T04:10:17.127,1,0.01,0.12,4.0,0.08,,Normal,C,OP11-007,"[Activate: Main] <strong>You may rest this Character:</strong> If your Leader has the ""Navy"" type, up to 1 of your ""Navy"" type Characters gains +2000 power during this turn.",Red,Character,,1000,Navy,Slash,1,1000
632364,Doll,Doll,https://tcgplayer-cdn.tcgplayer.com/product/632364_200w.jpg,68,24241,https://cpt.tcgcsv.com/jZ37,2025-06-06T04:10:17.127,1,0.05,0.23,5.0,0.18,,Foil,R,OP11-008,"[Blocker]<br>
[On Play] <strong>You may trash 1 card from your hand:</strong> If your Leader has the ""Navy"" type, give up to 1 of your opponent's Characters 6000 power during this turn.",Red,Character,,1000,Navy,Strike,4,1000
632365,Doll (Alternate Art),Doll Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/632365_200w.jpg,68,24241,https://cpt.tcgcsv.com/kZ37,2025-06-06T04:10:17.127,1,10.0,18.81,99.99,14.55,,Foil,R,OP11-008,"[Blocker]<br>
[On Play] <strong>You may trash 1 card from your hand:</strong> If your Leader has the ""Navy"" type, give up to 1 of your opponent's Characters 6000 power during this turn.",Red,Character,,1000,Navy,Strike,4,1000
632366,Nico Robin,Nico Robin,https://tcgplayer-cdn.tcgplayer.com/product/632366_200w.jpg,68,24241,https://cpt.tcgcsv.com/lZ37,2025-06-06T04:10:17.127,1,0.01,0.15,20.08,0.15,,Normal,C,OP11-009,[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters 2000 power until the end of your opponent's next turn.,Red,Character,,4000,Straw Hat Crew,Strike,3,1000
632367,Hibari,Hibari,https://tcgplayer-cdn.tcgplayer.com/product/632367_200w.jpg,68,24241,https://cpt.tcgcsv.com/mZ37,2025-06-06T04:10:17.127,1,0.15,0.5,25.0,0.41,,Foil,SR,OP11-010,"[On Play] Give up to 1 of your opponent's Characters 2000 power during this turn.<br>
[When Attacking] This Character gains +1000 power during this turn. Then, up to 1 of your ""Navy"" type Leader can also attack active Characters during this turn.",Red,Character,,6000,Navy;SWORD,Ranged,5,
