productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extPower,extSubtypes,extAttribute,extCounterplus,extLife
682056,Adventure on Kami's Island Booster Pack,Adventure on Kamis Island Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/682056_200w.jpg,68,24637,https://cpt.tcgcsv.com/8Rs7,2026-04-03T04:10:15.333,1,5.0,6.99,15.06,6.7,,Normal,,,,,,,,,,,
682057,Adventure on Kami's Island Booster Box,Adventure on Kamis Island Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/682057_200w.jpg,68,24637,https://cpt.tcgcsv.com/9Rs7,2026-04-07T17:10:44.45,1,239.99,275.0,400.0,250.26,,Normal,,,,,,,,,,,
682058,Adventure on Kami's Island Booster Box Case,Adventure on Kamis Island Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/682058_200w.jpg,68,24637,https://cpt.tcgcsv.com/bRs7,2026-04-03T04:10:15.333,1,3149.99,3500.0,25329.99,2822.59,,Normal,,,,,,,,,,,
682789,Double Pack Set Vol. 10,Double Pack Set Vol 10,https://tcgplayer-cdn.tcgplayer.com/product/682789_200w.jpg,68,24637,https://cpt.tcgcsv.com/P7t7,2026-04-03T04:10:15.333,1,50.99,53.5,69.99,34.93,,Normal,,,,,,,,,,,
682790,Double Pack Set Vol. 10 Display,Double Pack Set Vol 10 Display,https://tcgplayer-cdn.tcgplayer.com/product/682790_200w.jpg,68,24637,https://cpt.tcgcsv.com/Q7t7,2026-04-03T04:10:15.333,1,319.98,336.49,800.0,240.68,,Normal,,,,,,,,,,,
685008,Enel (SP),Enel SP,https://tcgplayer-cdn.tcgplayer.com/product/685008_200w.jpg,68,24637,https://cpt.tcgcsv.com/b0v7,2026-04-03T04:10:15.333,1,130.0,142.09,400.0,138.26,,Foil,SR,EB02-052,"If your Leader has the ""Sky Island"" type, this Character gains [Rush].<br>
[When Attacking] <strong>You may trash 1 card from your hand:</strong> If you have 1 or less Life cards, add up to 1 card from the top of your deck to the top of your Life cards. Then, this Character gains +1000 power during this turn.",Yellow,Character,10,11000,Sky Island,Special,,
685009,Zeus (SP),Zeus SP,https://tcgplayer-cdn.tcgplayer.com/product/685009_200w.jpg,68,24637,https://cpt.tcgcsv.com/c0v7,2026-04-03T04:10:15.333,1,390.1,500.0,830.0,488.77,,Foil,R,OP11-106,[On Play] <strong>You may add 1 card from the top or bottom of your Life cards to your hand:</strong> K.O. up to 1 of your opponent's Characters with a cost of 5 or less.,Yellow,Character,2,2000,Big Mom Pirates;Homies,Special,2000,
685011,Boa Hancock (SP),Boa Hancock SP,https://tcgplayer-cdn.tcgplayer.com/product/685011_200w.jpg,68,24637,https://cpt.tcgcsv.com/f0v7,2026-04-03T04:10:15.333,1,495.0,549.5,850.0,562.88,,Foil,SR,OP12-014,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 [Monkey.D.Luffy] or red Event and add it to your hand. Then, place the rest at the bottom of your deck in any order.<br>
[Activate: Main] <strong>You may trash this Character:</strong> Give up to 2 rested DON!! cards to your Leader or 1 of your Characters.",Red,Character,2,3000,Kuja Pirates;The Seven Warlords of the Sea,Special,,
685017,Trafalgar Law (SP),Trafalgar Law SP,https://tcgplayer-cdn.tcgplayer.com/product/685017_200w.jpg,68,24637,https://cpt.tcgcsv.com/m0v7,2026-04-03T04:10:15.333,1,298.01,345.0,9999.0,295.76,,Foil,R,OP13-031,"If you have 1 or less Life cards, this Character gains [Blocker].<br>
[On Play] <strong>You may return 1 of your Characters to the owner's hand:</strong> Play up to 1 Character card with a cost of 5 or less from your hand rested.",Green,Character,6,6000,FILM;Heart Pirates;Supernovas,Slash,,
685019,Edward.Newgate (SP),EdwardNewgate SP,https://tcgplayer-cdn.tcgplayer.com/product/685019_200w.jpg,68,24637,https://cpt.tcgcsv.com/p0v7,2026-04-03T04:10:15.333,1,205.0,248.5,549.95,250.18,,Foil,SR,OP13-042,"[Blocker]<br>
[On Play] Draw 2 cards and trash 1 card from your hand. Then, give your Leader and 1 Character up to 2 rested DON!! cards each.",Blue,Character,10,12000,The Four Emperors;Whitebeard Pirates,Special,,
685031,Sabo (P-105) (SP),Sabo P 105 SP,https://tcgplayer-cdn.tcgplayer.com/product/685031_200w.jpg,68,24637,https://cpt.tcgcsv.com/F0v7,2026-04-03T04:10:15.333,1,99.0,117.5,624.0,97.65,,Foil,PR,P-105,"If your Leader has the {Revolutionary Army} type, this Character gains [Blocker] and +4 cost.
<br>[On Play] <strong>You may add 1 card from the top or bottom of your Life cards to your hand:</strong> Give up to 1 rested DON!! card to your Leader or 1 of your Characters.",Black,Character,4,6000,Revolutionary Army,Special,,
685032,Sabo (PRB02-014) (SP),Sabo PRB02 014 SP,https://tcgplayer-cdn.tcgplayer.com/product/685032_200w.jpg,68,24637,https://cpt.tcgcsv.com/G0v7,2026-04-03T04:10:15.333,1,216.32,246.99,2655.0,242.65,,Foil,SR,PRB02-014,"If you have 15 or more cards in your trash, give this card in your hand -3 cost.
<br>[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Black,Character,6,6000,Revolutionary Army;Dressrosa,Special,2000,
685194,Monkey.D.Luffy (SP),MonkeyDLuffy SP,https://tcgplayer-cdn.tcgplayer.com/product/685194_200w.jpg,68,24637,https://cpt.tcgcsv.com/V5v7,2026-04-03T04:10:15.333,1,599.0,700.25,2500.0,624.21,,Foil,SR,ST26-005,"[On Play] / [When Attacking] <strong>DON!! -2 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.)</em>:</strong> If your Leader is multicolored and your opponent has 5 or more DON!! cards on their field, your ""Straw Hat Crew"" type Leader's base power becomes 7000 until the end of your opponent's next End Phase.",Purple,Character,6,7000,Straw Hat Crew,Strike,,
685295,Jewelry Bonney (EB04-001),Jewelry Bonney EB04 001,https://tcgplayer-cdn.tcgplayer.com/product/685295_200w.jpg,68,24637,https://cpt.tcgcsv.com/W7v7,2026-04-03T04:10:15.333,1,0.03,0.23,5.0,0.2,,Normal,L,EB04-001,"[Opponent's Turn] If you have 1 or less Life cards, this Leader gains +2000 power.<br>
[Activate: Main] [Once Per Turn] Give up to 1 of your opponent's Characters -1000 power during this turn. Then, if you have 2 or more Life cards, you may add 1 card from the top of your Life cards to your hand.",Red;Yellow,Leader,,5000,Bonney Pirates;Egghead,Special,,4
685296,Jewelry Bonney (EB04-001) (Alternate Art),Jewelry Bonney EB04 001 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/685296_200w.jpg,68,24637,https://cpt.tcgcsv.com/X7v7,2026-04-03T04:10:15.333,1,44.0,50.0,127.94,44.34,,Foil,L,EB04-001,"[Opponent's Turn] If you have 1 or less Life cards, this Leader gains +2000 power.<br>
[Activate: Main] [Once Per Turn] Give up to 1 of your opponent's Characters -1000 power during this turn. Then, if you have 2 or more Life cards, you may add 1 card from the top of your Life cards to your hand.",Red;Yellow,Leader,,5000,Bonney Pirates;Egghead,Special,,4
685297,Jewelry Bonney (EB04-002),Jewelry Bonney EB04 002,https://tcgplayer-cdn.tcgplayer.com/product/685297_200w.jpg,68,24637,https://cpt.tcgcsv.com/Z7v7,2026-04-03T04:10:15.333,1,0.1,0.3,14.87,0.31,,Foil,R,EB04-002,"[On Play] Look at 4 cards from the top of your deck; reveal up to 1 {Egghead} or {Straw Hat Crew} type card other than [Jewelry Bonney] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Red,Character,1,2000,Bonney Pirates;Egghead,Special,1000,
685298,Jewelry Bonney (EB04-002) (Alternate Art),Jewelry Bonney EB04 002 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/685298_200w.jpg,68,24637,https://cpt.tcgcsv.com/-7v7,2026-04-23T20:00:41.587,1,30.0,34.73,70.0,31.33,,Foil,R,EB04-002,"[On Play] Look at 4 cards from the top of your deck; reveal up to 1 {Egghead} or {Straw Hat Crew} type card other than [Jewelry Bonney] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Red,Character,1,2000,Bonney Pirates;Egghead,Special,1000,
685299,Smoker & Tashigi,Smoker and Tashigi,https://tcgplayer-cdn.tcgplayer.com/product/685299_200w.jpg,68,24637,https://cpt.tcgcsv.com/_7v7,2026-04-14T18:51:43.103,1,0.04,0.24,5.14,0.2,,Foil,R,EB04-003,"[Rush] <em>(This card can attack on the turn in which it is played.)</em><br>
[Opponent's Turn] Your {Navy} type Leader's base power becomes 7000.",Red,Character,8,8000,Navy;Punk Hazard,Slash;Special,,
685300,Zeff,Zeff,https://tcgplayer-cdn.tcgplayer.com/product/685300_200w.jpg,68,24637,https://cpt.tcgcsv.com/08v7,2026-04-23T20:01:08.37,1,0.01,0.14,6.99,0.09,,Normal,C,EB04-004,[When Attacking] Your Leader's base power becomes 7000 until the end of your opponent's next End Phase.,Red,Character,7,8000,East Blue,Strike,,
685301,Trafalgar Law,Trafalgar Law,https://tcgplayer-cdn.tcgplayer.com/product/685301_200w.jpg,68,24637,https://cpt.tcgcsv.com/28v7,2026-04-03T04:10:15.333,1,0.01,0.13,6.99,0.06,,Normal,C,EB04-005,This Character cannot attack unless your opponent has 2 or more Characters with a base power of 5000 or more.,Red,Character,3,5000,Heart Pirates;Supernovas;The Seven Warlords of the Sea,Slash,2000,
685302,Moda,Moda,https://tcgplayer-cdn.tcgplayer.com/product/685302_200w.jpg,68,24637,https://cpt.tcgcsv.com/38v7,2026-04-03T04:10:15.333,1,0.01,0.1,6.99,0.03,,Normal,C,EB04-006,"[On Play] Look at 7 cards from the top of your deck; reveal up to 1 [Lulucia Kingdom] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Red,Character,1,0,Lulucia Kingdom,Wisdom,2000,
685303,Roronoa Zoro (EB04-007),Roronoa Zoro EB04 007,https://tcgplayer-cdn.tcgplayer.com/product/685303_200w.jpg,68,24637,https://cpt.tcgcsv.com/58v7,2026-04-07T17:13:41.06,1,16.5,20.0,49.99,18.57,,Foil,SR,EB04-007,"[On Play] Your Leader gains +2000 power until the end of your opponent's next End Phase.[Activate: Main] [Once Per Turn] If your opponent has a Character with 8000 power or more, this Character gains [Rush: Character] during this turn.",Red,Character,7,9000,Straw Hat Crew;Egghead,Slash,,
685304,Roronoa Zoro (EB04-007) (Alternate Art),Roronoa Zoro EB04 007 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/685304_200w.jpg,68,24637,https://cpt.tcgcsv.com/68v7,2026-04-03T04:10:15.333,1,98.3,115.51,158.76,110.41,,Foil,SR,EB04-007,"[On Play] Your Leader gains +2000 power until the end of your opponent's next End Phase.<br>
[Activate: Main] [Once Per Turn] If your opponent has a Character with 8000 power or more, this Character gains [Rush: Character] during this turn.",Red,Character,7,9000,Straw Hat Crew;Egghead,Slash,,
685305,Distorted Future,Distorted Future,https://tcgplayer-cdn.tcgplayer.com/product/685305_200w.jpg,68,24637,https://cpt.tcgcsv.com/78v7,2026-04-23T20:01:32.29,1,0.02,0.29,4.0,0.23,,Foil,R,EB04-008,"[Main] If you have 2 or less Life cards, give up to 1 of your opponent's Characters -3000 power during this turn.<br>
[Counter] Your Leader gains +3000 power during this battle.",Red,Event,,,Bonney Pirates;Egghead,,1,
685306,It's My Student's Farewell. I Want It to Be Proper.,Its My Students Farewell I Want It to Be Proper,https://tcgplayer-cdn.tcgplayer.com/product/685306_200w.jpg,68,24637,https://cpt.tcgcsv.com/88v7,2026-04-03T04:10:15.333,1,0.01,0.1,6.99,0.08,,Normal,C,EB04-009,"[Main] <strong>You may give 1 active DON!! card to 1 of your [Silvers Rayleigh]:</strong> Give up to 1 of your opponent's Characters -2000 power during this turn.<br>
[Counter] Up to 1 of your Characters or [Silvers Rayleigh] gains +2000 power during this battle.",Red,Event,,,Former Roger Pirates,,,
685307,Lulucia Kingdom,Lulucia Kingdom,https://tcgplayer-cdn.tcgplayer.com/product/685307_200w.jpg,68,24637,https://cpt.tcgcsv.com/98v7,2026-04-03T04:10:15.333,1,0.01,0.1,6.99,0.03,,Normal,C,EB04-010,"[Opponent's Turn] All of your Characters with a base cost of 1 gain +5000 power.<br>
[On Play] Set the power of up to 1 of your opponent's Characters to 0 during this turn.",Red,Stage,,,Lulucia Kingdom,,7,
685308,Alpha,Alpha,https://tcgplayer-cdn.tcgplayer.com/product/685308_200w.jpg,68,24637,https://cpt.tcgcsv.com/b8v7,2026-04-03T04:10:15.333,1,0.01,0.1,6.99,0.05,,Normal,C,EB04-042,[On Play] <strong>You may trash 3 cards from the top of your deck:</strong> Give up to 1 of your opponent's Characters +1 cost during this turn.,Black,Character,1,2000,CP8,Strike,2000,
685309,Kaku,Kaku,https://tcgplayer-cdn.tcgplayer.com/product/685309_200w.jpg,68,24637,https://cpt.tcgcsv.com/c8v7,2026-04-23T20:01:50.98,1,0.01,0.19,5.0,0.11,,Foil,R,EB04-043,"[Once Per Turn] If your black Character with a base cost of 5 or less would be K.O.'d by your opponent's effect, you may place 3 cards from your trash at the bottom of your deck in any order instead.<br>
[On Play] Trash 2 cards from the top of your deck.",Black,Character,3,4000,CP0;Egghead,Slash,2000,
685310,Kaku (Alternate Art),Kaku Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/685310_200w.jpg,68,24637,https://cpt.tcgcsv.com/d8v7,2026-04-03T04:10:15.333,1,2.82,4.46,39.99,3.15,,Foil,R,EB04-043,"[Once Per Turn] If your black Character with a base cost of 5 or less would be K.O.'d by your opponent's effect, you may place 3 cards from your trash at the bottom of your deck in any order instead.<br>
[On Play] Trash 2 cards from the top of your deck.",Black,Character,3,4000,CP0;Egghead,Slash,2000,
