productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
498733,Awakening of the New Era - Booster Pack,Awakening of the New Era Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/498733_200w.jpg,68,23213,https://cpt.tcgcsv.com/Hv_5,2023-12-15T14:53:02.947,1,30.0,33.99,99.99,28.39,,Normal,,,,,,,,,,,
498734,Awakening of the New Era - Booster Box,Awakening of the New Era Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/498734_200w.jpg,68,23213,https://cpt.tcgcsv.com/Jv_5,2023-12-15T14:52:44.88,1,1099.0,1449.99,12000.0,1180.87,,Normal,,,,,,,,,,,
498735,Awakening of the New Era - Booster Box Case,Awakening of the New Era Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/498735_200w.jpg,68,23213,https://cpt.tcgcsv.com/Kv_5,2023-12-15T14:52:53.747,1,15249.0,18944.44,199999.99,11958.16,,Normal,,,,,,,,,,,
527007,Sabo (001) (Alternate Art),Sabo 001 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/527007_200w.jpg,68,23213,https://cpt.tcgcsv.com/9Qd6,2023-12-08T05:03:11.723,1,13.0,23.0,9999.0,14.76,,Foil,L,OP05-001,"[DON!! x1][Opponent's Turn][Once Per Turn] If your Character with 5000 power or more would be K.O.'d, you may give that Character -1000 power during this turn instead of that Character being K.O.'d",Red;Black,Leader,4,5000,Revolutionary Army,Special,,
527008,Belo Betty (002) (Alternate Art),Belo Betty 002 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/527008_200w.jpg,68,23213,https://cpt.tcgcsv.com/bQd6,2024-03-06T12:30:01.02,1,22.04,26.52,100.0,23.43,,Foil,L,OP05-002,"[Activate:Main][Once Per Turn] <strong>You may trash 1 ""Revolutionary Army"" type card from your hand:</strong> Up to 3 of your ""Revolutionary Army"" type Characters or Characters with a [Trigger] gain +3000 power during this turn.",Red;Yellow,Leader,4,5000,Revolutionary Army,Special,,
527009,Sabo (007),Sabo 007,https://tcgplayer-cdn.tcgplayer.com/product/527009_200w.jpg,68,23213,https://cpt.tcgcsv.com/cQd6,2023-12-08T05:03:11.723,1,0.1,0.49,999.99,0.43,,Foil,SR,OP05-007,[On Play] K.O. up to 2 of your opponent's Characters with a total power of 4000 or less.,Red,Character,,7000,Revolutionary Army,Special,6,
527010,Donquixote Rosinante (022) (Alternate Art),Donquixote Rosinante 022 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/527010_200w.jpg,68,23213,https://cpt.tcgcsv.com/dQd6,2023-12-08T05:03:11.723,1,19.36,23.37,9999.0,21.12,,Foil,L,OP05-022,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
[End of Your Turn] If you have 6 or less cards in your hand, set this Leader as active.",Blue;Green,Leader,4,5000,Donquixote Pirates;Navy,Special,,
527011,Sakazuki (Alternate Art),Sakazuki Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/527011_200w.jpg,68,23213,https://cpt.tcgcsv.com/fQd6,2023-12-08T05:03:11.723,1,20.88,30.19,9999.0,24.13,,Foil,L,OP05-041,"[Activate:Main][Once Per Turn] <strong>You may trash 1 card from your hand</strong>: Draw 1 card.
<br>
[When Attacking] Give up to 1 of your opponent's Characters -1 cost during this turn.",Blue;Black,Leader,4,5000,Navy,Special,,
527014,Monkey.D.Luffy (060) (Alternate Art),MonkeyDLuffy 060 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/527014_200w.jpg,68,23213,https://cpt.tcgcsv.com/jQd6,2023-12-08T05:03:11.723,1,119.99,140.87,9999.0,134.22,,Foil,L,OP05-060,"[Activate:Main][Once Per Turn] <strong>You may add 1 card from the top of your Life cards to your hand</strong>: If you have 0 or 3 or more DON!! cards on your field, add up to 1 DON!! card from your DON!! deck and set it as active.",Purple,Leader,5,5000,Straw Hat Crew,Strike,,
527019,Trafalgar Law (069) (Alternate Art) (Manga),Trafalgar Law 069 Alternate Art Manga,https://tcgplayer-cdn.tcgplayer.com/product/527019_200w.jpg,68,23213,https://cpt.tcgcsv.com/pQd6,2023-12-08T05:03:11.723,1,1600.0,2099.5,10000.0,1583.33,,Foil,SR,OP05-069,"[When Attacking] If your opponent has more DON!! cards on their field than you, look at 5 cards from the top of your deck; reveal up to 1 [Heart Pirates] type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Purple,Character,,5000,Heart Pirates,Slash,3,
