productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extPower,extSubtypes,extCounterplus,extAttribute,extLife
628351,Carrying On His Will Booster Pack,Carrying On His Will Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/628351_200w.jpg,68,24303,https://cpt.tcgcsv.com/2m27,2025-11-07T05:10:16.337,1,10.0,12.23,30.0,11.58,,Normal,,,,,,,,,,,
628352,Carrying On His Will Booster Box,Carrying On His Will Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/628352_200w.jpg,68,24303,https://cpt.tcgcsv.com/3m27,2025-11-07T05:10:16.337,1,420.0,627.88,4999.99,414.9,,Normal,,,,,,,,,,,
628353,Carrying On His Will Booster Box Case,Carrying On His Will Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/628353_200w.jpg,68,24303,https://cpt.tcgcsv.com/5m27,2025-11-07T05:10:16.337,1,5499.97,7999.98,52525.0,5346.93,,Normal,,,,,,,,,,,
652643,Carrying On His Will Sleeved Booster Pack,Carrying On His Will Sleeved Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/652643_200w.jpg,68,24303,https://cpt.tcgcsv.com/T3f7,2025-11-07T15:25:17.11,1,15.0,21.44,149.99,16.86,,Normal,,,,,,,,,,,
654923,Portgas.D.Ace - EB02-028 (SP),PortgasDAce EB02 028 SP,https://tcgplayer-cdn.tcgplayer.com/product/654923_200w.jpg,68,24303,https://cpt.tcgcsv.com/t-f7,2025-11-07T05:10:16.337,1,105.0,141.26,700.0,129.55,,Foil,R,EB02-028,"[On Play] If your Leader's type includes ""Whitebeard Pirates"", look at 5 cards from the top of your deck; reveal up to 1 Character card with a cost of 2 and add it to your hand. Then, place the rest at the bottom of your deck in any order and play up to 1 Character card with a cost of 2 from your hand rested.",Blue,Character,5,5000,Alabasta;Whitebeard Pirates,1000,Special,
655081,Lilith - OP07-111 (SP),Lilith OP07 111 SP,https://tcgplayer-cdn.tcgplayer.com/product/655081_200w.jpg,68,24303,https://cpt.tcgcsv.com/F2g7,2025-11-07T05:10:16.337,1,60.0,71.99,200.0,64.36,,Foil,SR,OP07-111,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 [Egghead] type card other than [Lilith] and add it to your hand. Then, place the rest at the bottom of your deck in any order.
<br>
[Trigger] If your Leader is [Vegapunk], play this card.",Yellow,Character,3,5000,Scientist;Egghead,,Wisdom,
655082,Sabo - OP07-118 (SP),Sabo OP07 118 SP,https://tcgplayer-cdn.tcgplayer.com/product/655082_200w.jpg,68,24303,https://cpt.tcgcsv.com/G2g7,2025-11-07T05:10:16.337,1,59.99,80.0,275.0,73.73,,Foil,SEC,OP07-118,[On Play] <strong>You may trash 1 card from your hand</strong>: K.O. up to 1 of your opponent's Characters with a cost of 5 or less and up to 1 of your opponent's Characters with a cost of 3 or less.,Black,Character,8,9000,Revolutionary Army,,Special,
657250,Monkey.D.Luffy (001),MonkeyDLuffy 001,https://tcgplayer-cdn.tcgplayer.com/product/657250_200w.jpg,68,24303,https://cpt.tcgcsv.com/0Wg7,2025-11-07T05:10:16.337,1,0.01,0.21,10.0,0.15,,Normal,L,OP13-001,"[DON!! x1] [On Your Opponent's Attack] If you have 5 or less active DON!! cards, you may rest any number of your DON!! cards. For every DON!! card rested this way, this Leader or up to 1 of your ""Straw Hat Crew"" type Characters gains +2000 power during this battle.",Green;Red,Leader,,5000,Straw Hat Crew;Supernovas,,Strike,4
657251,Monkey.D.Luffy (001) (Alternate Art),MonkeyDLuffy 001 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/657251_200w.jpg,68,24303,https://cpt.tcgcsv.com/2Wg7,2025-11-07T05:10:16.337,1,80.0,118.97,420.69,88.49,,Foil,L,OP13-001,"[DON!! x1] [On Your Opponent's Attack] If you have 5 or less active DON!! cards, you may rest any number of your DON!! cards. For every DON!! card rested this way, this Leader or up to 1 of your ""Straw Hat Crew"" type Characters gains +2000 power during this battle.",Green;Red,Leader,,5000,Straw Hat Crew;Supernovas,,Strike,4
657252,Portgas.D.Ace (002),PortgasDAce 002,https://tcgplayer-cdn.tcgplayer.com/product/657252_200w.jpg,68,24303,https://cpt.tcgcsv.com/3Wg7,2025-11-07T05:10:16.337,1,0.01,0.2,12.0,0.17,,Normal,L,OP13-002,"[On Your Opponent's Attack] [Once Per Turn] <strong>You may trash 1 card from your hand:</strong> Give up to 1 of your opponent's Leader or Character cards 2000 power during this battle.<br>
[DON!! x1] [Once Per Turn] When you take damage or your Character with 6000 base power or more is K.O.'d, draw 1 card.",Blue;Red,Leader,,6000,Whitebeard Pirates,,Special,3
657253,Portgas.D.Ace (002) (Alternate Art),PortgasDAce 002 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/657253_200w.jpg,68,24303,https://cpt.tcgcsv.com/5Wg7,2025-11-07T05:10:16.337,1,29.0,37.57,240.0,31.29,,Foil,L,OP13-002,"[On Your Opponent's Attack] [Once Per Turn] <strong>You may trash 1 card from your hand:</strong> Give up to 1 of your opponent's Leader or Character cards 2000 power during this battle.<br>
[DON!! x1] [Once Per Turn] When you take damage or your Character with 6000 base power or more is K.O.'d, draw 1 card.",Blue;Red,Leader,,6000,Whitebeard Pirates,,Special,3
657254,Gol.D.Roger (003),GolDRoger 003,https://tcgplayer-cdn.tcgplayer.com/product/657254_200w.jpg,68,24303,https://cpt.tcgcsv.com/6Wg7,2025-11-07T05:10:16.337,1,0.04,0.19,5.0,0.17,,Normal,L,OP13-003,"If you have any DON!! cards on your field, 1 DON!! card placed during your DON!! Phase is given to your Leader.<br>
If you have 9 or less DON!! cards on your field, give this Leader 2000 power.",Purple;Red,Leader,,7000,Roger Pirates;King of the Pirates,,Slash,5
657255,Gol.D.Roger (003) (Alternate Art),GolDRoger 003 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/657255_200w.jpg,68,24303,https://cpt.tcgcsv.com/7Wg7,2025-11-07T05:10:16.337,1,27.0,32.1,420.69,27.74,,Foil,L,OP13-003,"If you have any DON!! cards on your field, 1 DON!! card placed during your DON!! Phase is given to your Leader.<br>
If you have 9 or less DON!! cards on your field, give this Leader 2000 power.",Purple;Red,Leader,,7000,Roger Pirates;King of the Pirates,,Slash,5
657256,Sabo (004),Sabo 004,https://tcgplayer-cdn.tcgplayer.com/product/657256_200w.jpg,68,24303,https://cpt.tcgcsv.com/8Wg7,2025-11-07T05:10:16.337,1,0.01,0.19,5.0,0.15,,Normal,L,OP13-004,"If you have 4 or more Life cards, give this Leader 1000 power.<br>
[DON!! x1] If you have a Character with a cost of 8 or more, your Leader and all of your Characters gain +1000 power.",Red;Black,Leader,,5000,Revolutionary Army;Dressrosa,,Special,5
657257,Sabo (004) (Alternate Art),Sabo 004 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/657257_200w.jpg,68,24303,https://cpt.tcgcsv.com/9Wg7,2025-11-07T05:10:16.337,1,14.0,19.0,108.89,14.93,,Foil,L,OP13-004,"If you have 4 or more Life cards, give this Leader 1000 power.<br>
[DON!! x1] If you have a Character with a cost of 8 or more, your Leader and all of your Characters gain +1000 power.",Red;Black,Leader,,5000,Revolutionary Army;Dressrosa,,Special,5
657258,Inazuma,Inazuma,https://tcgplayer-cdn.tcgplayer.com/product/657258_200w.jpg,68,24303,https://cpt.tcgcsv.com/bWg7,2025-11-07T05:10:16.337,1,0.01,0.15,3.0,0.08,,Normal,UC,OP13-005,[On Play] Give up to 1 rested DON!! card to your Leader.,Red,Character,4,5000,Revolutionary Army,2000,Slash,
