productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extPower,extSubtypes,extAttribute,extCounterplus,extLife
563833,Emperors in the New World - Booster Pack,Emperors in the New World Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/563833_200w.jpg,68,23589,https://cpt.tcgcsv.com/Hxw6,2024-12-13T05:10:19.423,1,10.0,15.62,30.79,14.82,,Normal,,,,,,,,,,,
563834,Emperors in the New World - Booster Box,Emperors in the New World Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/563834_200w.jpg,68,23589,https://cpt.tcgcsv.com/Jxw6,2024-12-13T05:10:19.423,1,675.0,749.99,1000.0,668.71,,Normal,,,,,,,,,,,
563835,Emperors in the New World - Booster Box Case,Emperors in the New World Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/563835_200w.jpg,68,23589,https://cpt.tcgcsv.com/Kxw6,2024-12-13T05:10:19.423,1,8099.0,8999.99,19999.99,7513.78,,Normal,,,,,,,,,,,
563842,Double Pack Set Volume 6,Double Pack Set Volume 6,https://tcgplayer-cdn.tcgplayer.com/product/563842_200w.jpg,68,23589,https://cpt.tcgcsv.com/Sxw6,2024-12-13T05:10:19.63,1,94.99,99.99,5455.0,82.16,,Normal,,,,,,,,,,,
563843,Double Pack Set Volume 6 Display,Double Pack Set Volume 6 Display,https://tcgplayer-cdn.tcgplayer.com/product/563843_200w.jpg,68,23589,https://cpt.tcgcsv.com/Txw6,2024-12-13T05:10:19.63,1,918.99,985.0,2200.0,812.12,,Normal,,,,,,,,,,,
596912,Donquixote Rosinante (SP),Donquixote Rosinante SP,https://tcgplayer-cdn.tcgplayer.com/product/596912_200w.jpg,68,23589,https://cpt.tcgcsv.com/gNN6,2024-12-13T05:10:19.423,1,163.59,181.81,400.0,163.05,,Foil,SEC,OP04-119,"[Opponent's Turn] If this Character is rested, your active Characters with a base cost of 5 cannot be K.O.'d by effects.<br>
[On Play] <strong>You may rest this Character</strong>: Play up to 1 green Character card with a cost of 5 from your hand.",Green,Character,8,8000,Donquixote Pirates;Navy,Special,,
596913,Zoro-Juurou (SP),Zoro Juurou SP,https://tcgplayer-cdn.tcgplayer.com/product/596913_200w.jpg,68,23589,https://cpt.tcgcsv.com/hNN6,2024-12-13T05:10:19.423,1,539.0,575.0,1300.0,568.65,,Foil,R,OP05-067,"[When Attacking] If you have 3 or less Life cards, add up to 1 DON!! card from your DON!! deck and set it as active.",Purple,Character,3,4000,Straw Hat Crew,Slash,1000,
596914,Rob Lucci (SP),Rob Lucci SP,https://tcgplayer-cdn.tcgplayer.com/product/596914_200w.jpg,68,23589,https://cpt.tcgcsv.com/jNN6,2024-12-13T05:10:19.423,1,90.0,99.65,1000.0,99.3,,Foil,SR,OP05-093,[On Play] <strong>You may place 3 cards from your trash at the bottom of your deck in any order</strong>: K.O. up to 1 of your opponent's Characters with a cost of 2 or less and up to 1 of your opponent's Characters with a cost of 1 or less.,Black,Character,4,6000,CP0,Strike,,
596915,Monkey.D.Luffy (Wanted Poster),MonkeyDLuffy Wanted Poster,https://tcgplayer-cdn.tcgplayer.com/product/596915_200w.jpg,68,23589,https://cpt.tcgcsv.com/kNN6,2024-12-13T05:10:19.423,1,645.0,700.0,6000.0,662.96,,Foil,SEC,OP05-119,"[On Play] <strong>DON!! 10</strong>: Place all of your Characters except this Character at the bottom of your deck in any order. Then, take an extra turn after this one.<br>
[Activate: Main] [Once Per Turn] <strong>You may rest 1 of your DON!! cards</strong>: Add up to 1 DON!! card from your DON!! deck and set it as active.",Purple,Character,10,12000,Straw Hat Crew;The Four Emperors,Strike,,
596916,Monkey.D.Dragon (SP),MonkeyDDragon SP,https://tcgplayer-cdn.tcgplayer.com/product/596916_200w.jpg,68,23589,https://cpt.tcgcsv.com/lNN6,2024-12-13T05:10:19.423,1,168.49,196.47,1000.0,187.11,,Foil,SR,OP07-015,"[Rush] <em>(This card can attack on the turn in which it is played.)</em><br>
[On Play] Give up to 2 rested DON!! cards to your Leader or 1 of your Characters.",Red,Character,8,9000,Revolutionary Army,Special,,
