productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
594068,Extra Booster: Anime 25th Collection Pack,Extra Booster Anime 25th Collection Pack,https://tcgplayer-cdn.tcgplayer.com/product/594068_200w.jpg,68,23834,https://cpt.tcgcsv.com/nFM6,2025-05-09T04:10:16.61,1,17.2,20.0,44.99,19.68,,Normal,,,,,,,,,,,
594069,Extra Booster: Anime 25th Collection Box,Extra Booster Anime 25th Collection Box,https://tcgplayer-cdn.tcgplayer.com/product/594069_200w.jpg,68,23834,https://cpt.tcgcsv.com/pFM6,2025-05-09T04:10:16.61,1,887.0,994.0,6500.0,806.39,,Normal,,,,,,,,,,,
594070,Extra Booster: Anime 25th Collection Box Case,Extra Booster Anime 25th Collection Box Case,https://tcgplayer-cdn.tcgplayer.com/product/594070_200w.jpg,68,23834,https://cpt.tcgcsv.com/qFM6,2025-05-09T04:10:16.61,1,9999.9,11699.98,20000.0,7554.65,,Normal,,,,,,,,,,,
629086,Kouzuki Oden (SP),Kouzuki Oden SP,https://tcgplayer-cdn.tcgplayer.com/product/629086_200w.jpg,68,23834,https://cpt.tcgcsv.com/LF27,2025-07-29T17:05:40.043,1,,,,,,,L,EB01-001,"All of your ""Land of Wano"" type Character cards without a Counter have a +1000 Counter, according to the rules.<br>
[DON!! x1] [When Attacking] If you have a ""Land of Wano"" type Character with a cost of 5 or more, this Leader gains +1000 power until the start of your next turn.",Green;Red,Leader,4,5000,Land of Wano;Kouzuki Clan,Slash,,
629087,Hannyabal (SP),Hannyabal SP,https://tcgplayer-cdn.tcgplayer.com/product/629087_200w.jpg,68,23834,https://cpt.tcgcsv.com/MF27,2025-07-29T14:58:54.343,1,550.0,575.0,599.99,366.26,,Foil,L,EB01-021,"[End of Your Turn] <strong>You may return 1 of your ""Impel Down"" type Characters with a cost of 2 or more to the owner's hand:</strong> Add up to 1 DON!! card from your DON!! deck and set it as active.",Blue;Purple,Leader,4,5000,Impel Down,Slash,,
629088,Kyros (SP),Kyros SP,https://tcgplayer-cdn.tcgplayer.com/product/629088_200w.jpg,68,23834,https://cpt.tcgcsv.com/NF27,2025-07-29T17:05:47.203,1,1058.35,1058.35,1058.35,358.0,,Foil,L,EB01-040,[Activate: Main] [Once Per Turn] <strong>You may turn 1 card from the top of your Life cards face-up:</strong> K.O. up to 1 of your opponent's Characters with a cost of 0.,Black;Yellow,Leader,4,5000,Dressrosa,Slash,,
629089,Karoo,Karoo,https://tcgplayer-cdn.tcgplayer.com/product/629089_200w.jpg,68,23834,https://cpt.tcgcsv.com/PF27,2025-05-09T04:10:16.61,1,0.01,0.2,3.0,0.12,,Normal,C,EB02-001,,Red,Character,,7000,Animal;Alabasta,Strike,5,1000
629090,Sabo,Sabo,https://tcgplayer-cdn.tcgplayer.com/product/629090_200w.jpg,68,23834,https://cpt.tcgcsv.com/QF27,2025-05-09T04:10:16.61,1,0.24,0.6,5.0,0.53,,Foil,R,EB02-002,"[Activate: Main] <strong>You may rest this Character:</strong> Up to 1 of your ""Revolutionary Army"" type Characters other than [Sabo] gains +2000 power during this turn.",Red,Character,,5000,Revolutionary Army;Dressrosa,Special,4,2000
629091,Tony Tony.Chopper,Tony TonyChopper,https://tcgplayer-cdn.tcgplayer.com/product/629091_200w.jpg,68,23834,https://cpt.tcgcsv.com/RF27,2025-05-09T04:10:16.61,1,0.37,0.99,11.0,0.97,,Foil,R,EB02-003,"[DON!! x2] [Opponent's Turn] This Character gains +2000 power.<br>
[On Play] If your Leader has the ""Straw Hat Crew"" type, give up to 1 rested DON!! card to your Leader or 1 of your Characters.",Red,Character,,3000,Animal;Straw Hat Crew;Drum Kingdom,Strike,3,1000
629092,Tony Tony.Chopper (Alternate Art),Tony TonyChopper Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/629092_200w.jpg,68,23834,https://cpt.tcgcsv.com/SF27,2025-05-09T04:10:16.61,1,53.0,63.79,140.0,68.21,,Foil,R,EB02-003,"[DON!! x2] [Opponent's Turn] This Character gains +2000 power.<br>
[On Play] If your Leader has the ""Straw Hat Crew"" type, give up to 1 rested DON!! card to your Leader or 1 of your Characters.",Red,Character,,3000,Animal;Straw Hat Crew;Drum Kingdom,Strike,3,1000
629093,Don Accino,Don Accino,https://tcgplayer-cdn.tcgplayer.com/product/629093_200w.jpg,68,23834,https://cpt.tcgcsv.com/TF27,2025-05-09T04:10:16.61,1,0.01,0.11,3.0,0.06,,Normal,C,EB02-004,,Red,Character,,10000,Accino Family,Special,8,1000
629094,Fake Straw Hat Crew,Fake Straw Hat Crew,https://tcgplayer-cdn.tcgplayer.com/product/629094_200w.jpg,68,23834,https://cpt.tcgcsv.com/VF27,2025-05-09T04:10:16.61,1,0.01,0.15,3.0,0.13,,Normal,C,EB02-005,"[Your Turn] This Character gains +2000 power.<br>
[Opponent's Turn] Give this Character 2000 power.",Red,Character,,3000,Fake Straw Hat Crew,Ranged,2,
629095,Yamato,Yamato,https://tcgplayer-cdn.tcgplayer.com/product/629095_200w.jpg,68,23834,https://cpt.tcgcsv.com/WF27,2025-05-09T04:10:16.61,1,6.0,9.0,25.0,7.48,,Foil,SR,EB02-006,"[Activate: Main] [Once Per Turn] If your Leader has the ""Land of Wano"" type or is [Portgas.D.Ace], give up to 1 rested DON!! card to 1 of your Leader. Then, this Character gains [Rush] during this turn.",Red,Character,,7000,Land of Wano,Strike,6,
629096,Yamato (Alternate Art),Yamato Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/629096_200w.jpg,68,23834,https://cpt.tcgcsv.com/XF27,2025-05-09T04:10:16.61,1,39.4,44.99,99.99,38.1,,Foil,SR,EB02-006,"[Activate: Main] [Once Per Turn] If your Leader has the ""Land of Wano"" type or is [Portgas.D.Ace], give up to 1 rested DON!! card to 1 of your Leader. Then, this Character gains [Rush] during this turn.",Red,Character,,7000,Land of Wano,Strike,6,
