productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
521160,Memorial Collection - Booster Pack,Memorial Collection Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/521160_200w.jpg,68,23333,https://cpt.tcgcsv.com/dtb6,2024-05-03T04:03:23.22,1,37.0,37.99,40.0,28.14,,Normal,,,,,,,,,,,
521161,Memorial Collection - Booster Box,Memorial Collection Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/521161_200w.jpg,68,23333,https://cpt.tcgcsv.com/ftb6,2024-11-25T13:14:59.803,1,950.0,999.84,2899.99,872.21,,Normal,,,,,,,,,,,
521162,Memorial Collection - Booster Box Case,Memorial Collection Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/521162_200w.jpg,68,23333,https://cpt.tcgcsv.com/gtb6,2024-11-25T13:15:11.29,1,15000.0,22500.0,40000.0,,,Normal,,,,,,,,,,,
544523,Kouzuki Oden,Kouzuki Oden,https://tcgplayer-cdn.tcgplayer.com/product/544523_200w.jpg,68,23333,https://cpt.tcgcsv.com/tQm6,2024-05-03T04:03:23.22,1,0.1,0.25,5.0,0.26,,Normal,L,EB01-001,"All of your [Land of Wano] type Character cards without a Counter have a +1000 Counter, according to the rules.
<br>
[DON!! x1] [When Attacking] If you have a [Land of Wano] type Character with a cost of 5 or more, this Leader gains +1000 power until the start of your next turn.",Green;Red,Leader,4,5000,Land of Wano;Kouzuki Clan,Slash,,
544524,Kouzuki Oden (Alternate Art),Kouzuki Oden Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/544524_200w.jpg,68,23333,https://cpt.tcgcsv.com/vQm6,2024-05-03T04:03:23.22,1,62.0,70.99,99.99,54.48,,Foil,L,EB01-001,"All of your [Land of Wano] type Character cards without a Counter have a +1000 Counter, according to the rules.
<br>
[DON!! x1] [When Attacking] If you have a [Land of Wano] type Character with a cost of 5 or more, this Leader gains +1000 power until the start of your next turn.",Green;Red,Leader,4,5000,Land of Wano;Kouzuki Clan,Slash,,
544525,Izo,Izo,https://tcgplayer-cdn.tcgplayer.com/product/544525_200w.jpg,68,23333,https://cpt.tcgcsv.com/wQm6,2024-05-03T04:03:23.22,1,3.0,4.97,25.0,3.27,,Foil,R,EB01-002,"[On Play] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.
<br>
[On Your Opponent's Attack] [Once Per Turn] <strong>You may trash 1 card from your hand</strong>: If your Leader has the [Land of Wano] or [Whitebeard Pirates] type, give up to 1 of your opponent's Leader or Character cards -2000 power during this turn.",Red,Character,,7000,Land of Wano;Whitebeard Pirates,Ranged,5,
544526,Kid & Killer,Kid and Killer,https://tcgplayer-cdn.tcgplayer.com/product/544526_200w.jpg,68,23333,https://cpt.tcgcsv.com/xQm6,2024-05-03T04:03:23.22,1,2.11,3.5,50.0,2.74,,Foil,R,EB01-003,"[Rush] <em>(This card can attack on the turn in which it is played.)</em>
<br>
[When Attacking] If your opponent has 2 or less Life cards, this Character gains +2000 power during this turn.",Red,Character,,5000,Kid Pirates;Supernovas,Slash;Special,4,
544527,Kid & Killer (Alternate Art),Kid and Killer Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/544527_200w.jpg,68,23333,https://cpt.tcgcsv.com/zQm6,2024-05-03T04:03:23.22,1,10.73,13.0,99.99,11.85,,Foil,R,EB01-003,"[Rush] <em>(This card can attack on the turn in which it is played.)</em>
<br>
[When Attacking] If your opponent has 2 or less Life cards, this Character gains +2000 power during this turn.",Red,Character,,5000,Kid Pirates;Supernovas,Slash;Special,4,
544528,Koza,Koza,https://tcgplayer-cdn.tcgplayer.com/product/544528_200w.jpg,68,23333,https://cpt.tcgcsv.com/BQm6,2024-05-03T04:03:23.22,1,0.01,0.15,3.0,0.06,,Normal,C,EB01-004,[When Attacking] <strong>You may give your 1 active Leader -5000 power during this turn</strong>: Give up to 1 of your opponent's Characters -3000 power during this turn.,Red,Character,,3000,Alabasta,Ranged,2,1000
544529,Doma,Doma,https://tcgplayer-cdn.tcgplayer.com/product/544529_200w.jpg,68,23333,https://cpt.tcgcsv.com/CQm6,2024-05-03T04:03:23.22,1,0.01,0.15,3.0,0.06,,Normal,C,EB01-005,,Red,Character,,3000,Whitebeard Pirates Allies,Slash,1,1000
