productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
628478,Learn Together Deck Set,Learn Together Deck Set,https://tcgplayer-cdn.tcgplayer.com/product/628478_200w.jpg,68,24306,https://cpt.tcgcsv.com/Bp27,2025-10-03T04:10:12.673,1,59.99,68.5,92.99,66.34,,Normal,,,,,,,,,,,
628479,Learn Together Deck Set Display,Learn Together Deck Set Display,https://tcgplayer-cdn.tcgplayer.com/product/628479_200w.jpg,68,24306,https://cpt.tcgcsv.com/Cp27,2025-10-03T04:10:12.673,1,252.67,399.99,489.99,252.67,,Normal,,,,,,,,,,,
656631,Roronoa Zoro - OP12-020 (Zoro Deck),Roronoa Zoro OP12 020 Zoro Deck,https://tcgplayer-cdn.tcgplayer.com/product/656631_200w.jpg,68,24306,https://cpt.tcgcsv.com/FGg7,2025-10-07T14:52:21.433,1,7.24,10.18,23.99,8.85,,Foil,L,OP12-020,"[DON!! x3] [Activate: Main] [Once Per Turn] If this Leader battles your opponent's Character during this turn, set this Leader as active. Then, this Leader cannot attack your opponent's Characters with a base cost of 7 or less during this turn.",Green,Leader,5,5000,Straw Hat Crew;Supernovas,Slash,,
656637,Kouzuki Hiyori (Zoro Deck),Kouzuki Hiyori Zoro Deck,https://tcgplayer-cdn.tcgplayer.com/product/656637_200w.jpg,68,24306,https://cpt.tcgcsv.com/MGg7,2025-10-07T14:50:54.49,1,0.01,0.17,1.98,0.14,,Normal,R,OP12-028,"[Activate: Main] <strong>You may rest 1 of your DON!! cards and this Character:</strong> If your Leader is [Roronoa Zoro], look at 5 cards from the top of your deck; reveal up to 1 (Slash) attribute card or green Event and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Green,Character,,,Land of Wano;Kouzuki Clan,Wisdom,1,1000
656638,Kawamatsu (Zoro Deck),Kawamatsu Zoro Deck,https://tcgplayer-cdn.tcgplayer.com/product/656638_200w.jpg,68,24306,https://cpt.tcgcsv.com/NGg7,2025-10-13T13:43:42.27,0,0.01,0.15,2.99,0.1,,Normal,UC,OP12-023,,Green,Character,,6000,Fish-Man;Land of Wano;The Akazaya Nine,Slash,5,2000
656639,Koushirou (Zoro Deck),Koushirou Zoro Deck,https://tcgplayer-cdn.tcgplayer.com/product/656639_200w.jpg,68,24306,https://cpt.tcgcsv.com/PGg7,2025-10-07T14:50:15.06,1,0.01,0.25,1.99,0.2,,Normal,UC,OP12-027,"If your (Slash) attribute Character with a cost of 5 or less other than this Character would be K.O.'d by your opponent's effect, you may rest this Character instead.<br>
[Blocker]",Green,Character,,1000,East Blue;Frost Moon Village,Slash,2,1000
656640,Shimotsuki Kouzaburou (Zoro Deck),Shimotsuki Kouzaburou Zoro Deck,https://tcgplayer-cdn.tcgplayer.com/product/656640_200w.jpg,68,24306,https://cpt.tcgcsv.com/QGg7,2025-10-03T04:10:12.673,0,0.01,0.25,1.99,0.13,,Normal,UC,OP12-029,"[On Play] Rest up to 1 of your opponent's Characters with a cost of 2 or less. Then, K.O. up to 1 of your opponent's rested Characters with a base cost of 1 or less.",Green,Character,,2000,Land of Wano;East Blue;Frost Moon Village,Slash,3,2000
656641,Roronoa Zoro - EB02-019 (Zoro Deck),Roronoa Zoro EB02 019 Zoro Deck,https://tcgplayer-cdn.tcgplayer.com/product/656641_200w.jpg,68,24306,https://cpt.tcgcsv.com/RGg7,2025-10-03T04:10:12.673,0,0.05,0.2,4.99,0.12,,Normal,R,EB02-019,"If your opponent has 2 or more Characters, this Character can attack Characters on the turn in which it is played.<br>
[On Play] If your Leader has the ""Straw Hat Crew"" type, rest up to 1 of your opponent's Characters with a cost of 4 or less.",Green,Character,,5000,Straw Hat Crew;East Blue,Slash,4,1000
656642,Ryuma (Zoro Deck),Ryuma Zoro Deck,https://tcgplayer-cdn.tcgplayer.com/product/656642_200w.jpg,68,24306,https://cpt.tcgcsv.com/SGg7,2025-10-03T04:10:12.673,0,0.01,0.15,2.99,0.08,,Normal,R,OP06-036,[On Play] / [On K.O.] K.O. up to 1 of your opponent's rested Characters with a cost of 4 or less.,Green,Character,,6000,Land of Wano;Thriller Bark Pirates,Slash,4,
656643,Roronoa Zoro - OP12-036 (Zoro Deck),Roronoa Zoro OP12 036 Zoro Deck,https://tcgplayer-cdn.tcgplayer.com/product/656643_200w.jpg,68,24306,https://cpt.tcgcsv.com/TGg7,2025-10-03T04:10:12.673,0,0.01,0.18,3.99,0.09,,Normal,C,OP12-036,"This card in your hand cannot be played by effects.<br>
If your Leader has the (Slash) attribute, this Character cannot be K.O.'d in battle by (Slash) attribute cards and gains +1000 power.",Green,Character,,5000,Straw Hat Crew;Supernovas,Slash,4,1000
656644,Cavendish (Zoro Deck),Cavendish Zoro Deck,https://tcgplayer-cdn.tcgplayer.com/product/656644_200w.jpg,68,24306,https://cpt.tcgcsv.com/VGg7,2025-10-07T14:50:03.7,1,0.7,1.35,18.99,0.99,,Normal,SR,EB01-012,"[On Play]/[When Attacking] If your Leader has the [Supernovas] type and you have no other [Cavendish] Characters, set up to 2 of your DON!! cards as active.",Green,Character,,6000,Beautiful Pirates;Supernovas,Slash,5,1000
656645,Smoker (Zoro Deck),Smoker Zoro Deck,https://tcgplayer-cdn.tcgplayer.com/product/656645_200w.jpg,68,24306,https://cpt.tcgcsv.com/WGg7,2025-10-03T04:10:12.673,0,0.31,2.55,5.5,2.4,,Normal,SR,OP10-030,"[Banish] <em>(When this card deals damage, the target card is trashed without activating its Trigger.)</em><br>
[Activate: Main] Set up to 1 of your DON!! cards as active. Then, you cannot set DON!! cards as active using Character effects during this turn.",Green,Character,,7000,Navy;Punk Hazard,Slash,5,
656646,Tashigi (Zoro Deck),Tashigi Zoro Deck,https://tcgplayer-cdn.tcgplayer.com/product/656646_200w.jpg,68,24306,https://cpt.tcgcsv.com/XGg7,2025-10-07T14:52:42.36,1,0.05,0.18,1.98,0.16,,Normal,R,OP12-031,"[On Play] Rest up to 1 of your opponent's Characters with a base cost of 6 or less. Then, give up to 3 rested DON!! cards to your [Roronoa Zoro] Leader.",Green,Character,,7000,Navy;East Blue,Slash,5,
656648,Kin'emon (Zoro Deck),Kinemon Zoro Deck,https://tcgplayer-cdn.tcgplayer.com/product/656648_200w.jpg,68,24306,https://cpt.tcgcsv.com/-Gg7,2025-10-03T04:10:12.673,0,0.01,0.1,2.99,0.05,,Normal,C,OP12-025,,Green,Character,,8000,Land of Wano;The Akazaya Nine,Slash,6,1000
656649,Nekomamushi (Zoro Deck),Nekomamushi Zoro Deck,https://tcgplayer-cdn.tcgplayer.com/product/656649_200w.jpg,68,24306,https://cpt.tcgcsv.com/_Gg7,2025-10-03T04:10:12.673,0,0.01,0.1,2.0,0.04,,Normal,UC,OP12-032,,Green,Character,,7000,Land of Wano;Minks;The Akazaya Nine,Slash,6,2000
656650,The Billion-fold World Trichiliocosm (Zoro Deck),The Billion fold World Trichiliocosm Zoro Deck,https://tcgplayer-cdn.tcgplayer.com/product/656650_200w.jpg,68,24306,https://cpt.tcgcsv.com/0Hg7,2025-10-07T14:52:51.147,1,0.01,0.25,1.51,0.17,,Normal,UC,OP06-038,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if you have 8 or more rested cards, that card gains an additional +2000 power during this battle.
<br>
[Trigger] K.O. up to 1 of your opponent's rested Characters with a cost of 3 or less.",Green,Event,,,Straw Hat Crew;Dressrosa,,1,
656651,Luffy Is the Man Who Will Become the King of Pirates!!! (Zoro Deck),Luffy Is the Man Who Will Become the King of Pirates Zoro Deck,https://tcgplayer-cdn.tcgplayer.com/product/656651_200w.jpg,68,24306,https://cpt.tcgcsv.com/2Hg7,2025-10-03T04:10:12.673,0,0.01,0.19,1.99,0.13,,Normal,R,OP12-039,"[Main] Set your [Roronoa Zoro] Leader as active.<br>
[Trigger] Up to 1 of your Leader or Character cards gains +1000 power during this turn.",Green,Event,,,Straw Hat Crew,,3,
