productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
628345,Legacy of the Master Booster Pack,Legacy of the Master Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/628345_200w.jpg,68,24302,https://cpt.tcgcsv.com/Wl27,2025-08-22T04:11:50.657,1,8.25,9.46,13.99,9.34,,Normal,,,,,,,,,,,
628346,Legacy of the Master Booster Box,Legacy of the Master Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/628346_200w.jpg,68,24302,https://cpt.tcgcsv.com/Xl27,2025-08-25T16:52:54.733,1,264.9,299.98,499.99,273.55,,Normal,,,,,,,,,,,
628347,Legacy of the Master Booster Box Case,Legacy of the Master Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/628347_200w.jpg,68,24302,https://cpt.tcgcsv.com/Zl27,2025-08-22T04:11:50.657,1,2605.92,2949.85,4799.95,2705.92,,Normal,,,,,,,,,,,
628348,Double Pack Set Vol. 8,Double Pack Set Vol 8,https://tcgplayer-cdn.tcgplayer.com/product/628348_200w.jpg,68,24302,https://cpt.tcgcsv.com/-l27,2025-08-22T04:11:50.657,1,38.0,42.25,48.97,38.88,,Normal,,,,,,,,,,,
628349,Double Pack Set Vol. 8 Display,Double Pack Set Vol 8 Display,https://tcgplayer-cdn.tcgplayer.com/product/628349_200w.jpg,68,24302,https://cpt.tcgcsv.com/_l27,2025-08-22T04:11:50.657,1,340.0,344.98,350.0,294.06,,Normal,,,,,,,,,,,
643723,Silvers Rayleigh,Silvers Rayleigh,https://tcgplayer-cdn.tcgplayer.com/product/643723_200w.jpg,68,24302,https://cpt.tcgcsv.com/tv97,2025-08-22T04:11:50.657,1,0.01,0.17,8.14,0.14,,Normal,L,OP12-001,"Under the rules of this game, you cannot include cards with a cost of 5 or more in your deck.<br>
[Activate: Main] [Once Per Turn] <strong>You may reveal 2 Events from your hand:</strong> Up to 1 of your Characters with 4000 base power or less gains +2000 power during this turn.",Red,Leader,5,5000,Former Roger Pirates,Slash,,
643724,Silvers Rayleigh (Alternate Art),Silvers Rayleigh Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/643724_200w.jpg,68,24302,https://cpt.tcgcsv.com/vv97,2025-08-22T04:11:50.657,1,18.0,24.75,70.0,19.58,,Foil,L,OP12-001,"Under the rules of this game, you cannot include cards with a cost of 5 or more in your deck.<br>
[Activate: Main] [Once Per Turn] <strong>You may reveal 2 Events from your hand:</strong> Up to 1 of your Characters with 4000 base power or less gains +2000 power during this turn.",Red,Leader,5,5000,Former Roger Pirates,Slash,,
643725,Edward.Newgate,EdwardNewgate,https://tcgplayer-cdn.tcgplayer.com/product/643725_200w.jpg,68,24302,https://cpt.tcgcsv.com/wv97,2025-08-22T04:11:50.657,1,0.01,0.15,30.0,0.14,,Normal,UC,OP12-002,,Red,Character,,6000,Whitebeard Pirates,Special,5,2000
643726,Crocus,Crocus,https://tcgplayer-cdn.tcgplayer.com/product/643726_200w.jpg,68,24302,https://cpt.tcgcsv.com/xv97,2025-08-22T04:11:50.657,1,0.01,0.13,3.0,0.09,,Normal,UC,OP12-003,[On K.O.] <strong>You may reveal 2 Events from your hand:</strong> Play up to 1 red Character card with 3000 power or less from your hand.,Red,Character,,3000,Former Roger Pirates,Wisdom,2,1000
643727,Kouzuki Oden,Kouzuki Oden,https://tcgplayer-cdn.tcgplayer.com/product/643727_200w.jpg,68,24302,https://cpt.tcgcsv.com/zv97,2025-08-22T04:11:50.657,1,0.01,0.12,3.0,0.06,,Normal,UC,OP12-004,[Activate: Main] [Once Per Turn] <strong>You may reveal 2 Events from your hand:</strong> This Character gains +2000 power during this turn.,Red,Character,,3000,Land of Wano;Kouzuki Clan;Roger Pirates,Slash,2,1000
