productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCost,extCounterplus
602789,Roronoa Zoro,Roronoa Zoro,https://tcgplayer-cdn.tcgplayer.com/product/602789_200w.jpg,68,23907,https://cpt.tcgcsv.com/P7R6,2024-12-08T19:36:15.573,1,L,OP01-001,"[DON!! x1] [Your Turn] All of your Characters gain +1000 power.
<br>
<br>Disclaimer: This card is considered <strong>Not Tournament Legal</strong>.",Red,Leader,5,5000,Straw Hat Crew;Supernovas,Slash,5.75,11.95,75.0,6.96,,Normal,,
602790,Monkey.D.Luffy (001),MonkeyDLuffy 001,https://tcgplayer-cdn.tcgplayer.com/product/602790_200w.jpg,68,23907,https://cpt.tcgcsv.com/Q7R6,2026-01-14T15:38:47.887,1,PR,P-001,"[DON!! x2] This Character gains [Rush]
<br>
<em>(This card can attack on the turn in which it is played.)</em>
<br>
<br>Disclaimer: This card is considered <strong>Not Tournament Legal</strong>.",Red,Character,,7000,Straw Hat Crew;Supernovas,Strike,20.0,35.0,149.99,22.24,,Normal,6,
602792,Usopp,Usopp,https://tcgplayer-cdn.tcgplayer.com/product/602792_200w.jpg,68,23907,https://cpt.tcgcsv.com/S7R6,2024-12-06T21:36:56.14,1,R,OP01-004,"[DON!! x1] [Your Turn] [Once Per Turn] Draw 1 card when your opponent activates an Event.
<br>
<br>Disclaimer: This card is considered <strong>Not Tournament Legal</strong>.",Red,Character,,3000,Straw Hat Crew,Ranged,0.05,0.3,25.0,0.22,,Normal,2,2000
602793,Uta,Uta,https://tcgplayer-cdn.tcgplayer.com/product/602793_200w.jpg,68,23907,https://cpt.tcgcsv.com/T7R6,2024-12-06T18:49:27.24,0,R,OP01-005,"[On Play] Add up to 1 red Character card other than [Uta] with a cost of 3 or less from your trash to your hand.
<br>
<br>Disclaimer: This card is considered <strong>Not Tournament Legal</strong>.",Red,Character,,4000,,Special,0.25,0.42,1.0,0.35,,Normal,4,
602794,Gordon,Gordon,https://tcgplayer-cdn.tcgplayer.com/product/602794_200w.jpg,68,23907,https://cpt.tcgcsv.com/V7R6,2024-12-06T18:49:57.63,0,UC,OP01-011,"[On Play] <strong>You may place 1 card from your hand at the bottom of your deck:</strong> Draw 1 card.
<br>
<br>Disclaimer: This card is considered <strong>Not Tournament Legal</strong>.",Red,Character,,3000,,Wisdom,0.22,0.26,1.69,0.25,,Normal,2,2000
602795,Sanji,Sanji,https://tcgplayer-cdn.tcgplayer.com/product/602795_200w.jpg,68,23907,https://cpt.tcgcsv.com/W7R6,2024-12-08T18:09:00.573,1,R,OP01-013,"[Activate:Main] [Once Per Turn] <strong>You may add 1 card from your Life area to your hand:</strong> This Character gains +2000 power during this turn. Then, give this Character up to 2 rested DON!! cards.
<br>
<br>Disclaimer: This card is considered <strong>Not Tournament Legal</strong>.",Red,Character,,3000,Straw Hat Crew,Strike,0.25,0.72,10.0,0.49,,Normal,2,2000
602796,Nami,Nami,https://tcgplayer-cdn.tcgplayer.com/product/602796_200w.jpg,68,23907,https://cpt.tcgcsv.com/X7R6,2024-12-06T18:51:24.383,0,R,OP01-016,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 ""Straw Hat Crew"" type Character card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.
<br>
<br>Disclaimer: This card is considered <strong>Not Tournament Legal</strong>.",Red,Character,,2000,Straw Hat Crew,Special,0.99,2.37,4.99,1.52,,Normal,1,2000
602797,Franky (021),Franky 021,https://tcgplayer-cdn.tcgplayer.com/product/602797_200w.jpg,68,23907,https://cpt.tcgcsv.com/Z7R6,2024-12-06T19:05:31.97,0,UC,OP01-021,"[DON!! x1] This Character can also attack your opponent's active Characters.
<br>
<br>Disclaimer: This card is considered <strong>Not Tournament Legal</strong>.",Red,Character,,4000,Straw Hat Crew,Ranged,0.43,0.82,1.71,0.41,,Normal,3,
602798,Makino,Makino,https://tcgplayer-cdn.tcgplayer.com/product/602798_200w.jpg,68,23907,https://cpt.tcgcsv.com/-7R6,2024-12-06T18:53:31.93,0,UC,OP02-015,"[Activate:Main] <strong>You may rest this Character</strong>: Up to 1 of your red Characters with a cost of 1 gains +3000 power during this turn.
<br>
<br>Disclaimer: This card is considered <strong>Not Tournament Legal</strong>.",Red,Character,,0,Windmill Village,Wisdom,0.42,0.56,1.79,0.5,,Normal,1,2000
602799,Jinbe,Jinbe,https://tcgplayer-cdn.tcgplayer.com/product/602799_200w.jpg,68,23907,https://cpt.tcgcsv.com/_7R6,2024-12-06T18:55:54.8,0,C,ST01-005,"[DON!! x1] [When Attacking] Up to 1 of your Leader or Character cards other than this card gains +1000 power during this turn.
<br>
<br>Disclaimer: This card is considered <strong>Not Tournament Legal</strong>.",Red,Character,,5000,Fish-Man;Straw Hat Crew,Strike,0.25,1.0,1.93,0.71,,Normal,3,
