productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extPower,extSubtypes,extAttribute,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCounterplus,extLife
450299,Monkey.D.Luffy (Promotion Pack 2022),MonkeyDLuffy Promotion Pack 2022,https://tcgplayer-cdn.tcgplayer.com/product/450299_200w.jpg,68,17675,https://cpt.tcgcsv.com/_7D5,2022-10-19T12:45:44.093,1,PR,P-001,"[DON!! x2] This Character gains [Rush]
<br>
<em>(This card can attack on the turn in which it is played.)</em>",Red,Character,6,7000,Straw Hat Crew;Supernovas,Strike,35.7,62.24,200.0,68.05,,Normal,,
450300,Monkey.D.Luffy (Super Pre-Release) [Participant],MonkeyDLuffy Super Pre Release Participant,https://tcgplayer-cdn.tcgplayer.com/product/450300_200w.jpg,68,17675,https://cpt.tcgcsv.com/08D5,2022-10-12T18:54:56.317,1,PR,P-001,"[DON!! x2] This Character gains [Rush]
<br>
<em>(This card can attack on the turn in which it is played.)</em>",Red,Character,6,7000,Straw Hat Crew;Supernovas,Strike,225.99,350.0,500.0,194.79,,Normal,,
450301,Monkey.D.Luffy (Super Pre-Release) [Winner],MonkeyDLuffy Super Pre Release Winner,https://tcgplayer-cdn.tcgplayer.com/product/450301_200w.jpg,68,17675,https://cpt.tcgcsv.com/28D5,2022-10-12T18:55:21.303,1,PR,P-001,"[DON!! x2] This Character gains [Rush]
<br>
<em>(This card can attack on the turn in which it is played.)</em>",Red,Character,6,7000,Straw Hat Crew;Supernovas,Strike,,,,,,,,
450302,I Smell Adventure Ahead! (Promotion Pack 2022),I Smell Adventure Ahead Promotion Pack 2022,https://tcgplayer-cdn.tcgplayer.com/product/450302_200w.jpg,68,17675,https://cpt.tcgcsv.com/38D5,2022-10-19T12:45:31.927,1,PR,P-002,"[Main] Return all cards in your hand to your deck and shuffle your deck. Then, draw cards equal to the number you returned to your deck.
<br><br>
[Trigger] Activate this card's [Main] effect.",Red,Event,1,,Straw Hat Crew,,2.68,7.55,80.0,3.53,,Normal,,
450303,"Eustass""Captain""Kid (Promotion Pack 2022)",EustassCaptainKid Promotion Pack 2022,https://tcgplayer-cdn.tcgplayer.com/product/450303_200w.jpg,68,17675,https://cpt.tcgcsv.com/58D5,2022-10-19T12:45:25.403,1,PR,P-003,"[DON!! x2] This Character gains [Double Attack]
<br>
<em>(This card deals 2 damage.)</em>",Green,Character,3,4000,Kid Pirates;Supernovas,Special,1.82,3.0,26.86,2.02,,Normal,1000,
450304,Crocodile (Promotion Pack 2022),Crocodile Promotion Pack 2022,https://tcgplayer-cdn.tcgplayer.com/product/450304_200w.jpg,68,17675,https://cpt.tcgcsv.com/68D5,2022-10-19T12:45:19.323,1,PR,P-004,"[DON!! x1] This Character gains [Blocker]
<br>
<em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Blue,Character,4,5000,Baroque Works;The Seven Warlords of the Sea,Special,0.45,2.0,25.0,1.38,,Normal,1000,
450305,Kaido (Promotion Pack 2022),Kaido Promotion Pack 2022,https://tcgplayer-cdn.tcgplayer.com/product/450305_200w.jpg,68,17675,https://cpt.tcgcsv.com/78D5,2022-10-19T12:45:37.77,1,PR,P-005,"[Activate:Main] DON!! -2 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.)</em>:
<br>
This Character gains [Banish] during this turn.
<br>
<em>(When this card deals damage, the target card is trashed without activating its Trigger.)</em>",Purple,Character,7,8000,Animal Kingdom Pirates;The Four Emperors,Strike,0.75,1.99,16.5,1.13,,Normal,,
451393,Monkey.D.Luffy - ST01-001 [Serial Number],MonkeyDLuffy ST01 001 Serial Number,https://tcgplayer-cdn.tcgplayer.com/product/451393_200w.jpg,68,17675,https://cpt.tcgcsv.com/TzD5,2023-02-06T19:48:45.68,1,PR,ST01-001,[Activate: Main] [Once Per Turn] Give this Leader or 1 of your Characters up to 1 rested DON!! card.,Red,Leader,,5000,Straw Hat Crew;Supernovas,Strike,,,,,,,,5
454250,I'm Gonna Be King of the Pirates!!,Im Gonna Be King of the Pirates,https://tcgplayer-cdn.tcgplayer.com/product/454250_200w.jpg,68,17675,https://cpt.tcgcsv.com/0KF5,2022-12-05T14:22:19.697,1,PR,P-024,"[Main] Your Leader gains +1000 power for each of your Characters during this turn.
<br>
[Trigger] Up to 1 of your Leader or Character cards gains +1000 power during this turn.",Green,Event,2,,Straw Hat Crew;Supernovas,,4.0,17.0,38.0,7.02,,Normal,,
455800,Monkey.D.Luffy - P-006 (Tournament Pack Vol. 1),MonkeyDLuffy P 006 Tournament Pack Vol 1,https://tcgplayer-cdn.tcgplayer.com/product/455800_200w.jpg,68,17675,https://cpt.tcgcsv.com/0lG5,2022-12-05T14:13:55.583,1,PR,P-006,[DON!! x2] [Your Turn] This Character gains +2000 power.,Red,Character,3,3000,Straw Hat Crew;Supernovas,Strike,6.99,10.0,50.0,8.2,,Normal,2000,
