productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extDescription,extCardType,extNumber,extColor,extCost,extPower,extSubtypes,extAttribute,extLife,extCounterplus
455865,Paramount War - Booster Pack,Paramount War Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/455865_200w.jpg,68,17698,https://cpt.tcgcsv.com/kmG5,2023-12-15T15:07:47.187,1,21.79,29.96,45.99,21.53,,Normal,,,,,,,,,,,
455866,Paramount War - Booster Box,Paramount War Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/455866_200w.jpg,68,17698,https://cpt.tcgcsv.com/lmG5,2023-12-15T15:07:32.58,1,540.0,699.97,2550.0,605.01,,Normal,,,,,,,,,,,
455867,Paramount War - Booster Box Case,Paramount War Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/455867_200w.jpg,68,17698,https://cpt.tcgcsv.com/mmG5,2023-12-15T15:07:39.24,1,9499.99,12949.0,25000.0,,,Normal,,,,,,,,,,,
482273,DON!! Card (Manga),DON Card Manga,https://tcgplayer-cdn.tcgplayer.com/product/482273_200w.jpg,68,17698,https://cpt.tcgcsv.com/tWS5,2025-05-19T18:00:59.76,1,2.5,5.49,25.0,4.48,,Foil,DON!!,Your Turn +1000,DON!!,,,,,,,,
482337,Monkey.D.Luffy (041) (Alternate Art),MonkeyDLuffy 041 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/482337_200w.jpg,68,17698,https://cpt.tcgcsv.com/MXS5,2024-03-21T19:39:38.04,1,52.99,77.99,200.0,60.42,,Foil,R,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
[On Play] Play up to 1 ""FILM"" or ""Straw Hat Crew"" type Character card with a cost of 4 or less from your hand.",Character,OP02-041,Green,7,7000,Straw Hat Crew;Supernovas,Strike,,
482423,Edward.Newgate (004),EdwardNewgate 004,https://tcgplayer-cdn.tcgplayer.com/product/482423_200w.jpg,68,17698,https://cpt.tcgcsv.com/t-S5,2023-03-10T05:03:15.877,1,0.3,1.14,50.0,0.41,,Foil,SR,"[On Play] Up to 1 of your Leader gains +2000 power until the start of your next turn. Then, you cannot add Life cards to your hand using your own effects during this turn.
<br>
[DON!! x2] [When Attacking] K.O. up to 1 of your opponent's Characters with 3000 power or less.",Character,OP02-004,Red,9,10000,The Four Emperors;Whitebeard Pirates,Special,,
482424,Edward.Newgate (001),EdwardNewgate 001,https://tcgplayer-cdn.tcgplayer.com/product/482424_200w.jpg,68,17698,https://cpt.tcgcsv.com/v-S5,2023-03-10T05:03:15.877,1,0.14,0.39,10.0,0.34,,Normal,L,[End of Your Turn] Add 1 card from the top of your Life cards to your hand.,Leader,OP02-001,Red,,6000,The Four Emperors;Whitebeard Pirates,Special,6,
482425,Curly.Dadan,CurlyDadan,https://tcgplayer-cdn.tcgplayer.com/product/482425_200w.jpg,68,17698,https://cpt.tcgcsv.com/w-S5,2023-03-10T05:03:15.877,1,0.03,0.25,5.0,0.11,,Normal,UC,"[On Play] Look at up to 5 cards from the top of your deck; reveal up to 1 red Character with a cost of 1 and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Character,OP02-005,Red,2,3000,Mountain Bandits,Slash,,1000
482426,Atmos,Atmos,https://tcgplayer-cdn.tcgplayer.com/product/482426_200w.jpg,68,17698,https://cpt.tcgcsv.com/x-S5,2023-03-10T05:03:15.877,1,0.01,0.15,5.0,0.05,,Normal,C,,Character,OP02-003,Red,4,6000,Whitebeard Pirates,Slash,,1000
482429,Nami (Alternate Art),Nami Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/482429_200w.jpg,68,17698,https://cpt.tcgcsv.com/C-S5,2023-03-10T05:03:15.877,1,89.71,104.49,250.0,87.09,,Foil,SR,"[On Play]/[When Attacking] (1) <em>(You may rest the specified number of DON!! cards in your cost area.)</em>: Look at 3 cards from the top of your deck; reveal up to 1 ""FILM"" type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Character,OP02-036,Green,3,5000,Film;Straw Hat Crew,Special,,
