productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
477175,Pillars of Strength - Booster Pack,Pillars of Strength Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/477175_200w.jpg,68,22890,https://cpt.tcgcsv.com/wTQ5,2023-12-15T15:16:25.203,1,14.85,18.11,45.0,15.18,,Normal,,,,,,,,,,,
477176,Pillars of Strength - Booster Box,Pillars of Strength Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/477176_200w.jpg,68,22890,https://cpt.tcgcsv.com/xTQ5,2023-12-15T15:14:42.67,1,499.0,699.99,1017.94,541.76,,Normal,,,,,,,,,,,
477177,Pillars of Strength - Booster Box Case,Pillars of Strength Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/477177_200w.jpg,68,22890,https://cpt.tcgcsv.com/zTQ5,2023-12-15T15:14:52.77,1,30000.0,30000.0,30000.0,,,Normal,,,,,,,,,,,
497932,Portgas.D.Ace,PortgasDAce,https://tcgplayer-cdn.tcgplayer.com/product/497932_200w.jpg,68,22890,https://cpt.tcgcsv.com/Gb_5,2023-06-30T04:03:08.833,1,0.1,0.5,20.37,0.46,,Normal,L,OP03-001,"When this Leader attacks or is attacked, you may trash any number of Event or Stage cards from your hand. This Leader gains +1000 power during this battle for every card trashed.",Red,Leader,5,5000,Whitebeard Pirates,Special,,
497934,Portgas.D.Ace (Alternate Art),PortgasDAce Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/497934_200w.jpg,68,22890,https://cpt.tcgcsv.com/Jb_5,2023-06-30T04:03:08.833,1,77.77,94.68,200.0,80.55,,Foil,L,OP03-001,"When this Leader attacks or is attacked, you may trash any number of Event or Stage cards from your hand. This Leader gains +1000 power during this battle for every card trashed.",Red,Leader,5,5000,Whitebeard Pirates,Special,,
498038,Kuro,Kuro,https://tcgplayer-cdn.tcgplayer.com/product/498038_200w.jpg,68,22890,https://cpt.tcgcsv.com/Nd_5,2023-06-30T04:03:08.833,1,0.1,0.25,2.99,0.17,,Normal,L,OP03-021,"[Activate:Main] (3) <em>(You may rest the specified number of DON!! cards in your cost area.)</em> <strong>You may rest 2 of your [East Blue] type Characters: Set this Leader as active, and rest up to 1 of your opponent's Characters with a cost of 5 or less.",Green,Leader,5,5000,East Blue;Black Cat Pirates,Slash,,
498039,Kuro (Alternate Art),Kuro Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/498039_200w.jpg,68,22890,https://cpt.tcgcsv.com/Pd_5,2023-06-30T04:03:08.833,1,25.0,31.81,149.99,27.16,,Foil,L,OP03-021,"[Activate:Main] (3) <em>(You may rest the specified number of DON!! cards in your cost area.)</em> <strong>You may rest 2 of your [East Blue] type Characters: Set this Leader as active, and rest up to 1 of your opponent's Characters with a cost of 5 or less.",,Leader,5,5000,,Slash,,
498063,Arlong,Arlong,https://tcgplayer-cdn.tcgplayer.com/product/498063_200w.jpg,68,22890,https://cpt.tcgcsv.com/hf_5,2023-06-30T04:03:08.833,1,0.14,0.25,5.0,0.2,,Normal,L,OP03-022,[DON!! x2] [When Attacking (1) <em>(You may rest the specified number of DON!! cards in your cost area.)</em>: Play up to 1 Character card with a cost of 4 or less and a [Trigger] from your hand.,Green;Yellow,Leader,4,5000,Fish-Man;Arlong Pirates;East Blue,Slash,,
498064,Arlong (Alternate Art),Arlong Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/498064_200w.jpg,68,22890,https://cpt.tcgcsv.com/jf_5,2023-06-30T04:03:08.833,1,35.98,50.46,149.99,39.38,,Foil,L,OP03-022,[DON!! x2] [When Attacking (1) <em>(You may rest the specified number of DON!! cards in your cost area.)</em>: Play up to 1 Character card with a cost of 4 or less and a [Trigger] from your hand.,,Leader,4,5000,,Slash,,
498253,Nami (040),Nami 040,https://tcgplayer-cdn.tcgplayer.com/product/498253_200w.jpg,68,22890,https://cpt.tcgcsv.com/5k_5,2023-06-30T04:03:08.833,1,1.15,1.93,4.99,1.24,,Normal,L,OP03-040,"When your deck is reduced to 0, you win the game instead of losing, according to the rules.
<br>
[DON!! x1] When this Leader's attack deals damage to your opponent's Life, you may trash 1 card from the top of your deck.",Blue,Leader,5,5000,East Blue,Wisdom,,
498254,Nami (040) (Alternate Art),Nami 040 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/498254_200w.jpg,68,22890,https://cpt.tcgcsv.com/6k_5,2023-07-26T18:02:59.177,1,279.01,299.97,3000.0,244.83,,Foil,L,OP03-040,"When your deck is reduced to 0, you win the game instead of losing, according to the rules.
<br>
[DON!! x1] When this Leader's attack deals damage to your opponent's Life, you may trash 1 card from the top of your deck.",Blue,Leader,5,5000,,Wisdom,,
