productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extPower,extSubtypes,extCounterplus,extAttribute,extLife
545398,Premium Booster - Booster Pack,Premium Booster Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/545398_200w.jpg,68,23496,https://cpt.tcgcsv.com/-9n6,2024-11-08T05:08:15.623,1,27.0,32.66,50.0,28.61,,Normal,,,,,,,,,,,
545399,Premium Booster - Booster Box,Premium Booster Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/545399_200w.jpg,68,23496,https://cpt.tcgcsv.com/_9n6,2025-11-13T14:27:45.913,1,910.0,1179.0,7500.0,947.41,,Normal,,,,,,,,,,,
545400,Premium Booster - Booster Box Case,Premium Booster Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/545400_200w.jpg,68,23496,https://cpt.tcgcsv.com/0bn6,2024-11-25T13:15:50.813,1,12890.0,42485.1,149999.99,9022.23,,Normal,,,,,,,,,,,
586178,Monkey.D.Luffy (OP01-024) (Alternate Art),MonkeyDLuffy OP01 024 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/586178_200w.jpg,68,23496,https://cpt.tcgcsv.com/BtJ6,2024-11-17T15:23:21.553,1,60.0,78.84,500.0,79.64,,Foil,SR,OP01-024,"[DON!! x2] This Character cannot be K.O.'d in battle by ""Strike"" attribute Characters.
<br>
<br>
<br>
[Activate:Main] [Once Per Turn] Give this Character up to 2 rested DON!! cards.",Red,Character,2,3000,Straw Hat Crew;Supernovas,1000,Strike,
586180,Tony Tony.Chopper (ST01-006) (Jolly Roger Foil),Tony TonyChopper ST01 006 Jolly Roger Foil,https://tcgplayer-cdn.tcgplayer.com/product/586180_200w.jpg,68,23496,https://cpt.tcgcsv.com/DtJ6,2024-11-08T05:08:15.623,1,3.0,8.75,100.0,8.86,,Foil,C,ST01-006,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Red,Character,1,1000,Animal;Straw Hat Crew,,Strike,
586181,DON!! Card (Uta) (Gold),DON Card Uta Gold,https://tcgplayer-cdn.tcgplayer.com/product/586181_200w.jpg,68,23496,https://cpt.tcgcsv.com/FtJ6,2024-11-12T20:57:31.537,1,183.75,199.99,399.99,173.46,,Foil,DON!!,,Your Turn +1000,,DON!!,,,,,,
586182,Edward.Newgate (OP02-004) (Alternate Art),EdwardNewgate OP02 004 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/586182_200w.jpg,68,23496,https://cpt.tcgcsv.com/GtJ6,2024-11-08T18:15:54.543,1,7.88,11.5,49.99,8.03,,Foil,SR,OP02-004,"[On Play] Up to 1 of your Leader gains +2000 power until the start of your next turn. Then, you cannot add Life cards to your hand using your own effects during this turn.
<br>
<br>
<br>
[DON!! x2] [When Attacking] K.O. up to 1 of your opponent's Characters with 3000 power or less.",Red,Character,9,10000,The Four Emperors;Whitebeard Pirates,,Special,
586183,Marco (Jolly Roger Foil),Marco Jolly Roger Foil,https://tcgplayer-cdn.tcgplayer.com/product/586183_200w.jpg,68,23496,https://cpt.tcgcsv.com/HtJ6,2024-11-08T05:08:15.623,1,0.08,0.28,10.0,0.28,,Foil,R,OP02-018,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
<br>
<br>
[On K.O.] <strong>You may trash 1 card with a type including ""Whitebeard Pirates"" from your hand</strong>: If you have 2 or less Life cards, play this Character card from your trash rested.",Red,Character,4,5000,Whitebeard Pirates,1000,Special,
586184,Marco (Alternate Art),Marco Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/586184_200w.jpg,68,23496,https://cpt.tcgcsv.com/JtJ6,2024-11-08T05:08:15.623,1,3.51,6.0,19.99,4.78,,Foil,R,OP02-018,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
<br>
<br>
[On K.O.] <strong>You may trash 1 card with a type including ""Whitebeard Pirates"" from your hand</strong>: If you have 2 or less Life cards, play this Character card from your trash rested.",Red,Character,4,5000,Whitebeard Pirates,1000,Special,
586185,Izo (OP03-003) (Jolly Roger Foil),Izo OP03 003 Jolly Roger Foil,https://tcgplayer-cdn.tcgplayer.com/product/586185_200w.jpg,68,23496,https://cpt.tcgcsv.com/KtJ6,2024-11-08T05:08:15.623,1,0.05,0.25,5.0,0.22,,Foil,R,OP03-003,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 card with a type including ""Whitebeard Pirates"" other than [Izo] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Red,Character,1,2000,Land of Wano;Whitebeard Pirates,1000,Ranged,
