productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extPower,extSubtypes,extCounterplus,extAttribute
628451,Premium Booster Vol. 2 - Booster Pack,Premium Booster Vol 2 Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/628451_200w.jpg,68,24305,https://cpt.tcgcsv.com/2p27,2025-10-03T04:10:12.437,1,12.0,12.99,27.39,12.87,,Normal,,,,,,,,,,
628452,Premium Booster Vol. 2 - Booster Box,Premium Booster Vol 2 Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/628452_200w.jpg,68,24305,https://cpt.tcgcsv.com/3p27,2025-10-03T04:10:12.437,1,395.0,449.99,1514.98,394.85,,Normal,,,,,,,,,,
628453,Premium Booster Vol. 2 - Booster Box Case,Premium Booster Vol 2 Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/628453_200w.jpg,68,24305,https://cpt.tcgcsv.com/5p27,2025-10-03T04:10:12.437,1,3748.9,4750.0,11998.95,3389.89,,Normal,,,,,,,,,,
653261,Lucky.Roux,LuckyRoux,https://tcgplayer-cdn.tcgplayer.com/product/653261_200w.jpg,68,24305,https://cpt.tcgcsv.com/fkf7,2025-10-03T04:10:12.437,1,4.95,8.0,80.0,6.36,,Foil,R,PRB02-003,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>[On Play] <strong>You may trash 1 Character card with 6000 power or more from your hand:</strong> Draw 2 cards.",Red,Character,4,2000,Red-Haired Pirates,1000,Ranged
653262,Lucky.Roux (Alternate Art),LuckyRoux Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/653262_200w.jpg,68,24305,https://cpt.tcgcsv.com/gkf7,2025-10-03T04:10:12.437,1,10.67,17.74,100.0,13.45,,Foil,R,PRB02-003,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>[On Play] <strong>You may trash 1 Character card with 6000 power or more from your hand:</strong> Draw 2 cards.",Red,Character,4,2000,Red-Haired Pirates,1000,Ranged
653263,Jewelry Bonney -PRB02-004,Jewelry Bonney PRB02 004,https://tcgplayer-cdn.tcgplayer.com/product/653263_200w.jpg,68,24305,https://cpt.tcgcsv.com/hkf7,2025-10-03T04:10:12.437,1,0.49,1.95,19.99,1.2,,Foil,R,PRB02-004,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>[On Your Opponent's Attack] [Once Per Turn] Set up to 1 of your DON!! cards as active.",Green,Character,3,3000,Bonney Pirates;Supernovas,1000,Special
653264,Jewelry Bonney - PRB02-004 (Alternate Art),Jewelry Bonney PRB02 004 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/653264_200w.jpg,68,24305,https://cpt.tcgcsv.com/jkf7,2026-02-17T12:22:00.28,1,11.0,15.79,420.69,12.08,,Foil,R,PRB02-004,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>[On Your Opponent's Attack] [Once Per Turn] Set up to 1 of your DON!! cards as active.",Green,Character,3,3000,Bonney Pirates;Supernovas,1000,Special
653265,Monkey.D.Luffy - PRB02-005,MonkeyDLuffy PRB02 005,https://tcgplayer-cdn.tcgplayer.com/product/653265_200w.jpg,68,24305,https://cpt.tcgcsv.com/kkf7,2025-10-03T04:10:12.437,1,1.51,3.49,99.9,2.89,,Foil,SR,PRB02-005,"[Your Turn] [On Play] If your Leader is multicolored and your opponent has 7 or less DON!! cards on their field, your opponent rests 1 of their active DON!! cards at the start of their next Main Phase.",Green,Character,4,5000,Straw Hat Crew;Supernovas,1000,Strike
653266,Monkey.D.Luffy - PRB02-005 (Alternate Art),MonkeyDLuffy PRB02 005 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/653266_200w.jpg,68,24305,https://cpt.tcgcsv.com/lkf7,2025-10-03T04:10:12.437,1,21.9,31.84,120.0,26.53,,Foil,SR,PRB02-005,"[Your Turn] [On Play] If your Leader is multicolored and your opponent has 7 or less DON!! cards on their field, your opponent rests 1 of their active DON!! cards at the start of their next Main Phase.",Green,Character,4,5000,Straw Hat Crew;Supernovas,1000,Strike
653392,Nami,Nami,https://tcgplayer-cdn.tcgplayer.com/product/653392_200w.jpg,68,24305,https://cpt.tcgcsv.com/Smf7,2025-10-03T04:10:12.437,1,2.0,3.96,14.99,2.39,,Foil,R,PRB02-012,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 ""Straw Hat Crew"" type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.
<br>[Trigger] Play this card.",Purple,Character,2,2000,Straw Hat Crew,1000,Special
653393,Nami (Alternate Art),Nami Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/653393_200w.jpg,68,24305,https://cpt.tcgcsv.com/Tmf7,2025-10-03T04:10:12.437,1,36.78,43.0,179.99,40.87,,Foil,R,PRB02-012,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 ""Straw Hat Crew"" type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.
<br>[Trigger] Play this card.",Purple,Character,2,2000,Straw Hat Crew,1000,Special
653397,Mr.3(Galdino) - PRB02-009,Mr3Galdino PRB02 009,https://tcgplayer-cdn.tcgplayer.com/product/653397_200w.jpg,68,24305,https://cpt.tcgcsv.com/Zmf7,2025-10-03T04:10:12.437,1,0.35,0.7,8.0,0.55,,Foil,R,PRB02-009,"This effect can be activated when this Character is rested by your opponent's effect. You may trash this Character and draw 2 cards.
<br>[Blocker]",Blue,Character,2,1000,Former Baroque Works;Cross Guild,1000,Special
653398,Mr.3(Galdino) - PRB02-009 (Alternate Art),Mr3Galdino PRB02 009 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/653398_200w.jpg,68,24305,https://cpt.tcgcsv.com/-mf7,2025-10-03T04:10:12.437,1,3.0,9.0,35.0,7.17,,Foil,R,PRB02-009,"This effect can be activated when this Character is rested by your opponent's effect. You may trash this Character and draw 2 cards.
<br>[Blocker]",Blue,Character,2,1000,Former Baroque Works;Cross Guild,1000,Special
653400,Otama,Otama,https://tcgplayer-cdn.tcgplayer.com/product/653400_200w.jpg,68,24305,https://cpt.tcgcsv.com/0nf7,2025-10-03T04:10:12.437,1,1.0,2.49,24.99,1.86,,Foil,R,PRB02-016,"[Activate: Main] <strong>You may rest this Character and add 1 card from the top or bottom of your Life cards to your hand:</strong> Up to 1 of your Leader or Character cards gains +3000 power during this turn.
<br>[Trigger] Rest up to 1 of your opponent's Characters with a cost of 4 or less.",Yellow,Character,2,0,Land of Wano,2000,Special
653401,Otama (Alternate Art),Otama Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/653401_200w.jpg,68,24305,https://cpt.tcgcsv.com/2nf7,2025-10-03T04:10:12.437,1,8.99,11.44,100.0,9.83,,Foil,R,PRB02-016,"[Activate: Main] <strong>You may rest this Character and add 1 card from the top or bottom of your Life cards to your hand:</strong> Up to 1 of your Leader or Character cards gains +3000 power during this turn.
<br>[Trigger] Rest up to 1 of your opponent's Characters with a cost of 4 or less.",Yellow,Character,2,0,Land of Wano,2000,Special
653403,Shiryu,Shiryu,https://tcgplayer-cdn.tcgplayer.com/product/653403_200w.jpg,68,24305,https://cpt.tcgcsv.com/5nf7,2025-10-03T04:10:12.437,1,2.25,3.99,20.0,2.81,,Foil,R,PRB02-015,"If your Leader has the ""Blackbeard Pirates"" type, this Character gains [Blocker] and +4 cost.
<br>[On K.O.] If your Leader has the ""Blackbeard Pirates"" type, K.O. up to 1 of your opponent's Characters with a base cost of 4 or less.",Black,Character,4,5000,Blackbeard Pirates,1000,Slash
653404,Shiryu (Alternate Art),Shiryu Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/653404_200w.jpg,68,24305,https://cpt.tcgcsv.com/6nf7,2025-10-03T04:10:12.437,1,10.0,17.99,50.0,15.84,,Foil,R,PRB02-015,"If your Leader has the ""Blackbeard Pirates"" type, this Character gains [Blocker] and +4 cost.
<br>[On K.O.] If your Leader has the ""Blackbeard Pirates"" type, K.O. up to 1 of your opponent's Characters with a base cost of 4 or less.",Black,Character,4,5000,Blackbeard Pirates,1000,Slash
653423,Trafalgar Law - PRB02-002 (Alternate Art),Trafalgar Law PRB02 002 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/653423_200w.jpg,68,24305,https://cpt.tcgcsv.com/tnf7,2025-10-03T04:10:12.437,1,22.0,29.99,100.0,26.93,,Foil,SR,PRB02-002,"[Once Per Turn] If this Character would be removed from the field by your opponent's effect, you may give this Character -2000 power during this turn instead.
<br>[When Attacking] Give up to 1 of your opponent's Characters -2000 power during this turn.",Red,Character,6,7000,Heart Pirates;The Seven Warlords of the Sea;Punk Hazard,1000,Slash
653424,Trafalgar Law - PRB02-002,Trafalgar Law PRB02 002,https://tcgplayer-cdn.tcgplayer.com/product/653424_200w.jpg,68,24305,https://cpt.tcgcsv.com/vnf7,2025-10-03T04:10:12.437,1,2.25,3.99,200.0,3.07,,Foil,SR,PRB02-002,"[Once Per Turn] If this Character would be removed from the field by your opponent's effect, you may give this Character -2000 power during this turn instead.
<br>[When Attacking] Give up to 1 of your opponent's Characters -2000 power during this turn.",Red,Character,6,7000,Heart Pirates;The Seven Warlords of the Sea;Punk Hazard,1000,Slash
653428,Koby,Koby,https://tcgplayer-cdn.tcgplayer.com/product/653428_200w.jpg,68,24305,https://cpt.tcgcsv.com/Bnf7,2025-10-03T04:10:12.437,1,11.25,16.49,24.99,13.9,,Foil,R,PRB02-001,"[Opponent's Turn] If your Leader has the ""Navy"" type, this Character gains +1000 power.
<br>[When Attacking] K.O. up to 1 of your opponent's Characters with 3000 base power or less. Then, if you have 6 or less cards in your hand, draw 1 card.",Red,Character,4,5000,Navy;SWORD,1000,Strike
653429,Koby (Alternate Art),Koby Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/653429_200w.jpg,68,24305,https://cpt.tcgcsv.com/Cnf7,2025-10-03T04:10:12.437,1,40.0,45.0,63.47,42.18,,Foil,R,PRB02-001,"[Opponent's Turn] If your Leader has the ""Navy"" type, this Character gains +1000 power.
<br>[When Attacking] K.O. up to 1 of your opponent's Characters with 3000 base power or less. Then, if you have 6 or less cards in your hand, draw 1 card.",Red,Character,4,5000,Navy;SWORD,1000,Strike
653430,Roronoa Zoro - PRB02-006,Roronoa Zoro PRB02 006,https://tcgplayer-cdn.tcgplayer.com/product/653430_200w.jpg,68,24305,https://cpt.tcgcsv.com/Dnf7,2025-10-03T04:10:12.437,1,9.0,13.81,29.97,11.89,,Foil,R,PRB02-006,"[Opponent's Turn] If this Character would be rested by your opponent's Character's effect, you may rest 1 of your other Characters instead.
<br>[Blocker]",Green,Character,4,4000,Straw Hat Crew;Supernovas,2000,Slash
653431,Roronoa Zoro - PRB02-006 (Alternate Art),Roronoa Zoro PRB02 006 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/653431_200w.jpg,68,24305,https://cpt.tcgcsv.com/Fnf7,2025-10-03T04:10:12.437,1,38.9,44.99,91.98,39.33,,Foil,R,PRB02-006,"[Opponent's Turn] If this Character would be rested by your opponent's Character's effect, you may rest 1 of your other Characters instead.
<br>[Blocker]",Green,Character,4,4000,Straw Hat Crew;Supernovas,2000,Slash
653535,Charlotte Pudding - PRB02-010,Charlotte Pudding PRB02 010,https://tcgplayer-cdn.tcgplayer.com/product/653535_200w.jpg,68,24305,https://cpt.tcgcsv.com/Kqf7,2025-10-03T04:10:12.437,1,5.49,16.95,29.99,14.23,,Foil,SR,PRB02-010,"[On Play] <strong>DON!! -2:</strong> If your Leader has the ""Big Mom Pirates"" type and your opponent has 6 or more DON!! cards on their field, draw 2 cards. Then, play up to 1 ""Big Mom Pirates"" type Character card with 6000 to 8000 power from your hand.",Purple,Character,7,5000,Big Mom Pirates,1000,Wisdom
653536,Charlotte Pudding - PRB02-010 (Alternate Art),Charlotte Pudding PRB02 010 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/653536_200w.jpg,68,24305,https://cpt.tcgcsv.com/Lqf7,2025-10-03T04:10:12.437,1,44.91,52.0,100.0,49.1,,Foil,SR,PRB02-010,"[On Play] <strong>DON!! -2:</strong> If your Leader has the ""Big Mom Pirates"" type and your opponent has 6 or more DON!! cards on their field, draw 2 cards. Then, play up to 1 ""Big Mom Pirates"" type Character card with 6000 to 8000 power from your hand.",Purple,Character,7,5000,Big Mom Pirates,1000,Wisdom
653542,Donquixote Doflamingo,Donquixote Doflamingo,https://tcgplayer-cdn.tcgplayer.com/product/653542_200w.jpg,68,24305,https://cpt.tcgcsv.com/Sqf7,2025-10-03T04:10:12.437,1,0.25,0.75,17.0,0.48,,Foil,R,PRB02-011,"[Blocker]
<br>[On Play] If your Leader is multicolored, add up to 1 DON!! card from your DON!! deck and rest it.",Purple,Character,5,6000,Donquixote Pirates;The Seven Warlords of the Sea,1000,Special
653544,Donquixote Doflamingo (Alternate Art),Donquixote Doflamingo Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/653544_200w.jpg,68,24305,https://cpt.tcgcsv.com/Vqf7,2025-10-03T04:10:12.437,1,5.89,7.98,50.0,6.93,,Foil,R,PRB02-011,"[Blocker]
<br>[On Play] If your Leader is multicolored, add up to 1 DON!! card from your DON!! deck and rest it.",Purple,Character,5,6000,Donquixote Pirates;The Seven Warlords of the Sea,1000,Special
653586,Marco (Alternate Art),Marco Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/653586_200w.jpg,68,24305,https://cpt.tcgcsv.com/Lrf7,2025-10-03T04:10:12.437,1,94.8,104.72,199.99,104.46,,Foil,SR,PRB02-008,"[Blocker]<em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>[On K.O.] Draw 2 cards.",Blue,Character,4,6000,Former Whitebeard Pirates;Land of Wano,,Special
653589,Marco,Marco,https://tcgplayer-cdn.tcgplayer.com/product/653589_200w.jpg,68,24305,https://cpt.tcgcsv.com/Prf7,2025-10-03T04:10:12.437,1,7.15,10.84,420.69,7.83,,Foil,SR,PRB02-008,"[Blocker]<em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>[On K.O.] Draw 2 cards.",Blue,Character,4,6000,Former Whitebeard Pirates;Land of Wano,,Special
653601,Jinbe - PRB02-007,Jinbe PRB02 007,https://tcgplayer-cdn.tcgplayer.com/product/653601_200w.jpg,68,24305,https://cpt.tcgcsv.com/2sf7,2025-10-06T14:42:22.773,1,0.1,0.4,13.5,0.28,,Foil,R,PRB02-007,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 ""The Seven Warlords of the Sea"" type card other than [Jinbe] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Blue,Character,4,5000,Fish-Man;The Seven Warlords of the Sea;The Sun Pirates,1000,Strike
653603,Jinbe - PRB02-007(Alternate Art),Jinbe PRB02 007Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/653603_200w.jpg,68,24305,https://cpt.tcgcsv.com/5sf7,2025-10-03T04:10:12.437,1,4.21,6.0,30.0,4.94,,Foil,R,PRB02-007,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 ""The Seven Warlords of the Sea"" type card other than [Jinbe] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Blue,Character,4,5000,Fish-Man;The Seven Warlords of the Sea;The Sun Pirates,1000,Strike
653833,Come On!! We'll Fight You!! (Alternate Art),Come On Well Fight You Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/653833_200w.jpg,68,24305,https://cpt.tcgcsv.com/Hxf7,2025-11-05T19:16:34.387,1,289.99,350.0,1111.11,303.48,,Foil,R,OP09-020,"[Main] Look at 5 cards from the top of your deck; reveal up to 1 ""Red-Haired Pirates"" type card other than [Come On!! We'll Fight You!!] and add it to your hand. Then, place the rest at the bottom of your deck in any order.<br>
[Trigger] Draw 1 card.",Red,Event,1,,The Four Emperors;Red-Haired Pirates,,
653834,Cross Guild (Alternate Art),Cross Guild Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/653834_200w.jpg,68,24305,https://cpt.tcgcsv.com/Jxf7,2025-10-28T14:07:47.863,1,275.39,313.0,499.99,293.39,,Foil,R,OP09-057,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 ""Cross Guild"" type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.<br>
[Trigger] Activate this card's [Main] effect.",Blue,Event,1,,Cross Guild,,
