productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
545026,Starter Deck 14: 3D2Y,Starter Deck 14 3D2Y,https://tcgplayer-cdn.tcgplayer.com/product/545026_200w.jpg,68,23489,https://cpt.tcgcsv.com/x0n6,2024-08-16T04:08:21.783,1,18.0,22.0,35.0,20.89,,Normal,,,,,,,,,,,
545028,Starter Deck 14: 3D2Y Display,Starter Deck 14 3D2Y Display,https://tcgplayer-cdn.tcgplayer.com/product/545028_200w.jpg,68,23489,https://cpt.tcgcsv.com/B0n6,2024-08-16T04:08:21.783,1,130.0,138.0,139.99,129.5,,Normal,,,,,,,,,,,
545030,Starter Deck 14: 3D2Y Display Case,Starter Deck 14 3D2Y Display Case,https://tcgplayer-cdn.tcgplayer.com/product/545030_200w.jpg,68,23489,https://cpt.tcgcsv.com/D0n6,2024-08-16T04:08:21.783,1,1388.87,1388.88,1388.88,,,Normal,,,,,,,,,,,
548412,Monkey.D.Luffy (001),MonkeyDLuffy 001,https://tcgplayer-cdn.tcgplayer.com/product/548412_200w.jpg,68,23489,https://cpt.tcgcsv.com/gnp6,2024-08-16T04:08:21.783,1,7.1,8.81,99.0,7.69,,Foil,L,ST14-001,"[DON!! x1] All of your Characters gain +1 cost. If you have a Character with a cost of 8 or more, this Leader gains +1000 power.",Black,Leader,5,5000,Straw Hat Crew,Strike,,
548413,Usopp,Usopp,https://tcgplayer-cdn.tcgplayer.com/product/548413_200w.jpg,68,23489,https://cpt.tcgcsv.com/hnp6,2024-08-16T04:08:21.783,1,0.05,0.2,3.0,0.16,,Normal,C,ST14-002,"[DON!! x1] [When Attacking] If you have a Character with a cost of 8 or more, K.O. up to 1 of your opponent's Characters with a cost of 4 or less.",Black,Character,,4000,Straw Hat Crew,Ranged,3,1000
548414,Sanji,Sanji,https://tcgplayer-cdn.tcgplayer.com/product/548414_200w.jpg,68,23489,https://cpt.tcgcsv.com/jnp6,2024-08-16T04:08:21.783,1,0.5,2.08,50.0,1.51,,Foil,SR,ST14-003,"[On Play] If you have a Character with a cost of 6 or more, K.O. up to 1 of your opponent's Characters with a cost of 5 or less.",Black,Character,,6000,Straw Hat Crew,Strike,5,
548415,Jinbe,Jinbe,https://tcgplayer-cdn.tcgplayer.com/product/548415_200w.jpg,68,23489,https://cpt.tcgcsv.com/knp6,2024-08-16T04:08:21.783,1,0.02,0.15,3.0,0.12,,Normal,C,ST14-004,"[Activate:Main] [Once Per Turn] Up to 1 of your black ""Straw Hat Crew"" type Characters gains +2 cost until the end of your opponent's next turn.",Black,Character,,4000,Fish-Man;The Sun Pirates,Strike,3,1000
548416,Tony Tony.Chopper,Tony TonyChopper,https://tcgplayer-cdn.tcgplayer.com/product/548416_200w.jpg,68,23489,https://cpt.tcgcsv.com/lnp6,2024-08-16T04:08:21.783,1,0.89,1.97,5.0,1.82,,Normal,C,ST14-005,,Black,Character,,6000,Animal;Straw Hat Crew,Wisdom,4,1000
548417,Nami,Nami,https://tcgplayer-cdn.tcgplayer.com/product/548417_200w.jpg,68,23489,https://cpt.tcgcsv.com/mnp6,2024-08-16T04:08:21.783,1,1.33,3.49,50.0,2.98,,Foil,SR,ST14-006,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>[On Play] If you have 6 or less cards in your hand and a Character with a cost of 8 or more, draw 1 card.",Black,Character,,2000,Straw Hat Crew,Special,3,1000
548418,Nico Robin,Nico Robin,https://tcgplayer-cdn.tcgplayer.com/product/548418_200w.jpg,68,23489,https://cpt.tcgcsv.com/nnp6,2024-08-16T04:08:21.783,1,0.16,0.34,5.0,0.31,,Normal,C,ST14-007,"[On Play] / [When Attacking] If you have a Character with a cost of 8 or more, give up to 1 of your opponent's Characters -5 cost during this turn.",Black,Character,,7000,Straw Hat Crew,Strike,6,1000
548419,Haredas,Haredas,https://tcgplayer-cdn.tcgplayer.com/product/548419_200w.jpg,68,23489,https://cpt.tcgcsv.com/pnp6,2024-08-16T04:08:21.783,1,0.01,0.15,3.0,0.09,,Normal,C,ST14-008,"[Activate:Main] <strong>You may rest this Character</strong>: Up to 1 of your black ""Straw Hat Crew"" type Characters gains +2 cost until the end of your opponent's next turn. Then, if you have a Character with a cost of 8 or more, draw 1 card and trash 1 card from your hand.",Black,Character,,0,Sky Island,Wisdom,1,2000
548420,Franky,Franky,https://tcgplayer-cdn.tcgplayer.com/product/548420_200w.jpg,68,23489,https://cpt.tcgcsv.com/qnp6,2024-08-16T04:08:21.783,1,0.04,0.2,3.0,0.13,,Normal,C,ST14-009,"[DON!! x1] [Opponent's Turn] If you have a Character with a cost of 6 or more, this Character cannot be K.O.'d by your opponent's effects and gains +2000 power.",Black,Character,,6000,Straw Hat Crew,Special,5,1000
548421,Brook,Brook,https://tcgplayer-cdn.tcgplayer.com/product/548421_200w.jpg,68,23489,https://cpt.tcgcsv.com/rnp6,2024-08-16T04:08:21.783,1,0.02,0.18,3.0,0.13,,Normal,C,ST14-010,,Black,Character,,7000,Straw Hat Crew,Slash,5,1000
548422,Heracles,Heracles,https://tcgplayer-cdn.tcgplayer.com/product/548422_200w.jpg,68,23489,https://cpt.tcgcsv.com/snp6,2024-08-16T04:08:21.783,1,0.02,0.18,3.0,0.08,,Normal,C,ST14-011,"[Activate:Main] <strong>You may rest this Character</strong>: Up to 1 of your black ""Straw Hat Crew"" type Characters gains +2 cost until the end of your opponent's next turn.",Black,Character,,2000,Bowin Island,Wisdom,1,2000
548423,Monkey.D.Luffy (012),MonkeyDLuffy 012,https://tcgplayer-cdn.tcgplayer.com/product/548423_200w.jpg,68,23489,https://cpt.tcgcsv.com/tnp6,2024-08-16T04:08:21.783,1,0.1,0.28,10.0,0.27,,Normal,C,ST14-012,"If you have a Character with a cost of 10 or more, this Character gains [Rush].<br><em>(This card can attack on the turn in which it is played.)</em>",Black,Character,,10000,Straw Hat Crew,Strike,8,
548424,Roronoa Zoro,Roronoa Zoro,https://tcgplayer-cdn.tcgplayer.com/product/548424_200w.jpg,68,23489,https://cpt.tcgcsv.com/vnp6,2024-08-16T04:08:21.783,1,0.02,0.19,3.0,0.13,,Normal,C,ST14-013,,Black,Character,,8000,Straw Hat Crew,Slash,6,1000
548425,Gum-Gum Giant Rifle,Gum Gum Giant Rifle,https://tcgplayer-cdn.tcgplayer.com/product/548425_200w.jpg,68,23489,https://cpt.tcgcsv.com/wnp6,2024-08-16T04:08:21.783,1,0.1,0.25,10.0,0.2,,Normal,C,ST14-014,"[Counter] If you have a Character with a cost of 8 or more, up to 1 of your Leader or Character cards gains +3000 power during this battle.
<br>[Trigger] Add up to 1 of your Character cards with a cost of 2 or less from your trash to your hand.",Black,Event,,,Straw Hat Crew,,1,
548426,Gum-Gum Diable Three-Swords Style Mouten Jet Six Hundred Pound Phoenix Cannon,Gum Gum Diable Three Swords Style Mouten Jet Six Hundred Pound Phoenix Cannon,https://tcgplayer-cdn.tcgplayer.com/product/548426_200w.jpg,68,23489,https://cpt.tcgcsv.com/xnp6,2024-08-16T04:08:21.783,1,0.08,0.25,10.0,0.18,,Normal,C,ST14-015,"[Main] Up to 1 of your Leader or Character cards gains +3000 power during this turn. Then, if you have a Character with a cost of 8 or more, K.O. up to 1 of your opponent's Characters with a cost of 2 or less.
<br>[Trigger] If you have a Character with a cost of 8 or more, K.O. up to 1 of your opponent's Characters with a cost of 5 or less.",Black,Event,,,Straw Hat Crew,,2,
548427,I Have My Crew!!,I Have My Crew,https://tcgplayer-cdn.tcgplayer.com/product/548427_200w.jpg,68,23489,https://cpt.tcgcsv.com/znp6,2024-08-16T04:08:21.783,1,0.04,0.25,10.0,0.23,,Normal,C,ST14-016,"[Main] Draw 1 card. Then, up to 1 of your Characters gains +3 cost until the end of your opponent's next turn.
<br>[Trigger] K.O. up to 1 of your opponent's Characters with a cost of 3 or less.",Black,Event,,,Straw Hat Crew,,1,
548428,Thousand Sunny,Thousand Sunny,https://tcgplayer-cdn.tcgplayer.com/product/548428_200w.jpg,68,23489,https://cpt.tcgcsv.com/Bnp6,2024-08-16T04:08:21.783,1,0.08,0.26,10.0,0.21,,Normal,C,ST14-017,"All of your black ""Straw Hat Crew"" type Characters gain +1 cost.
<br>[On Play] If your Leader has the ""Straw Hat Crew"" type, draw 1 card.",Black,Stage,,,Straw Hat Crew,,1,
