productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
545033,Starter Deck 15: RED Edward.Newgate,Starter Deck 15 RED EdwardNewgate,https://tcgplayer-cdn.tcgplayer.com/product/545033_200w.jpg,68,23490,https://cpt.tcgcsv.com/H0n6,2024-10-25T04:08:12.303,1,60.0,62.94,100.0,59.94,,Normal,,,,,,,,,,,
545034,Starter Deck 15: RED Edward.Newgate Display,Starter Deck 15 RED EdwardNewgate Display,https://tcgplayer-cdn.tcgplayer.com/product/545034_200w.jpg,68,23490,https://cpt.tcgcsv.com/J0n6,2024-10-25T04:08:12.303,1,999.99,999.99,999.99,365.0,,Normal,,,,,,,,,,,
545035,Starter Deck 15: RED Edward.Newgate Display Case,Starter Deck 15 RED EdwardNewgate Display Case,https://tcgplayer-cdn.tcgplayer.com/product/545035_200w.jpg,68,23490,https://cpt.tcgcsv.com/K0n6,2024-10-25T04:08:12.303,1,,,,,,,,,,,,,,,,,
580976,Edward.Newgate (OP02-001),EdwardNewgate OP02 001,https://tcgplayer-cdn.tcgplayer.com/product/580976_200w.jpg,68,23490,https://cpt.tcgcsv.com/xpG6,2024-11-04T20:25:57.377,1,1.0,1.99,25.0,1.43,,Foil,L,OP02-001,[End of Your Turn] Add 1 card from the top of your Life cards to your hand.,Red,Leader,6,6000,The Four Emperors;Whitebeard Pirates,Special,,
580977,Jozu,Jozu,https://tcgplayer-cdn.tcgplayer.com/product/580977_200w.jpg,68,23490,https://cpt.tcgcsv.com/zpG6,2024-10-25T04:08:12.303,1,0.24,0.38,10.0,0.32,,Normal,R,OP02-008,"[DON!! x1] If you have 2 or less Life cards and your Leader's type includes ""Whitebeard Pirates"", this Character gains [Rush].<br><br>
<em>(This card can attack on the turn in which it is played.)</em>",Red,Character,,4000,Whitebeard Pirates,Strike,4,2000
580978,Marco,Marco,https://tcgplayer-cdn.tcgplayer.com/product/580978_200w.jpg,68,23490,https://cpt.tcgcsv.com/BpG6,2024-10-25T04:08:12.303,1,0.03,0.2,3.0,0.14,,Normal,R,OP02-018,"<em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em><br><br>
[On K.O.] You may trash 1 card with a type including ""Whitebeard Pirates"" from your hand: If you have 2 or less Life cards, play this Character card from your trash rested.",Red,Character,,5000,Whitebeard Pirates,Special,4,1000
580979,Rakuyo,Rakuyo,https://tcgplayer-cdn.tcgplayer.com/product/580979_200w.jpg,68,23490,https://cpt.tcgcsv.com/CpG6,2024-10-25T04:08:12.303,1,0.01,0.16,3.0,0.06,,Normal,UC,OP02-019,"[DON!! x1] [Your Turn] All of your Characters with a type including ""Whitebeard Pirates"" gain +1000 power.",Red,Character,,4000,Whitebeard Pirates,Strike,3,1000
580981,Izo,Izo,https://tcgplayer-cdn.tcgplayer.com/product/580981_200w.jpg,68,23490,https://cpt.tcgcsv.com/FpG6,2024-10-25T04:08:12.303,1,0.03,0.2,5.0,0.15,,Normal,R,OP03-003,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 card with a type including ""Whitebeard Pirates"" other than [Izo] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Red,Character,,2000,Land of Wano;Whitebeard Pirates,Ranged,1,1000
580982,Speed Jil,Speed Jil,https://tcgplayer-cdn.tcgplayer.com/product/580982_200w.jpg,68,23490,https://cpt.tcgcsv.com/GpG6,2024-10-25T04:08:12.303,1,0.01,0.15,3.0,0.04,,Normal,C,OP03-006,,Red,Character,,6000,Whitebeard Pirates,Slash,4,1000
580983,Namule,Namule,https://tcgplayer-cdn.tcgplayer.com/product/580983_200w.jpg,68,23490,https://cpt.tcgcsv.com/HpG6,2024-10-25T04:08:12.303,1,0.01,0.14,3.0,0.08,,Normal,C,OP03-007,,Red,Character,,5000,Fish-Man;Whitebeard Pirates,Strike,3,1000
