productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
545039,Starter Deck 17: BLUE Donquixote Doflamingo,Starter Deck 17 BLUE Donquixote Doflamingo,https://tcgplayer-cdn.tcgplayer.com/product/545039_200w.jpg,68,23492,https://cpt.tcgcsv.com/P0n6,2024-10-25T04:08:12.303,1,69.96,80.0,100.0,78.23,,Normal,,,,,,,,,,,
545040,Starter Deck 17: BLUE Donquixote Doflamingo Display,Starter Deck 17 BLUE Donquixote Doflamingo Display,https://tcgplayer-cdn.tcgplayer.com/product/545040_200w.jpg,68,23492,https://cpt.tcgcsv.com/Q0n6,2024-10-25T04:08:12.303,1,999.99,999.99,1999.99,,,Normal,,,,,,,,,,,
545041,Starter Deck 17: BLUE Donquixote Doflamingo Display Case,Starter Deck 17 BLUE Donquixote Doflamingo Display Case,https://tcgplayer-cdn.tcgplayer.com/product/545041_200w.jpg,68,23492,https://cpt.tcgcsv.com/R0n6,2024-10-25T04:08:12.303,1,,,,,,,,,,,,,,,,,
581006,Donquixote Doflamingo (OP01-060),Donquixote Doflamingo OP01 060,https://tcgplayer-cdn.tcgplayer.com/product/581006_200w.jpg,68,23492,https://cpt.tcgcsv.com/8qG6,2024-11-04T20:27:04.623,1,1.0,2.5,50.0,1.84,,Foil,L,OP01-060,"[DON!! x2] [When Attacking] [1] <em>(You may rest the specified number of DON!! cards in your cost area.)</em>: Reveal 1 card from the top of your deck. If that card is a ""The Seven Warlords of the Sea"" type Character card with a cost of 4 or less, you may play that card rested.",Blue,Leader,5,5000,Donquixote Pirates;The Seven Warlords of the Sea,Special,,
581007,Donquixote Doflamingo (OP01-073),Donquixote Doflamingo OP01 073,https://tcgplayer-cdn.tcgplayer.com/product/581007_200w.jpg,68,23492,https://cpt.tcgcsv.com/9qG6,2024-10-25T04:08:12.303,1,0.02,0.25,6.99,0.14,,Normal,R,OP01-073,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em><br><br>
[On Play] Look at 5 cards from the top of your deck and place them at the top or bottom of the deck in any order.",Blue,Character,,4000,Donquixote Pirates;The Seven Warlords of the Sea,Special,3,1000
581009,Gecko Moria (OP02-054),Gecko Moria OP02 054,https://tcgplayer-cdn.tcgplayer.com/product/581009_200w.jpg,68,23492,https://cpt.tcgcsv.com/cqG6,2024-10-25T04:08:12.303,1,0.01,0.2,3.0,0.07,,Normal,C,OP02-054,,Blue,Character,,6000,The Seven Warlords of the Sea;Thriller Bark Pirates,Special,4,1000
581010,Bartholomew Kuma,Bartholomew Kuma,https://tcgplayer-cdn.tcgplayer.com/product/581010_200w.jpg,68,23492,https://cpt.tcgcsv.com/dqG6,2024-10-25T04:08:12.303,1,0.01,0.15,5.0,0.06,,Normal,UC,OP02-057,"[On Play] Look at 2 cards from the top of your deck; reveal up to 1 ""The Seven Warlords of the Sea"" type card and add it to your hand. Then, place the rest at the top or bottom of the deck in any order.",Blue,Character,,3000,Revolutionary Army;The Seven Warlords of the Sea,Strike,3,1000
581011,Jinbe,Jinbe,https://tcgplayer-cdn.tcgplayer.com/product/581011_200w.jpg,68,23492,https://cpt.tcgcsv.com/fqG6,2024-10-25T04:08:12.303,1,0.12,0.37,9.99,0.32,,Normal,PR,P-030,[On K.O.] Place up to 1 Character with a cost of 3 or less at the bottom of the owner's deck.,Blue,Character,,5000,Fish-Man;The Seven Warlords of the Sea;The Sun Pirates,Strike,4,1000
581016,Crocodile,Crocodile,https://tcgplayer-cdn.tcgplayer.com/product/581016_200w.jpg,68,23492,https://cpt.tcgcsv.com/lqG6,2024-10-25T04:08:12.303,1,0.03,0.2,3.0,0.16,,Normal,C,ST17-001,"[On Play] Reveal 1 card from the top of your deck. If that card is a ""The Seven Warlords of the Sea"" type card, draw 2 cards and place 1 card from your hand at the top of your deck.",Blue,Character,,5000,Baroque Works;The Seven Warlords of the Sea,Special,4,1000
581017,Trafalgar Law (ST17-002),Trafalgar Law ST17 002,https://tcgplayer-cdn.tcgplayer.com/product/581017_200w.jpg,68,23492,https://cpt.tcgcsv.com/mqG6,2024-10-25T04:08:12.303,1,0.4,1.0,25.0,0.73,,Foil,SR,ST17-002,"[On Play] You may return 1 of your Characters to the owner's hand: If your Leader has the ""The Seven Warlords of the Sea"" type, return up to 1 Character with a cost of 4 or less to the owner's hand.",Blue,Character,,5000,Heart Pirates;The Seven Warlords of the Sea,Slash,4,1000
