productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
545042,Starter Deck 18: PURPLE Monkey.D.Luffy,Starter Deck 18 PURPLE MonkeyDLuffy,https://tcgplayer-cdn.tcgplayer.com/product/545042_200w.jpg,68,23493,https://cpt.tcgcsv.com/S0n6,2024-10-25T04:08:12.303,1,194.49,210.0,250.0,156.84,,Normal,,,,,,,,,,,
545043,Starter Deck 18: PURPLE Monkey.D.Luffy Display,Starter Deck 18 PURPLE MonkeyDLuffy Display,https://tcgplayer-cdn.tcgplayer.com/product/545043_200w.jpg,68,23493,https://cpt.tcgcsv.com/T0n6,2024-10-25T04:08:12.303,1,1499.99,1749.99,1999.99,,,Normal,,,,,,,,,,,
545044,Starter Deck 18: PURPLE Monkey.D.Luffy Display Case,Starter Deck 18 PURPLE MonkeyDLuffy Display Case,https://tcgplayer-cdn.tcgplayer.com/product/545044_200w.jpg,68,23493,https://cpt.tcgcsv.com/V0n6,2024-10-25T04:08:12.303,1,,,,,,,,,,,,,,,,,
581021,Monkey.D.Luffy (OP05-060),MonkeyDLuffy OP05 060,https://tcgplayer-cdn.tcgplayer.com/product/581021_200w.jpg,68,23493,https://cpt.tcgcsv.com/rqG6,2024-11-04T20:27:35.84,1,2.98,3.87,50.0,3.26,,Foil,L,OP05-060,"[Activate: Main] [Once Per Turn] You may add 1 card from the top of your Life cards to your hand: If you have 0 or 3 or more DON!! cards on your field, add up to 1 DON!! card from your DON!! deck and set it as active.",Purple,Leader,5,5000,Straw Hat Crew,Strike,,
581022,Uso-Hachi (OP05-061),Uso Hachi OP05 061,https://tcgplayer-cdn.tcgplayer.com/product/581022_200w.jpg,68,23493,https://cpt.tcgcsv.com/sqG6,2024-10-25T04:08:12.303,1,0.04,0.25,5.0,0.19,,Normal,UC,OP05-061,"[DON!! x1] [When Attacking] If you have 8 or more DON!! cards on your field, rest up to 1 of your opponent's Characters with a cost of 4 or less.",Purple,Character,,4000,Straw Hat Crew,Ranged,3,2000
581023,O-Robi,O Robi,https://tcgplayer-cdn.tcgplayer.com/product/581023_200w.jpg,68,23493,https://cpt.tcgcsv.com/tqG6,2024-10-25T04:08:12.303,1,0.01,0.2,3.0,0.07,,Normal,C,OP05-063,"[On Play] If you have 8 or more DON!! cards on your field, K.O. up to 1 of your opponent's Characters with a cost of 3 or less.",Purple,Character,,5000,Straw Hat Crew,Strike,4,1000
581024,Jinbe,Jinbe,https://tcgplayer-cdn.tcgplayer.com/product/581024_200w.jpg,68,23493,https://cpt.tcgcsv.com/vqG6,2024-10-25T04:08:12.303,1,0.01,0.13,3.0,0.1,,Normal,C,OP05-066,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em><br><br>
[Opponent's Turn] If you have 10 DON!! cards on your field, this Character gains +1000 power.",Purple,Character,,6000,Fish-Man;Straw Hat Crew,Strike,5,1000
581025,Zoro-Juurou (OP05-067),Zoro Juurou OP05 067,https://tcgplayer-cdn.tcgplayer.com/product/581025_200w.jpg,68,23493,https://cpt.tcgcsv.com/wqG6,2024-10-25T04:08:12.303,1,0.1,0.35,5.0,0.39,,Normal,R,OP05-067,"[When Attacking] If you have 3 or less Life cards, add up to 1 DON!! card from your DON!! deck and set it as active.",Purple,Character,,4000,Straw Hat Crew,Slash,3,1000
581026,Chopa-Emon,Chopa Emon,https://tcgplayer-cdn.tcgplayer.com/product/581026_200w.jpg,68,23493,https://cpt.tcgcsv.com/xqG6,2024-10-25T04:08:12.303,1,0.01,0.15,3.0,0.08,,Normal,C,OP05-068,"[On Play] If you have 8 or more DON!! cards on your field, set up to 1 of your purple ""Straw Hat Crew"" type Characters with 6000 power or less as active.",Purple,Character,,3000,Animal;Straw Hat Crew,Wisdom,2,1000
581027,Fra-Nosuke,Fra Nosuke,https://tcgplayer-cdn.tcgplayer.com/product/581027_200w.jpg,68,23493,https://cpt.tcgcsv.com/zqG6,2024-10-25T04:08:12.303,1,0.02,0.17,3.0,0.14,,Normal,UC,OP05-070,"[DON!! x1] If you have 8 or more DON!! cards on your field, this Character gains [Rush].<br><br>
<em>(This card can attack on the turn in which it is played.)</em>",Purple,Character,,4000,Straw Hat Crew,Strike,5,2000
