productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
288221,Starter Deck 1: Straw Hat Crew,Starter Deck 1 Straw Hat Crew,https://tcgplayer-cdn.tcgplayer.com/product/288221_200w.jpg,68,3189,https://cpt.tcgcsv.com/rjk3,2022-12-02T05:03:12.237,1,38.0,60.5,100.0,54.3,,Normal,,,,,,,,,,,
288222,Starter Deck 1: Straw Hat Crew Display,Starter Deck 1 Straw Hat Crew Display,https://tcgplayer-cdn.tcgplayer.com/product/288222_200w.jpg,68,3189,https://cpt.tcgcsv.com/sjk3,2022-12-02T05:03:12.237,1,595.0,595.0,595.0,,,Normal,,,,,,,,,,,
288225,Starter Decks 1-4 [Set of 4],Starter Decks 1 4 Set of 4,https://tcgplayer-cdn.tcgplayer.com/product/288225_200w.jpg,68,3189,https://cpt.tcgcsv.com/wjk3,2022-12-02T05:03:12.237,1,159.99,199.95,9999.99,122.72,,Normal,,,,,,,,,,,
288228,Monkey.D.Luffy (001),MonkeyDLuffy 001,https://tcgplayer-cdn.tcgplayer.com/product/288228_200w.jpg,68,3189,https://cpt.tcgcsv.com/Bjk3,2025-10-14T19:16:48.8,1,53.99,80.0,320.0,83.43,,Foil,L,ST01-001,"[Activate: Main] [Once Per Turn] Give this Leader or 1 of your Characters <span style=""color:red"">up to</span> 1 rested DON!! card.
<br><strong><span style=""color:red"">Disclaimer: This card has been re-printed with new errata'd text as part of the Revision Pack cards series. This product page is for the original, pre-errata print of this card.</span></strong>",Red,Leader,5,5000,Straw Hat Crew;Supernovas,Strike,,
288229,Usopp,Usopp,https://tcgplayer-cdn.tcgplayer.com/product/288229_200w.jpg,68,3189,https://cpt.tcgcsv.com/Cjk3,2022-12-02T05:03:12.237,1,0.02,0.2,3.5,0.17,,Normal,C,ST01-002,[DON!! x2] [When Attacking] Your opponent cannot activate a [Blocker] Character that has 5000 or more power during this battle. [Trigger] Play this card.,Red,Character,,2000,Straw Hat Crew,Ranged,2,1000
288230,Karoo,Karoo,https://tcgplayer-cdn.tcgplayer.com/product/288230_200w.jpg,68,3189,https://cpt.tcgcsv.com/Djk3,2022-12-02T05:03:12.237,1,0.03,0.2,3.0,0.13,,Normal,C,ST01-003,,Red,Character,,3000,Animal;Alabasta,Strike,1,1000
288232,Sanji,Sanji,https://tcgplayer-cdn.tcgplayer.com/product/288232_200w.jpg,68,3189,https://cpt.tcgcsv.com/Gjk3,2022-12-02T05:03:12.237,1,0.1,0.35,5.0,0.25,,Normal,C,ST01-004,[DON!! x2] This Character gains [Rush]. <em>(This card can attack on the turn in which it is played.)</em>,Red,Character,,4000,Straw Hat Crew,Strike,2,
288234,Jinbe,Jinbe,https://tcgplayer-cdn.tcgplayer.com/product/288234_200w.jpg,68,3189,https://cpt.tcgcsv.com/Jjk3,2024-11-26T19:53:00.54,1,0.01,0.2,1.58,0.1,,Normal,C,ST01-005,"[DON!! x1] [When Attacking] <span style=""color:red"">Up to 1 of your</span> Leader or <span style=""color:red"">Character cards</span> other than this card gains +1000 power during this turn.
<br><strong><span style=""color:red"">Disclaimer: This card has been re-printed with new errata'd text as part of the Revision Pack cards series. This product page is for the original, pre-errata print of this card.</span></strong>",Red,Character,,5000,Fish-Man;Straw Hat Crew,Strike,3,
288235,Tony Tony.Chopper,Tony TonyChopper,https://tcgplayer-cdn.tcgplayer.com/product/288235_200w.jpg,68,3189,https://cpt.tcgcsv.com/Kjk3,2022-12-02T05:03:12.237,1,0.15,0.27,5.0,0.28,,Normal,C,ST01-006,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Red,Character,,1000,Animal;Straw Hat Crew,Strike,1,
288236,Nami,Nami,https://tcgplayer-cdn.tcgplayer.com/product/288236_200w.jpg,68,3189,https://cpt.tcgcsv.com/Ljk3,2024-11-26T19:53:08.233,1,0.44,1.0,28.7,0.55,,Normal,C,ST01-007,"[Activate: Main] [Once Per Turn] Give <span style=""color:red"">up to</span> 1 rested DON!! card to your Leader or 1 of your Characters.
<br><strong><span style=""color:red"">Disclaimer: This card has been re-printed with new errata'd text as part of the Revision Pack cards series. This product page is for the original, pre-errata print of this card.</span></strong>",Red,Character,,1000,Straw Hat Crew,Special,1,1000
288237,Nico Robin,Nico Robin,https://tcgplayer-cdn.tcgplayer.com/product/288237_200w.jpg,68,3189,https://cpt.tcgcsv.com/Mjk3,2022-12-02T05:03:12.237,1,0.04,0.25,3.0,0.28,,Normal,C,ST01-008,,Red,Character,,5000,Straw Hat Crew,Wisdom,3,1000
