productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
545048,Starter Deck 20: YELLOW Charlotte Katakuri,Starter Deck 20 YELLOW Charlotte Katakuri,https://tcgplayer-cdn.tcgplayer.com/product/545048_200w.jpg,68,23495,https://cpt.tcgcsv.com/-0n6,2024-10-25T04:08:12.303,1,51.0,60.14,100.0,51.69,,Normal,,,,,,,,,,,
545049,Starter Deck 20: YELLOW Charlotte Katakuri Display,Starter Deck 20 YELLOW Charlotte Katakuri Display,https://tcgplayer-cdn.tcgplayer.com/product/545049_200w.jpg,68,23495,https://cpt.tcgcsv.com/_0n6,2024-10-25T04:08:12.303,1,,,,,,,,,,,,,,,,,
545050,Starter Deck 20: YELLOW Charlotte Katakuri Display Case,Starter Deck 20 YELLOW Charlotte Katakuri Display Case,https://tcgplayer-cdn.tcgplayer.com/product/545050_200w.jpg,68,23495,https://cpt.tcgcsv.com/02n6,2024-10-25T04:08:12.303,1,,,,,,,,,,,,,,,,,
581051,Charlotte Katakuri (OP03-099),Charlotte Katakuri OP03 099,https://tcgplayer-cdn.tcgplayer.com/product/581051_200w.jpg,68,23495,https://cpt.tcgcsv.com/2rG6,2024-11-04T20:30:24.457,1,0.99,1.57,25.0,1.44,,Foil,L,OP03-099,"[DON!! x1] [When Attacking] Look at up to 1 card from the top of your or your opponent's Life cards, and place it at the top or bottom of the Life cards. Then, this Leader gains +1000 power during this battle.",Yellow,Leader,5,5000,Big Mom Pirates,Strike,,
581052,Charlotte Opera,Charlotte Opera,https://tcgplayer-cdn.tcgplayer.com/product/581052_200w.jpg,68,23495,https://cpt.tcgcsv.com/3rG6,2024-10-25T04:08:12.303,1,0.01,0.15,3.0,0.04,,Normal,C,OP03-106,,Yellow,Character,,6000,Big Mom Pirates,Special,4,1000
581053,Charlotte Galette,Charlotte Galette,https://tcgplayer-cdn.tcgplayer.com/product/581053_200w.jpg,68,23495,https://cpt.tcgcsv.com/5rG6,2024-10-25T04:08:12.303,1,0.06,0.2,5.0,0.15,,Normal,C,OP03-107,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Yellow,Character,,2000,Big Mom Pirates,Special,2,1000
581054,Charlotte Smoothie,Charlotte Smoothie,https://tcgplayer-cdn.tcgplayer.com/product/581054_200w.jpg,68,23495,https://cpt.tcgcsv.com/6rG6,2024-10-25T04:08:12.303,1,0.03,0.2,5.0,0.12,,Normal,R,OP03-110,"[When Attacking] You may add 1 card from the top or bottom of your Life cards to your hand: This Character gains +2000 power during this battle.<br><br>
[Trigger] You may trash 1 card from your hand: Play this card.",Yellow,Character,,5000,Big Mom Pirates,Special,4,1000
581055,Charlotte Pudding (OP03-112),Charlotte Pudding OP03 112,https://tcgplayer-cdn.tcgplayer.com/product/581055_200w.jpg,68,23495,https://cpt.tcgcsv.com/7rG6,2024-10-25T04:08:12.303,1,0.02,0.2,5.0,0.16,,Normal,R,OP03-112,"[On Play] Look at 4 cards from the top of your deck; reveal up to 1 [Sanji] or ""Big Mom Pirates"" type card other than [Charlotte Pudding] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Yellow,Character,,2000,Big Mom Pirates,Wisdom,1,1000
581059,Charlotte Daifuku,Charlotte Daifuku,https://tcgplayer-cdn.tcgplayer.com/product/581059_200w.jpg,68,23495,https://cpt.tcgcsv.com/crG6,2024-10-25T04:08:12.303,1,0.02,0.15,4.99,0.08,,Normal,C,ST07-005,[DON!! x1] [When Attacking] You may add 1 card from the top or bottom of your Life cards to your hand: Add up to 1 card from the top of your deck to the top of your Life cards.,Yellow,Character,,5000,Big Mom Pirates,Slash,4,1000
581061,Charlotte Katakuri (ST20-001),Charlotte Katakuri ST20 001,https://tcgplayer-cdn.tcgplayer.com/product/581061_200w.jpg,68,23495,https://cpt.tcgcsv.com/frG6,2024-10-25T04:08:12.303,1,0.44,1.18,10.0,0.86,,Foil,SR,ST20-001,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em><br><br>
[Activate: Main] [Once Per Turn] You may turn 1 card from the top of your Life cards face-up: Give up to 1 rested DON!! card to your Leader or 1 of your Characters.",Yellow,Character,,6000,Big Mom Pirates,Strike,5,1000
