productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
627669,Starter Deck 23: RED Shanks,Starter Deck 23 RED Shanks,https://tcgplayer-cdn.tcgplayer.com/product/627669_200w.jpg,68,24282,https://cpt.tcgcsv.com/p527,2025-06-06T04:10:20.23,1,41.0,49.99,59.95,45.49,,Normal,,,,,,,,,,,
627670,Starter Deck 23: RED Shanks Display,Starter Deck 23 RED Shanks Display,https://tcgplayer-cdn.tcgplayer.com/product/627670_200w.jpg,68,24282,https://cpt.tcgcsv.com/q527,2025-06-06T04:10:20.23,1,899.85,899.9,999.99,200.37,,Normal,,,,,,,,,,,
633760,Shanks (Reprint),Shanks Reprint,https://tcgplayer-cdn.tcgplayer.com/product/633760_200w.jpg,68,24282,https://cpt.tcgcsv.com/dw57,2025-09-30T14:07:54.38,1,0.99,1.6,10.0,1.26,,Foil,L,OP09-001,[Once Per Turn] This effect can be activated when your opponent attacks. Give up to 1 of your opponent's Leader or Character cards 1000 power during this turn.,Red,Leader,5,5000,The Four Emperors;Red-Haired Pirates,Slash,,
633761,Uta,Uta,https://tcgplayer-cdn.tcgplayer.com/product/633761_200w.jpg,68,24282,https://cpt.tcgcsv.com/fw57,2025-06-06T04:10:20.23,1,6.99,13.25,50.0,9.94,,Foil,SR,ST23-001,"If you have a Character with 10000 power or more, give this card in your hand -4 cost.
<br>[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Red,Character,,4000,FILM,Special,6,2000
633762,Shanks (002),Shanks 002,https://tcgplayer-cdn.tcgplayer.com/product/633762_200w.jpg,68,24282,https://cpt.tcgcsv.com/gw57,2025-06-06T04:10:20.23,1,1.99,2.57,10.0,2.38,,Foil,SR,ST23-002,"If your opponent has a Character with 8000 base power or more, give this card in your hand -3 cost.
<br>[On Play] If your Leader has the ""Red-Haired Pirates"" type or is [Uta], your Leader gains +2000 power until the end of your opponent's next End Phase.",Red,Character,,10000,The Four Emperors;Red-Haired Pirates,Slash,9,
633763,Benn.Beckman,BennBeckman,https://tcgplayer-cdn.tcgplayer.com/product/633763_200w.jpg,68,24282,https://cpt.tcgcsv.com/hw57,2025-06-06T04:10:20.23,1,0.03,0.21,10.0,0.13,,Normal,C,ST23-003,"[On Play] <strong>You may trash 1 card from your hand:</strong> If your Leader has the ""Red-Haired Pirates"" type, K.O. up to 1 of your opponent's Characters with 4000 base power or less.",Red,Character,,5000,Red-Haired Pirates,Ranged,4,1000
633764,Monkey.D.Luffy,MonkeyDLuffy,https://tcgplayer-cdn.tcgplayer.com/product/633764_200w.jpg,68,24282,https://cpt.tcgcsv.com/jw57,2025-06-06T04:10:20.23,1,0.05,0.22,5.0,0.17,,Normal,C,ST23-004,[Activate:Main] <strong>You may rest 1 of your DON!! cards and this Character:</strong> Give up to 1 of your opponent's Characters-1000 power during this turn.,Red,Character,,2000,FILM;Straw Hat Crew;Supernovas,Strike,1,1000
633943,Yasopp,Yasopp,https://tcgplayer-cdn.tcgplayer.com/product/633943_200w.jpg,68,24282,https://cpt.tcgcsv.com/TB57,2025-06-06T04:10:20.23,1,0.03,0.19,10.0,0.15,,Normal,C,ST23-005,[Activate:Main] [Once Per Turn] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.,Red,Character,,1000,Red-Haired Pirates,Ranged,1,1000
634269,Howling Gab (Reprint),Howling Gab Reprint,https://tcgplayer-cdn.tcgplayer.com/product/634269_200w.jpg,68,24282,https://cpt.tcgcsv.com/pK57,2025-06-06T04:10:20.23,1,0.01,0.15,3.0,0.02,,Normal,C,OP09-006,"<span style=""color:red"">DISCLAIMER: This card is a reprint of the pre-existing card in the OP09 set. The main difference between this card and the original print is the inclusion of ""EN"" on the right side, by the copyright information.</span>",Red,Character,,7000,Red-Haired Pirates,Special,5,1000
634270,Bonk Punch (Reprint),Bonk Punch Reprint,https://tcgplayer-cdn.tcgplayer.com/product/634270_200w.jpg,68,24282,https://cpt.tcgcsv.com/qK57,2025-06-06T04:10:20.23,1,0.01,0.1,3.0,0.08,,Normal,C,OP09-010,"[On Play] Play up to 1 [Monster] from your hand.<br>
[DON!! x1] [When Attacking] This Character gains +2000 power during this turn.
<br>
<br><span style=""color:red"">DISCLAIMER: This card is a reprint of the pre-existing card in the OP09 set. The main difference between this card and the original print is the inclusion of ""EN"" on the right side, by the copyright information.</span>",Red,Character,,5000,Red-Haired Pirates,Strike,4,1000
634272,Hongo (Reprint),Hongo Reprint,https://tcgplayer-cdn.tcgplayer.com/product/634272_200w.jpg,68,24282,https://cpt.tcgcsv.com/sK57,2025-06-06T04:10:20.23,1,0.01,0.15,3.0,0.09,,Normal,UC,OP09-011,"[Activate: Main] <strong>You may rest this Character</strong>: If your Leader has the ""Red-Haired Pirates"" type, give up to 1 of your opponent's Characters 2000 power during this turn.
<br>
<br><span style=""color:red"">DISCLAIMER: This card is a reprint of the pre-existing card in the OP09 set. The main difference between this card and the original print is the inclusion of ""EN"" on the right side, by the copyright information.</span>",Red,Character,,3000,Red-Haired Pirates,Strike,3,2000
634274,Monster (Reprint),Monster Reprint,https://tcgplayer-cdn.tcgplayer.com/product/634274_200w.jpg,68,24282,https://cpt.tcgcsv.com/vK57,2025-06-06T04:10:20.23,1,0.01,0.15,3.0,0.04,,Normal,C,OP09-012,"If your Character [Bonk Punch] would be K.O.'d by an effect, you may trash this Character instead.
<br>
<br><span style=""color:red"">DISCLAIMER: This card is a reprint of the pre-existing card in the OP09 set. The main difference between this card and the original print is the inclusion of ""EN"" on the right side, by the copyright information.</span>",Red,Character,,4000,Animal;Red-Haired Pirates,Strike,3,1000
634276,Yasopp (Reprint),Yasopp Reprint,https://tcgplayer-cdn.tcgplayer.com/product/634276_200w.jpg,68,24282,https://cpt.tcgcsv.com/xK57,2025-06-06T04:10:20.23,1,0.01,0.15,3.0,0.1,,Normal,R,OP09-013,"[On Play] Up to 1 of your Leader gains +1000 power until the end of your opponent's next turn.<br>
[DON!! x1] [When Attacking] Give up to 1 of your opponent's Characters 1000 power during this turn.
<br>
<br><span style=""color:red"">DISCLAIMER: This card is a reprint of the pre-existing card in the OP09 set. The main difference between this card and the original print is the inclusion of ""EN"" on the right side, by the copyright information.</span>",Red,Character,,6000,Red-Haired Pirates,Ranged,5,1000
634277,Lucky.Roux (Reprint),LuckyRoux Reprint,https://tcgplayer-cdn.tcgplayer.com/product/634277_200w.jpg,68,24282,https://cpt.tcgcsv.com/zK57,2025-06-06T04:10:20.23,1,0.03,0.2,3.0,0.1,,Normal,R,OP09-015,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em><br>
[On K.O.] If your Leader has the ""Red-Haired Pirates"" type, K.O. up to 1 of your opponent's Characters with a base power of 6000 or less.
<br>
<br><span style=""color:red"">DISCLAIMER: This card is a reprint of the pre-existing card in the OP09 set. The main difference between this card and the original print is the inclusion of ""EN"" on the right side, by the copyright information.</span>",Red,Character,,5000,Red-Haired Pirates,Ranged,4,1000
634278,Limejuice (Reprint),Limejuice Reprint,https://tcgplayer-cdn.tcgplayer.com/product/634278_200w.jpg,68,24282,https://cpt.tcgcsv.com/BK57,2025-06-06T04:10:20.23,1,0.01,0.15,3.0,0.08,,Normal,UC,OP09-014,"[On Play] Your opponent cannot activate up to 1 [Blocker] Character that has 4000 power or less during this turn.
<br>
<br><span style=""color:red"">DISCLAIMER: This card is a reprint of the pre-existing card in the OP09 set. The main difference between this card and the original print is the inclusion of ""EN"" on the right side, by the copyright information.</span>",Red,Character,,3000,Red-Haired Pirates,Special,3,2000
634280,Rockstar (Reprint),Rockstar Reprint,https://tcgplayer-cdn.tcgplayer.com/product/634280_200w.jpg,68,24282,https://cpt.tcgcsv.com/DK57,2025-06-06T04:10:20.23,1,0.01,0.14,3.0,0.05,,Normal,C,OP09-016,"<span style=""color:red"">DISCLAIMER: This card is a reprint of the pre-existing card in the OP09 set. The main difference between this card and the original print is the inclusion of ""EN"" on the right side, by the copyright information.</span>",Red,Character,,6000,Red-Haired Pirates,Slash,4,1000
634282,Come On!! We'll Fight You!! (Reprint),Come On Well Fight You Reprint,https://tcgplayer-cdn.tcgplayer.com/product/634282_200w.jpg,68,24282,https://cpt.tcgcsv.com/GK57,2025-06-06T04:10:20.23,1,0.01,0.2,5.0,0.1,,Normal,R,OP09-020,"[Main] Look at 5 cards from the top of your deck; reveal up to 1 ""Red-Haired Pirates"" type card other than [Come On!! We'll Fight You!!] and add it to your hand. Then, place the rest at the bottom of your deck in any order.<br>
[Trigger] Draw 1 card.
<br>
<br><span style=""color:red"">DISCLAIMER: This card is a reprint of the pre-existing card in the OP09 set. The main difference between this card and the original print is the inclusion of ""EN"" on the right side, by the copyright information.</span>",Red,Event,,,The Four Emperors;Red-Haired Pirates,,1,
659940,Starter Decks 23-28 [Set of 6],Starter Decks 23 28 Set of 6,https://tcgplayer-cdn.tcgplayer.com/product/659940_200w.jpg,68,24282,https://cpt.tcgcsv.com/Q-h7,2025-10-23T12:07:38.807,1,299.0,299.0,299.0,209.49,,Normal,,,,,,,,,,,
