productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extPower,extSubtypes,extCounterplus,extAttribute,extLife
627671,Starter Deck 24: GREEN Jewelry Bonney Display,Starter Deck 24 GREEN Jewelry Bonney Display,https://tcgplayer-cdn.tcgplayer.com/product/627671_200w.jpg,68,24283,https://cpt.tcgcsv.com/r527,2025-06-06T04:10:20.23,1,300.0,304.99,305.0,160.85,,Normal,,,,,,,,,,,
627672,Starter Deck 24: GREEN Jewelry Bonney,Starter Deck 24 GREEN Jewelry Bonney,https://tcgplayer-cdn.tcgplayer.com/product/627672_200w.jpg,68,24283,https://cpt.tcgcsv.com/s527,2025-06-06T04:10:20.23,1,29.99,40.46,100.0,31.38,,Normal,,,,,,,,,,,
634598,Scratchmen Apoo (Reprint),Scratchmen Apoo Reprint,https://tcgplayer-cdn.tcgplayer.com/product/634598_200w.jpg,68,24283,https://cpt.tcgcsv.com/-R57,2025-06-06T04:10:20.23,1,0.02,0.25,10.0,0.15,,Normal,R,EB01-015,"[On Play] Rest up to 1 of your opponent's Characters with a cost of 2 or less.
<br>
<br><span style=""color:red"">DISCLAIMER: This card is a reprint of the pre-existing card in the EB01 set. The main difference between this card and the original print is the inclusion of ""EN"" on the right side, by the copyright information.</span>",Green,Character,1,1000,On-Air Pirates;Supernovas,2000,Special,
634599,Jewelry Bonney (OP07-019),Jewelry Bonney OP07 019,https://tcgplayer-cdn.tcgplayer.com/product/634599_200w.jpg,68,24283,https://cpt.tcgcsv.com/_R57,2025-06-06T04:10:20.23,1,0.25,1.45,10.0,1.24,,Foil,L,OP07-019,[On Your Opponent's Attack] [Once Per Turn] (1) <em>(You may rest the specified number of DON!! cards in your cost area.)</em>: Rest up to 1 of your opponent's Leader or Character cards.,Green,Leader,,5000,Bonney Pirates;Supernovas,,Special,5
634600,Urouge (Reprint),Urouge Reprint,https://tcgplayer-cdn.tcgplayer.com/product/634600_200w.jpg,68,24283,https://cpt.tcgcsv.com/0S57,2025-06-06T04:10:20.23,1,0.01,0.15,3.0,0.09,,Normal,R,OP07-021,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>[End of Your Turn] Set up to 1 of your DON!! cards as active.
<br>
<br><span style=""color:red"">DISCLAIMER: This card is a reprint of the pre-existing card in the OP07 set. The main difference between this card and the original print is the inclusion of ""EN"" on the right side, by the copyright information.</span>",Green,Character,4,5000,Fallen Monk Pirates;Supernovas,1000,Strike,
634601,Caribou (Reprint),Caribou Reprint,https://tcgplayer-cdn.tcgplayer.com/product/634601_200w.jpg,68,24283,https://cpt.tcgcsv.com/2S57,2025-06-06T04:10:20.23,1,0.01,0.1,3.0,0.09,,Normal,UC,OP07-023,"If you have 6 or more rested DON!! cards, this Character gains +1000 power.
<br>[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
<br><span style=""color:red"">DISCLAIMER: This card is a reprint of the pre-existing card in the OP07 set. The main difference between this card and the original print is the inclusion of ""EN"" on the right side, by the copyright information.</span>",Green,Character,4,5000,Caribou Pirates;Supernovas,1000,Special,
634602,Coribou (Reprint),Coribou Reprint,https://tcgplayer-cdn.tcgplayer.com/product/634602_200w.jpg,68,24283,https://cpt.tcgcsv.com/3S57,2025-06-06T04:10:20.23,1,0.01,0.1,3.0,0.04,,Normal,C,OP07-025,"[On Play] Play up to 1 [Caribou] with a cost of 4 or less from your hand rested.
<br>
<br><span style=""color:red"">DISCLAIMER: This card is a reprint of the pre-existing card in the OP07 set. The main difference between this card and the original print is the inclusion of ""EN"" on the right side, by the copyright information.</span>",Green,Character,3,3000,Caribou Pirates;Supernovas,,Strike,
634603,Bartolomeo (Reprint),Bartolomeo Reprint,https://tcgplayer-cdn.tcgplayer.com/product/634603_200w.jpg,68,24283,https://cpt.tcgcsv.com/5S57,2025-06-06T04:10:20.23,1,0.01,0.15,3.0,0.08,,Normal,UC,OP07-031,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>[Your Turn] [Once Per Turn] If a Character is rested by your effect, draw 1 card and trash 1 card from your hand.
<br>
<br><span style=""color:red"">DISCLAIMER: This card is a reprint of the pre-existing card in the OP07 set. The main difference between this card and the original print is the inclusion of ""EN"" on the right side, by the copyright information.</span>",Green,Character,3,4000,Supernovas;Barto Club,1000,Special,
634605,Monkey.D.Luffy (Reprint),MonkeyDLuffy Reprint,https://tcgplayer-cdn.tcgplayer.com/product/634605_200w.jpg,68,24283,https://cpt.tcgcsv.com/7S57,2025-06-06T04:10:20.23,1,0.01,0.15,3.0,0.13,,Normal,UC,OP07-033,"If you have 3 or more Characters, your Characters with a cost of 3 or less other than [Monkey.D.Luffy] cannot be K.O.'d by your opponent's effects.
<br>
<br><span style=""color:red"">DISCLAIMER: This card is a reprint of the pre-existing card in the OP07 set. The main difference between this card and the original print is the inclusion of ""EN"" on the right side, by the copyright information.</span>",Green,Character,5,6000,Straw Hat Crew;Supernovas,1000,Strike,
634608,Roronoa Zoro (Reprint),Roronoa Zoro Reprint,https://tcgplayer-cdn.tcgplayer.com/product/634608_200w.jpg,68,24283,https://cpt.tcgcsv.com/bS57,2025-06-06T04:10:20.23,1,0.01,0.14,3.0,0.11,,Normal,UC,OP07-034,"[When Attacking] If you have 3 or more Characters, this Character gains +2000 power during this turn.
<br>
<br><span style=""color:red"">DISCLAIMER: This card is a reprint of the pre-existing card in the OP07 set. The main difference between this card and the original print is the inclusion of ""EN"" on the right side, by the copyright information.</span>",Green,Character,1,2000,Straw Hat Crew;Supernovas,1000,Slash,
