productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
627676,Starter Deck 26: PURPLE/BLACK Monkey.D.Luffy Display,Starter Deck 26 PURPLE BLACK MonkeyDLuffy Display,https://tcgplayer-cdn.tcgplayer.com/product/627676_200w.jpg,68,24285,https://cpt.tcgcsv.com/x527,2025-06-06T04:10:20.23,1,329.98,329.99,349.95,208.28,,Normal,,,,,,,,,,,
627677,Starter Deck 26: PURPLE/BLACK Monkey.D.Luffy,Starter Deck 26 PURPLE BLACK MonkeyDLuffy,https://tcgplayer-cdn.tcgplayer.com/product/627677_200w.jpg,68,24285,https://cpt.tcgcsv.com/z527,2025-06-06T04:10:20.23,1,31.6,40.44,64.99,39.51,,Normal,,,,,,,,,,,
632776,Monkey.D.Luffy (OP09-061),MonkeyDLuffy OP09 061,https://tcgplayer-cdn.tcgplayer.com/product/632776_200w.jpg,68,24285,https://cpt.tcgcsv.com/x757,2025-06-06T04:10:20.23,1,7.49,11.25,49.99,10.64,,Foil,L,OP09-061,"[DON!! x1] All of your Characters gain +1 cost.<br>
[Your Turn] [Once Per Turn] When 2 or more DON!! cards on your field are returned to your DON!! deck, add up to 1 DON!! card from your DON!! deck and set it as active, and add up to 1 additional DON!! card and rest it.",Purple;Black,Leader,4,5000,Straw Hat Crew;The Four Emperors,Strike,,
632777,Nico Robin,Nico Robin,https://tcgplayer-cdn.tcgplayer.com/product/632777_200w.jpg,68,24285,https://cpt.tcgcsv.com/z757,2025-06-06T04:10:20.23,1,1.4,2.15,25.0,1.71,,Foil,SR,ST26-003,[On Play] <strong>DON!! -2 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.)</em>:</strong> Add up to 1 DON!! card from your DON!! deck and set it as active.,Purple,Character,,4000,Straw Hat Crew,Strike,3,2000
632778,Monkey.D.Luffy (ST26-005),MonkeyDLuffy ST26 005,https://tcgplayer-cdn.tcgplayer.com/product/632778_200w.jpg,68,24285,https://cpt.tcgcsv.com/B757,2025-06-06T04:10:20.23,1,0.8,2.74,15.0,1.86,,Foil,SR,ST26-005,"[On Play] / [When Attacking] <strong>DON!! -2 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.)</em>:</strong> If your Leader is multicolored and your opponent has 5 or more DON!! cards on their field, your ""Straw Hat Crew"" type Leader's base power becomes 7000 until the end of your opponent's next End Phase.",Purple,Character,,7000,Straw Hat Crew,Strike,6,
632779,Soba Mask,Soba Mask,https://tcgplayer-cdn.tcgplayer.com/product/632779_200w.jpg,68,24285,https://cpt.tcgcsv.com/C757,2025-06-06T04:10:20.23,1,0.05,0.2,5.0,0.15,,Normal,C,ST26-001,"If you have a [San-Gorou] or [Sanji] Character with 7000 base power or more, give this card in your hand -5 cost. 
<br>[On Play] Return all of your [San-Gorou] and [Sanji] Characters to the owner's hand.",Purple,Character,,9000,Straw Hat Crew,Strike,7,
632780,Tony Tony.Chopper,Tony TonyChopper,https://tcgplayer-cdn.tcgplayer.com/product/632780_200w.jpg,68,24285,https://cpt.tcgcsv.com/D757,2025-06-06T04:10:20.23,1,0.15,0.35,25.0,0.34,,Normal,C,ST26-002,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>[On Play] <strong>DON!! -2 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.)</em>:</strong> Rest up to 1 of your opponent's DON!! cards or Characters with a cost of 1 or less.",Purple,Character,,4000,Animal;Straw Hat Crew,Wisdom,3,1000
632781,General Franky,General Franky,https://tcgplayer-cdn.tcgplayer.com/product/632781_200w.jpg,68,24285,https://cpt.tcgcsv.com/F757,2025-06-06T04:10:20.23,1,0.03,0.15,5.0,0.11,,Normal,C,ST26-004,[On Play] <strong>DON!! -2 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.)</em>:</strong> Give up to 2 of your opponent's Characters -2000 power during this turn.,Purple,Character,,10000,Straw Hat Crew,Ranged,8,
634310,San-Gorou (Reprint),San Gorou Reprint,https://tcgplayer-cdn.tcgplayer.com/product/634310_200w.jpg,68,24285,https://cpt.tcgcsv.com/dL57,2025-06-06T04:10:20.23,1,0.01,0.1,3.0,0.05,,Normal,C,OP05-065,"<span style=""color:red"">DISCLAIMER: This card is a reprint of the pre-existing card in the OP05 set. The main difference between this card and the original print is the inclusion of ""EN"" on the right side, by the copyright information.</span>",Purple,Character,,8000,Straw Hat Crew,Strike,6,1000
634311,Jinbe (Reprint),Jinbe Reprint,https://tcgplayer-cdn.tcgplayer.com/product/634311_200w.jpg,68,24285,https://cpt.tcgcsv.com/fL57,2025-06-06T04:10:20.23,1,0.01,0.12,3.0,0.06,,Normal,C,OP05-066,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
[Opponent's Turn] If you have 10 DON!! cards on your field, this Character gains +1000 power.
<br>
<br><span style=""color:red"">DISCLAIMER: This card is a reprint of the pre-existing card in the OP05 set. The main difference between this card and the original print is the inclusion of ""EN"" on the right side, by the copyright information.</span>",Purple,Character,,6000,Fish-Man;Straw Hat Crew,Strike,5,1000
