productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
627678,Starter Deck 27: BLACK Marshall.D.Teach,Starter Deck 27 BLACK MarshallDTeach,https://tcgplayer-cdn.tcgplayer.com/product/627678_200w.jpg,68,24286,https://cpt.tcgcsv.com/B527,2025-06-06T04:10:20.23,1,29.99,44.99,100.0,38.2,,Normal,,,,,,,,,,,
627679,Starter Deck 27: BLACK Marshall.D.Teach Display,Starter Deck 27 BLACK MarshallDTeach Display,https://tcgplayer-cdn.tcgplayer.com/product/627679_200w.jpg,68,24286,https://cpt.tcgcsv.com/C527,2025-06-06T04:10:20.23,1,300.0,314.98,350.0,151.43,,Normal,,,,,,,,,,,
632819,Marshall.D.Teach (OP09-081),MarshallDTeach OP09 081,https://tcgplayer-cdn.tcgplayer.com/product/632819_200w.jpg,68,24286,https://cpt.tcgcsv.com/p857,2025-06-06T04:10:20.23,1,0.5,1.15,10.0,0.99,,Foil,L,OP09-081,"Your [On Play] effects are negated.<br>
[Activate: Main] <strong>You may trash 1 card from your hand</strong>: Your opponent's [On Play] effects are negated until the end of your opponent's next turn.",Black,Leader,5,5000,Blackbeard Pirates;The Four Emperors,Special,,
633092,Kuzan,Kuzan,https://tcgplayer-cdn.tcgplayer.com/product/633092_200w.jpg,68,24286,https://cpt.tcgcsv.com/Sf57,2025-06-06T04:10:20.23,1,0.75,2.0,25.0,1.18,,Foil,SR,ST27-003,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>[On K.O.] Play up to 1 ""Blackbeard Pirates"" type Character card with a cost of 5 or less from your trash rested.",Black,Character,,6000,Blackbeard Pirates;Former Navy,Special,6,1000
633093,Marshall.D.Teach (ST27-005),MarshallDTeach ST27 005,https://tcgplayer-cdn.tcgplayer.com/product/633093_200w.jpg,68,24286,https://cpt.tcgcsv.com/Tf57,2025-06-06T04:10:20.23,1,0.45,0.99,25.0,0.61,,Foil,SR,ST27-005,"[Activate:Main] <strong>You may rest this Character:</strong> K.O. up to 1 Character with a cost of 3 or less.
<br>[On K.O.] Add up to 1 black card from your trash to your hand.",Black,Character,,8000,Blackbeard Pirates;The Four Emperors,Special,7,
633179,Avalo Pizarro,Avalo Pizarro,https://tcgplayer-cdn.tcgplayer.com/product/633179_200w.jpg,68,24286,https://cpt.tcgcsv.com/Ch57,2025-06-06T04:10:20.23,1,0.01,0.15,5.0,0.12,,Normal,C,ST27-001,"[Activate:Main] [Once Per Turn] <strong>You may rest 1 of your [Fullalead] cards:</strong> If your Leader has the ""Blackbeard Pirates"" type, this Character gains +4000 power during this turn.
<br>[On K.O.] Draw 1 card.",Black,Character,,1000,Blackbeard Pirates,Special,1,1000
633180,Catarina Devon,Catarina Devon,https://tcgplayer-cdn.tcgplayer.com/product/633180_200w.jpg,68,24286,https://cpt.tcgcsv.com/Dh57,2025-06-06T04:10:20.23,1,0.02,0.2,5.0,0.13,,Normal,C,ST27-002,"[Activate:Main] <strong>You may trash this Character:</strong> If your Leader has the ""Blackbeard Pirates"" type, give up to 1 of your opponent's Characters -1 cost during this turn.
<br>[On K.O.] Draw 1 card.",Black,Character,,1000,Blackbeard Pirates,Special,1,2000
633181,Sanjuan.Wolf,SanjuanWolf,https://tcgplayer-cdn.tcgplayer.com/product/633181_200w.jpg,68,24286,https://cpt.tcgcsv.com/Fh57,2025-06-06T04:10:20.23,1,0.03,0.2,5.0,0.18,,Normal,C,ST27-004,"If your Leader has the ""Blackbeard Pirates"" type, this Character gains [Blocker] and +1 cost for every 4 cards in your trash.
<br><em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>[On Play] Trash 1 card from your hand.",Black,Character,,6000,Blackbeard Pirates;Giant,Strike,4,1000
634319,Van Augur (Reprint),Van Augur Reprint,https://tcgplayer-cdn.tcgplayer.com/product/634319_200w.jpg,68,24286,https://cpt.tcgcsv.com/pL57,2025-06-06T04:10:20.23,1,0.02,0.18,4.99,0.1,,Normal,R,OP09-083,"[Activate: Main] <strong>You may rest this Character</strong>: If your Leader has the ""Blackbeard Pirates"" type, give up to 1 of your opponent's Characters 3 cost during this turn.
<br>[On K.O.] Draw 1 card.
<br>
<br><span style=""color:red"">DISCLAIMER: This card is a reprint of the pre-existing card in the OP09 set. The main difference between this card and the original print is the inclusion of ""EN"" on the right side, by the copyright information.</span>",Black,Character,,6000,Blackbeard Pirates,Ranged,5,1000
634320,Jesus Burgess (Reprint),Jesus Burgess Reprint,https://tcgplayer-cdn.tcgplayer.com/product/634320_200w.jpg,68,24286,https://cpt.tcgcsv.com/qL57,2025-06-06T04:10:20.23,1,0.03,0.2,5.0,0.12,,Normal,R,OP09-086,"This Character cannot be K.O.'d by your opponent's effects.<br>
If your Leader has the ""Blackbeard Pirates"" type, this Character gains +1000 power for every 4 cards in your trash.
<br>
<br><span style=""color:red"">DISCLAIMER: This card is a reprint of the pre-existing card in the OP09 set. The main difference between this card and the original print is the inclusion of ""EN"" on the right side, by the copyright information.</span>",Black,Character,,5000,Blackbeard Pirates,Strike,4,1000
