productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
288226,Starter Deck 2: Worst Generation,Starter Deck 2 Worst Generation,https://tcgplayer-cdn.tcgplayer.com/product/288226_200w.jpg,68,3191,https://cpt.tcgcsv.com/xjk3,2022-12-02T05:03:12.237,1,20.84,26.97,80.0,22.56,,Normal,,,,,,,,,,,
288231,Starter Deck 2: Worst Generation Display,Starter Deck 2 Worst Generation Display,https://tcgplayer-cdn.tcgplayer.com/product/288231_200w.jpg,68,3191,https://cpt.tcgcsv.com/Fjk3,2022-12-02T05:03:12.237,1,500.0,500.0,500.0,,,Normal,,,,,,,,,,,
288249,"Eustass""Captain""Kid (001)",EustassCaptainKid 001,https://tcgplayer-cdn.tcgplayer.com/product/288249_200w.jpg,68,3191,https://cpt.tcgcsv.com/_jk3,2022-12-02T05:03:12.237,1,0.8,2.91,29.99,1.59,,Foil,L,ST02-001,[Activate: Main] [Once Per Turn] (3) <em>(You may rest the specified number of DON!! cards in your cost area.)</em> You may trash 1 card from your hand: Set this Leader as active.,Green,Leader,5,5000,Kid Pirates;Supernovas,Special,,
288250,Vito,Vito,https://tcgplayer-cdn.tcgplayer.com/product/288250_200w.jpg,68,3191,https://cpt.tcgcsv.com/0kk3,2022-12-02T05:03:12.237,1,0.01,0.2,3.0,0.09,,Normal,C,ST02-002,,Green,Character,,5000,Firetank Pirates,Ranged,3,1000
288251,Urouge,Urouge,https://tcgplayer-cdn.tcgplayer.com/product/288251_200w.jpg,68,3191,https://cpt.tcgcsv.com/2kk3,2022-12-02T05:03:12.237,1,0.08,0.25,3.0,0.16,,Normal,C,ST02-003,"[DON!! x1] If you have 3 or more Characters, this card gains +2000 power.",Green,Character,,3000,Fallen Monk Pirates;Supernovas,Strike,2,1000
288252,"Capone""Gang""Bege",CaponeGangBege,https://tcgplayer-cdn.tcgplayer.com/product/288252_200w.jpg,68,3191,https://cpt.tcgcsv.com/3kk3,2023-11-16T21:21:59.587,1,0.02,0.18,7.0,0.11,,Normal,C,ST02-004,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Green,Character,,1000,Firetank Pirates;Supernovas,Special,1,
288253,Killer,Killer,https://tcgplayer-cdn.tcgplayer.com/product/288253_200w.jpg,68,3191,https://cpt.tcgcsv.com/5kk3,2024-11-26T19:54:47.607,1,0.07,0.25,4.99,0.21,,Normal,C,ST02-005,"[On Play] K.O. <span style=""color:red"">up to</span> 1 of your opponent's rested Characters with a cost of 3 or less.
<br>
[Trigger] Play this card.
<br><strong><span style=""color:red"">Disclaimer: This card has been re-printed with new errata'd text as part of the Revision Pack cards series. This product page is for the original, pre-errata print of this card.</span></strong>",Green,Character,,3000,Kid Pirates;Supernovas,Slash,3,1000
288254,Koby,Koby,https://tcgplayer-cdn.tcgplayer.com/product/288254_200w.jpg,68,3191,https://cpt.tcgcsv.com/6kk3,2022-12-02T05:03:12.237,1,0.05,0.2,3.0,0.14,,Normal,C,ST02-006,,Green,Character,,6000,Navy,Strike,4,1000
288255,Jewelry Bonney,Jewelry Bonney,https://tcgplayer-cdn.tcgplayer.com/product/288255_200w.jpg,68,3191,https://cpt.tcgcsv.com/7kk3,2024-11-26T19:54:54.75,1,0.98,1.45,5.97,1.17,,Normal,C,ST02-007,"[Activate: Main] (1) <em>(You may rest the specified number of DON!! cards in your cost area.)</em> You may rest this <span style=""color:red"">Character</span>: Look at <span style=""color:red"">5 cards</span> from the top of your deck; reveal up to 1 ""Supernovas"" type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.
<br><strong><span style=""color:red"">Disclaimer: This card has been re-printed with new errata'd text as part of the Revision Pack cards series. This product page is for the original, pre-errata print of this card.</span></strong>",Green,Character,,1000,Bonney Pirates;Supernovas,Special,1,1000
288256,Scratchmen Apoo,Scratchmen Apoo,https://tcgplayer-cdn.tcgplayer.com/product/288256_200w.jpg,68,3191,https://cpt.tcgcsv.com/8kk3,2024-11-26T19:55:02.417,1,0.19,0.4,7.99,0.26,,Normal,C,ST02-008,"[DON!! x1] [When Attacking] Rest <span style=""color:red"">up to</span> 1 of your opponent's DON!! cards.
<br><strong><span style=""color:red"">Disclaimer: This card has been re-printed with new errata'd text as part of the Revision Pack cards series. This product page is for the original, pre-errata print of this card.</span></strong>",Green,Character,,3000,On-Air Pirates;Supernovas,Ranged,2,2000
288257,Trafalgar Law,Trafalgar Law,https://tcgplayer-cdn.tcgplayer.com/product/288257_200w.jpg,68,3191,https://cpt.tcgcsv.com/9kk3,2025-02-05T21:46:44.363,1,2.23,3.62,19.15,2.94,,Foil,SR,ST02-009,"[On Play] Set <span style=""color:red"">up to</span> 1 of your ""Supernovas"" or ""Heart Pirates"" type rested Characters with a cost of 5 or less as active.
<br><strong><span style=""color:red"">Disclaimer: This card has been re-printed with new errata'd text as part of the Revision Pack cards series. This product page is for the original, pre-errata print of this card.</span></strong>",Green,Character,,6000,Heart Pirates;Supernovas,Slash,5,1000
288258,Basil Hawkins,Basil Hawkins,https://tcgplayer-cdn.tcgplayer.com/product/288258_200w.jpg,68,3191,https://cpt.tcgcsv.com/bkk3,2022-12-02T05:03:12.237,1,0.16,0.3,7.0,0.26,,Normal,C,ST02-010,"[DON!! x1] [Once Per Turn] [Your Turn] If this Character battles your opponent's Character, set this card as active.",Green,Character,,6000,Hawkins Pirates;Supernovas,Slash,5,
288259,Heat,Heat,https://tcgplayer-cdn.tcgplayer.com/product/288259_200w.jpg,68,3191,https://cpt.tcgcsv.com/ckk3,2022-12-02T05:03:12.237,1,0.01,0.2,3.0,0.09,,Normal,C,ST02-011,,Green,Character,,4000,Kid Pirates,Special,2,1000
288260,Bepo,Bepo,https://tcgplayer-cdn.tcgplayer.com/product/288260_200w.jpg,68,3191,https://cpt.tcgcsv.com/dkk3,2022-12-02T05:03:12.237,1,0.05,0.2,3.0,0.15,,Normal,C,ST02-012,,Green,Character,,3000,Heart Pirates;Minks,Strike,1,1000
288261,"Eustass""Captain""Kid (013)",EustassCaptainKid 013,https://tcgplayer-cdn.tcgplayer.com/product/288261_200w.jpg,68,3191,https://cpt.tcgcsv.com/fkk3,2023-08-25T19:48:17.223,1,0.9,1.67,11.45,1.43,,Foil,SR,ST02-013,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
[DON!! x1] [End of Your Turn] Set this card as active.
<br><br>
<a href=""https://en.onepiece-cardgame.com/rules/errata_card/#errata_08"">This card has been officially errata'd.</a>",Green,Character,,7000,Kid Pirates;Supernovas,Special,7,
288262,X.Drake,XDrake,https://tcgplayer-cdn.tcgplayer.com/product/288262_200w.jpg,68,3191,https://cpt.tcgcsv.com/gkk3,2022-12-02T05:03:12.237,1,0.18,0.25,5.0,0.24,,Normal,C,ST02-014,"[DON!! x1] [Your Turn] If this Character is rested, your ""Supernovas"" or ""Navy"" type Leaders and Characters gain +1000 power.",Green,Character,,5000,Drake Pirates;Navy;Supernovas,Slash,4,1000
