productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
288227,Starter Deck 3: The Seven Warlords of The Sea,Starter Deck 3 The Seven Warlords of The Sea,https://tcgplayer-cdn.tcgplayer.com/product/288227_200w.jpg,68,3192,https://cpt.tcgcsv.com/zjk3,2022-12-02T05:03:12.237,1,10.0,24.59,80.0,20.45,,Normal,,,,,,,,,,,
288233,Starter Deck 3: The Seven Warlords of The Sea Display,Starter Deck 3 The Seven Warlords of The Sea Display,https://tcgplayer-cdn.tcgplayer.com/product/288233_200w.jpg,68,3192,https://cpt.tcgcsv.com/Hjk3,2022-12-02T05:03:12.237,1,224.69,224.69,224.69,199.95,,Normal,,,,,,,,,,,
288266,Crocodile (001),Crocodile 001,https://tcgplayer-cdn.tcgplayer.com/product/288266_200w.jpg,68,3192,https://cpt.tcgcsv.com/lkk3,2025-02-25T12:43:30.853,1,0.5,2.75,19.99,1.41,,Foil,L,ST03-001,"[Activate: Main] [Once Per Turn] DON!! -4 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.)</em>: Return <span style=""color:red"">up to</span> 1 Character with a cost of 5 or less to the owner's hand.
<br><strong><span style=""color:red"">Disclaimer: This card has been re-printed with new errata'd text as part of the Revision Pack cards series. This product page is for the original, pre-errata print of this card.</span></strong>",Blue,Leader,5,5000,Baroque Works;The Seven Warlords of the Sea,Special,,
288267,Edward Weevil,Edward Weevil,https://tcgplayer-cdn.tcgplayer.com/product/288267_200w.jpg,68,3192,https://cpt.tcgcsv.com/mkk3,2022-12-02T05:03:12.237,1,0.01,0.15,3.0,0.07,,Normal,C,ST03-002,,Blue,Character,,5000,The Seven Warlords of the Sea,Slash,3,1000
288268,Crocodile (003),Crocodile 003,https://tcgplayer-cdn.tcgplayer.com/product/288268_200w.jpg,68,3192,https://cpt.tcgcsv.com/nkk3,2025-02-25T12:43:43.557,1,0.24,0.53,5.0,0.53,,Foil,SR,ST03-003,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
[DON!! x1] [On Block] Place <span style=""color:red"">up to</span> 1 Character with a cost of 2 or less at the bottom of the owner's deck.
<br><strong><span style=""color:red"">Disclaimer: This card has been re-printed with new errata'd text as part of the Revision Pack cards series. This product page is for the original, pre-errata print of this card.</span></strong>",Blue,Character,,6000,Baroque Works;The Seven Warlords of the Sea,Special,5,
288270,Gecko Moria,Gecko Moria,https://tcgplayer-cdn.tcgplayer.com/product/288270_200w.jpg,68,3192,https://cpt.tcgcsv.com/qkk3,2025-02-25T12:43:53.41,1,0.03,0.25,11.5,0.14,,Normal,C,ST03-004,"[On Play] Add <span style=""color:red"">up to</span> 1 ""The Seven Warlords of the Sea"" or ""Thriller Bark Pirates"" type Character with a cost of 4 or less than [Gecko Moria] from your trash to your hand.
<br><strong><span style=""color:red"">Disclaimer: This card has been re-printed with new errata'd text as part of the Revision Pack cards series. This product page is for the original, pre-errata print of this card.</span></strong>",Blue,Character,,5000,The Seven Warlords of the Sea;Thriller Bark Pirates,Special,4,1000
288272,Dracule Mihawk,Dracule Mihawk,https://tcgplayer-cdn.tcgplayer.com/product/288272_200w.jpg,68,3192,https://cpt.tcgcsv.com/skk3,2022-12-02T05:03:12.237,1,0.03,0.19,14.0,0.12,,Normal,C,ST03-005,[DON!! x1] [When Attacking] Draw 2 cards and trash 2 cards from your hand.,Blue,Character,,5000,The Seven Warlords of the Sea,Slash,4,2000
288273,Jinbe,Jinbe,https://tcgplayer-cdn.tcgplayer.com/product/288273_200w.jpg,68,3192,https://cpt.tcgcsv.com/tkk3,2022-12-02T05:03:12.237,1,0.07,0.23,3.0,0.15,,Normal,C,ST03-006,,Blue,Character,,4000,Fish-Man;The Seven Warlords of the Sea;The Sun Pirates,Strike,2,1000
288275,Sentomaru,Sentomaru,https://tcgplayer-cdn.tcgplayer.com/product/288275_200w.jpg,68,3192,https://cpt.tcgcsv.com/wkk3,2025-02-25T12:44:04.323,1,0.05,0.25,3.0,0.21,,Normal,C,ST03-007,"[DON!! x1] [Activate: Main] [Once Per Turn] (2) <em>(You may rest the specified number of DON!! cards in your cost area.)</em>: Play <span style=""color:red"">up to</span> 1 [Pacifista] with a cost of 4 or less from your deck, then shuffle your deck.
<br><strong><span style=""color:red"">Disclaimer: This card has been re-printed with new errata'd text as part of the Revision Pack cards series. This product page is for the original, pre-errata print of this card.</span></strong>",Blue,Character,,4000,Navy,Slash,3,1000
288277,Trafalgar Law,Trafalgar Law,https://tcgplayer-cdn.tcgplayer.com/product/288277_200w.jpg,68,3192,https://cpt.tcgcsv.com/zkk3,2022-12-02T05:03:12.237,1,0.01,0.19,3.0,0.16,,Normal,C,ST03-008,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Blue,Character,,1000,Heart Pirates;The Seven Warlords of the Sea,Slash,1,
