productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
288223,Starter Deck 4: Animal Kingdom Pirates Display,Starter Deck 4 Animal Kingdom Pirates Display,https://tcgplayer-cdn.tcgplayer.com/product/288223_200w.jpg,68,3190,https://cpt.tcgcsv.com/tjk3,2024-04-23T13:46:01.727,1,1002.69,1002.69,1002.69,,,Normal,,,,,,,,,,,
288224,Starter Deck 4: Animal Kingdom Pirates,Starter Deck 4 Animal Kingdom Pirates,https://tcgplayer-cdn.tcgplayer.com/product/288224_200w.jpg,68,3190,https://cpt.tcgcsv.com/vjk3,2024-04-23T13:45:50.357,1,21.99,29.99,100.0,26.44,,Normal,,,,,,,,,,,
288269,Kaido (001),Kaido 001,https://tcgplayer-cdn.tcgplayer.com/product/288269_200w.jpg,68,3190,https://cpt.tcgcsv.com/pkk3,2025-09-30T13:51:47.55,1,1.3,4.76,22.05,2.56,,Foil,L,ST04-001,"[Activate: Main] [Once Per Turn] DON!! -7 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.)</em>: Trash <span style=""color:red"">up to</span> 1 of your opponent's Life cards.
<br><strong><span style=""color:red"">Disclaimer: This card has been re-printed with new errata'd text as part of the Revision Pack cards series. This product page is for the original, pre-errata print of this card.</span></strong>",Purple,Leader,5,5000,Animal Kingdom Pirates;The Four Emperors,Strike,,
288271,Ulti,Ulti,https://tcgplayer-cdn.tcgplayer.com/product/288271_200w.jpg,68,3190,https://cpt.tcgcsv.com/rkk3,2024-11-26T20:00:49.52,1,0.1,0.25,3.94,0.23,,Normal,C,ST04-002,"[On Play] DON!! -1 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.)</em>: Play <span style=""color:red"">up to</span> 1 [Page One] card with a cost of 4 or less from your hand.
<br><strong><span style=""color:red"">Disclaimer: This card has been re-printed with new errata'd text as part of the Revision Pack cards series. This product page is for the original, pre-errata print of this card.</span></strong>",Purple,Character,,5000,Animal Kingdom Pirates,Strike,4,2000
288274,Kaido (003),Kaido 003,https://tcgplayer-cdn.tcgplayer.com/product/288274_200w.jpg,68,3190,https://cpt.tcgcsv.com/vkk3,2025-02-13T14:18:40.677,1,0.1,0.5,12.0,0.32,,Foil,SR,ST04-003,"[On Play] DON!! -5 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.)</em>: K.O. <span style=""color:red"">up to</span> 1 of your opponent's Characters with a cost of 6 or less. 
<br>This Character gains [Rush] during this turn. 
<br>(This card can attack on the turn in which it is played.)
<br><strong><span style=""color:red"">Disclaimer: This card has been re-printed with new errata'd text as part of the Revision Pack cards series. This product page is for the original, pre-errata print of this card.</span></strong>",Purple,Character,,10000,Animal Kingdom Pirates;The Four Emperors,Strike,9,
288274,Kaido (003),Kaido 003,https://tcgplayer-cdn.tcgplayer.com/product/288274_200w.jpg,68,3190,https://cpt.tcgcsv.com/vkk3,2025-02-13T14:18:40.677,1,0.09,0.37,3.99,0.28,,Normal,SR,ST04-003,"[On Play] DON!! -5 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.)</em>: K.O. <span style=""color:red"">up to</span> 1 of your opponent's Characters with a cost of 6 or less. 
<br>This Character gains [Rush] during this turn. 
<br>(This card can attack on the turn in which it is played.)
<br><strong><span style=""color:red"">Disclaimer: This card has been re-printed with new errata'd text as part of the Revision Pack cards series. This product page is for the original, pre-errata print of this card.</span></strong>",Purple,Character,,10000,Animal Kingdom Pirates;The Four Emperors,Strike,9,
288276,King,King,https://tcgplayer-cdn.tcgplayer.com/product/288276_200w.jpg,68,3190,https://cpt.tcgcsv.com/xkk3,2024-11-26T20:01:03.027,1,0.18,0.6,25.0,0.55,,Foil,SR,ST04-004,"[On Play] DON!! -1 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.)</em>: K.O. <span style=""color:red"">up to</span> 1 of your opponent's Characters with a cost of 4 or less.
<br><strong><span style=""color:red"">Disclaimer: This card has been re-printed with new errata'd text as part of the Revision Pack cards series. This product page is for the original, pre-errata print of this card.</span></strong>",Purple,Character,,7000,Animal Kingdom Pirates,Special,6,
288278,Queen,Queen,https://tcgplayer-cdn.tcgplayer.com/product/288278_200w.jpg,68,3190,https://cpt.tcgcsv.com/Bkk3,2022-12-02T05:03:12.237,1,0.09,0.25,20.0,0.2,,Normal,C,ST04-005,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em> 
<br>[On Play] DON!! -1 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.)</em>: Draw 2 cards and trash 1 card from your hand.",Purple,Character,,6000,Animal Kingdom Pirates,Strike,5,1000
288281,Sasaki,Sasaki,https://tcgplayer-cdn.tcgplayer.com/product/288281_200w.jpg,68,3190,https://cpt.tcgcsv.com/Fkk3,2022-12-02T05:03:12.237,1,0.05,0.2,3.0,0.16,,Normal,C,ST04-006,[On Play] DON!! -1 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.)</em>: Draw 1 card.,Purple,Character,,4000,Animal Kingdom Pirates,Ranged,3,1000
288283,Sheepshead,Sheepshead,https://tcgplayer-cdn.tcgplayer.com/product/288283_200w.jpg,68,3190,https://cpt.tcgcsv.com/Hkk3,2023-07-06T14:24:16.927,1,0.01,0.19,3.0,0.08,,Normal,C,ST04-007,,Purple,Character,,4000,Animal Kingdom Pirates;SMILE,Slash,2,1000
