productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
455859,Starter Deck 5: Film Edition,Starter Deck 5 Film Edition,https://tcgplayer-cdn.tcgplayer.com/product/455859_200w.jpg,68,17687,https://cpt.tcgcsv.com/cmG5,2023-02-03T05:03:08.15,1,21.0,29.83,80.0,26.29,,Normal,,,,,,,,,,,
455860,Starter Deck 5: Film Edition Display,Starter Deck 5 Film Edition Display,https://tcgplayer-cdn.tcgplayer.com/product/455860_200w.jpg,68,17687,https://cpt.tcgcsv.com/dmG5,2023-02-03T05:03:08.15,1,,,,,,,,,,,,,,,,,
477316,Shanks,Shanks,https://tcgplayer-cdn.tcgplayer.com/product/477316_200w.jpg,68,17687,https://cpt.tcgcsv.com/lXQ5,2023-02-03T05:03:08.15,1,2.38,6.95,50.0,5.51,,Foil,L,ST05-001,"[Activate:Main] [Once Per Turn] DON!! -3 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.): All of your ""FILM"" type Characters gain +2000 power during this turn.",Purple,Leader,5,5000,Film;The Four Emperors;Red-Haired Pirates,Slash,,
477317,Uta,Uta,https://tcgplayer-cdn.tcgplayer.com/product/477317_200w.jpg,68,17687,https://cpt.tcgcsv.com/mXQ5,2023-02-03T05:03:08.15,1,0.95,1.5,32.0,1.18,,Foil,SR,ST05-004,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
[On Block] DON!! -1 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.): Rest up to 1 of your opponent's Characters with a cost of 5 or less.",Purple,Character,,5000,Film,Special,4,1000
477318,Carina,Carina,https://tcgplayer-cdn.tcgplayer.com/product/477318_200w.jpg,68,17687,https://cpt.tcgcsv.com/nXQ5,2023-02-03T05:03:08.15,1,0.19,0.4,10.0,0.32,,Normal,C,ST05-005,"[Activate:Main] [Once Per Turn] <strong>You may rest this Character and trash 1 ""FILM"" type card from your hand</strong>: If your opponent has more DON!! cards on their field than you, add 2 DON!! cards from your DON!! deck and rest them.",Purple,Character,,3000,Film;Grantesoro,Wisdom,2,1000
477320,Gild Tesoro,Gild Tesoro,https://tcgplayer-cdn.tcgplayer.com/product/477320_200w.jpg,68,17687,https://cpt.tcgcsv.com/qXQ5,2023-02-03T05:03:08.15,1,0.25,0.72,25.0,0.56,,Normal,C,ST05-006,[When Attacking] DON!! -2 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.): Draw 2 cards.,Purple,Character,,6000,Film;Grantesoro,Special,5,
477321,Shiki,Shiki,https://tcgplayer-cdn.tcgplayer.com/product/477321_200w.jpg,68,17687,https://cpt.tcgcsv.com/rXQ5,2023-02-03T05:03:08.15,1,0.09,0.25,10.0,0.21,,Normal,C,ST05-008,"If you have 8 or more DON!! cards on your field, this Character cannot be K.O.'d in battle.",Purple,Character,,7000,Film;Golden Lion Pirates,Slash,6,1000
477323,Zephyr,Zephyr,https://tcgplayer-cdn.tcgplayer.com/product/477323_200w.jpg,68,17687,https://cpt.tcgcsv.com/tXQ5,2023-02-03T05:03:08.15,1,0.06,0.25,10.0,0.23,,Normal,C,ST05-010,"When this Character battles ""Strike"" attribute Characters, this Character gains +3000 power during this turn.
<br>
[Activate:Main] [Once Per Turn] DON!! -1 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.)</em>: This Character gains +2000 power during this turn.",Purple,Character,,8000,Film;Neo Navy,Strike,7,
477324,Douglas Bullet,Douglas Bullet,https://tcgplayer-cdn.tcgplayer.com/product/477324_200w.jpg,68,17687,https://cpt.tcgcsv.com/vXQ5,2023-02-03T05:03:08.15,1,0.5,1.04,50.0,0.71,,Foil,SR,ST05-011,"[Activate:Main] [Once Per Turn] DON!! -4 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.): Rest up to 2 of your opponent's Characters with a cost of 6 or less. Then, this Character gains [Double Attack] during this turn. <em>(This card deals 2 damage.)</em>",Purple,Character,,10000,Film;The Pirates Fest,Special,8,
477325,Buena Festa,Buena Festa,https://tcgplayer-cdn.tcgplayer.com/product/477325_200w.jpg,68,17687,https://cpt.tcgcsv.com/wXQ5,2023-02-03T05:03:08.15,1,0.91,1.64,10.0,1.38,,Normal,C,ST05-014,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 ""FILM"" type card other than [Buena Festa] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Purple,Character,,0,Film;The Pirates Fest,Wisdom,1,2000
