productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
455868,Starter Deck 6: Absolute Justice,Starter Deck 6 Absolute Justice,https://tcgplayer-cdn.tcgplayer.com/product/455868_200w.jpg,68,17699,https://cpt.tcgcsv.com/nmG5,2023-03-10T05:03:16.333,1,13.0,27.69,80.0,24.65,,Normal,,,,,,,,,,,
455869,Starter Deck 6: Absolute Justice Display,Starter Deck 6 Absolute Justice Display,https://tcgplayer-cdn.tcgplayer.com/product/455869_200w.jpg,68,17699,https://cpt.tcgcsv.com/pmG5,2023-03-10T05:03:16.333,1,178.34,214.18,299.69,178.34,,Normal,,,,,,,,,,,
480247,Starter Deck 6: Absolute Justice Display Case,Starter Deck 6 Absolute Justice Display Case,https://tcgplayer-cdn.tcgplayer.com/product/480247_200w.jpg,68,17699,https://cpt.tcgcsv.com/Z6S5,2023-12-07T21:25:55.723,1,,,,,,,,,,,,,,,,,
485247,Sakazuki,Sakazuki,https://tcgplayer-cdn.tcgplayer.com/product/485247_200w.jpg,68,17699,https://cpt.tcgcsv.com/Z6V5,2023-03-10T05:03:16.333,1,1.4,2.0,25.0,1.52,,Foil,L,ST06-001,[Activate:Main] [Once Per Turn] (3) <em>(You may rest the specified number of DON!! cards in your cost area.)</em> <strong>You may trash 1 card from your hand</strong>: K.O. up to 1 of your opponent's Characters with a cost of 0.,Black,Leader,5,5000,Navy,Special,,
485248,Koby,Koby,https://tcgplayer-cdn.tcgplayer.com/product/485248_200w.jpg,68,17699,https://cpt.tcgcsv.com/-6V5,2023-03-10T05:03:16.333,1,0.01,0.25,10.0,0.18,,Normal,C,ST06-002,[On Play] <strong>You may trash 1 card from your hand</strong>: K.O. up to 1 of your opponent's Characters with a cost of 0.,Black,Character,,2000,Navy,Strike,1,1000
485250,Smoker,Smoker,https://tcgplayer-cdn.tcgplayer.com/product/485250_200w.jpg,68,17699,https://cpt.tcgcsv.com/07V5,2023-03-10T05:03:16.333,1,0.5,2.0,25.0,1.82,,Foil,SR,ST06-004,"This Character cannot be K.O.'d by effects.
<br>
[DON!! x1] If there is a Character with a cost of 0, this Character gains [Double Attack]. <em>(This card deals 2 damage.)</em>",Black,Character,,7000,Navy,Special,5,
485251,Helmeppo,Helmeppo,https://tcgplayer-cdn.tcgplayer.com/product/485251_200w.jpg,68,17699,https://cpt.tcgcsv.com/27V5,2023-03-10T05:03:16.333,1,0.01,0.2,3.99,0.11,,Normal,C,ST06-010,[On Play] Give up to 1 of your opponent's Characters -3 cost during this turn.,Black,Character,,3000,Navy,Slash,2,1000
485252,Tashigi,Tashigi,https://tcgplayer-cdn.tcgplayer.com/product/485252_200w.jpg,68,17699,https://cpt.tcgcsv.com/37V5,2023-03-10T05:03:16.333,1,0.4,0.89,25.0,0.64,,Normal,C,ST06-006,[Activate:Main] <strong>You may rest this Character</strong>: Give up to 1 of your opponent's Characters -2 cost during this turn.,Black,Character,,4000,Navy,Slash,3,2000
485253,Monkey.D.Garp,MonkeyDGarp,https://tcgplayer-cdn.tcgplayer.com/product/485253_200w.jpg,68,17699,https://cpt.tcgcsv.com/57V5,2023-03-10T05:03:16.333,1,0.44,1.0,10.0,0.67,,Foil,SR,ST06-012,[Activate:Main] <strong>You may trash 1 card from your hand and rest this Character</strong>: K.O. up to 1 of your opponent's Characters with a cost of 4 or less.,Black,Character,,6000,Navy,Strike,5,
485254,Great Eruption,Great Eruption,https://tcgplayer-cdn.tcgplayer.com/product/485254_200w.jpg,68,17699,https://cpt.tcgcsv.com/67V5,2023-03-10T05:03:16.333,1,2.25,4.87,27.99,4.27,,Normal,C,ST06-015,"[Main] Draw 1 card. Then, give up to 1 of your opponent's Characters -2 cost during this turn.
<br>
[Trigger] Your opponent chooses 1 card from their hand and trashes it.",Black,Event,,,Navy,,1,
486320,Jango,Jango,https://tcgplayer-cdn.tcgplayer.com/product/486320_200w.jpg,68,17699,https://cpt.tcgcsv.com/qxV5,2023-03-10T05:03:16.333,1,0.01,0.18,3.0,0.12,,Normal,C,ST06-003,,Black,Character,,3000,Navy,Slash,1,1000
486321,Sengoku,Sengoku,https://tcgplayer-cdn.tcgplayer.com/product/486321_200w.jpg,68,17699,https://cpt.tcgcsv.com/rxV5,2023-03-10T05:03:16.333,1,0.02,0.2,3.0,0.1,,Normal,C,ST06-005,[When Attacking] Give up to 1 of your opponent's Characters -4 cost during this turn.,Black,Character,,6000,Navy,Wisdom,5,1000
486322,Tsuru,Tsuru,https://tcgplayer-cdn.tcgplayer.com/product/486322_200w.jpg,68,17699,https://cpt.tcgcsv.com/sxV5,2023-03-10T05:03:16.333,1,0.05,0.2,3.0,0.09,,Normal,C,ST06-007,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Black,Character,,2000,Navy,Wisdom,2,1000
486323,Hina,Hina,https://tcgplayer-cdn.tcgplayer.com/product/486323_200w.jpg,68,17699,https://cpt.tcgcsv.com/txV5,2023-03-10T05:03:16.333,1,0.25,0.73,39.99,0.49,,Normal,C,ST06-008,[On Play] Give up to 1 of your opponent's Characters -4 cost during this turn.,Black,Character,,5000,Navy,Special,3,
486324,Fullbody,Fullbody,https://tcgplayer-cdn.tcgplayer.com/product/486324_200w.jpg,68,17699,https://cpt.tcgcsv.com/vxV5,2023-03-10T05:03:16.333,1,0.01,0.2,3.0,0.06,,Normal,C,ST06-009,,Black,Character,,4000,Navy,Strike,2,1000
486326,Momonga,Momonga,https://tcgplayer-cdn.tcgplayer.com/product/486326_200w.jpg,68,17699,https://cpt.tcgcsv.com/xxV5,2023-03-10T05:03:16.333,1,0.01,0.15,3.0,0.08,,Normal,C,ST06-011,,Black,Character,,6000,Navy,Slash,4,1000
486328,T-Bone,T Bone,https://tcgplayer-cdn.tcgplayer.com/product/486328_200w.jpg,68,17699,https://cpt.tcgcsv.com/BxV5,2023-03-10T05:03:16.333,1,0.01,0.2,3.0,0.07,,Normal,C,ST06-013,,Black,Character,,5000,Navy,Slash,3,1000
486329,Shockwave,Shockwave,https://tcgplayer-cdn.tcgplayer.com/product/486329_200w.jpg,68,17699,https://cpt.tcgcsv.com/CxV5,2024-11-08T20:41:09.113,1,0.02,0.19,10.0,0.1,,Normal,C,ST06-014,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, K.O. up to 1 of your opponent's active Characters with a cost of 3 or less.
<br>
[Trigger] K.O. up to 1 of your opponent's Characters with a cost of 4 or less.",Black,Event,,,Navy,,2,
486330,White Out,White Out,https://tcgplayer-cdn.tcgplayer.com/product/486330_200w.jpg,68,17699,https://cpt.tcgcsv.com/DxV5,2023-03-10T05:03:16.333,1,0.01,0.23,3.0,0.13,,Normal,C,ST06-016,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle.
<br>
[Trigger] Draw 1 card and none of your Characters can be K.O.'d during this turn.",Black,Event,,,Navy,,1,
486331,Navy HQ,Navy HQ,https://tcgplayer-cdn.tcgplayer.com/product/486331_200w.jpg,68,17699,https://cpt.tcgcsv.com/FxV5,2023-03-10T05:03:16.333,1,0.25,1.62,25.0,0.98,,Normal,C,ST06-017,"[On Play] Give up to 1 of your opponent's Characters -1 cost during this turn.
<br>
[Activate:Main] <strong>You may rest this Stage</strong>: If your Leader has the [Navy] type, give up to 1 of your opponent's Characters -1 cost during this turn.",Black,Stage,,,Navy,,1,
