productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
606575,Starter Deck EX: Gear 5,Starter Deck EX Gear 5,https://tcgplayer-cdn.tcgplayer.com/product/606575_200w.jpg,68,23991,https://cpt.tcgcsv.com/wFS6,2025-03-14T20:23:12.25,1,80.46,90.0,129.99,86.5,,Normal,,,,,,,,,,,
606576,Starter Deck EX: Gear 5 Display,Starter Deck EX Gear 5 Display,https://tcgplayer-cdn.tcgplayer.com/product/606576_200w.jpg,68,23991,https://cpt.tcgcsv.com/xFS6,2025-03-14T20:23:26.253,1,600.0,872.97,1000.0,350.39,,Normal,,,,,,,,,,,
615564,Monkey.D.Luffy (001),MonkeyDLuffy 001,https://tcgplayer-cdn.tcgplayer.com/product/615564_200w.jpg,68,23991,https://cpt.tcgcsv.com/jfX6,2026-02-02T17:00:57.323,1,4.84,12.06,29.99,10.81,,Foil,L,ST21-001,[DON!! x1] [Activate: Main] [Once Per Turn] Give up to 2 rested DON!! cards to 1 of your Characters.,Red,Leader,5,5000,Straw Hat Crew;The Four Emperors,Strike,,
615565,Monkey.D.Luffy (001) (Parallel),MonkeyDLuffy 001 Parallel,https://tcgplayer-cdn.tcgplayer.com/product/615565_200w.jpg,68,23991,https://cpt.tcgcsv.com/kfX6,2025-03-14T04:10:23.097,1,125.01,145.15,350.0,144.27,,Foil,L,ST21-001,[DON!! x1] [Activate: Main] [Once Per Turn] Give up to 2 rested DON!! cards to 1 of your Characters.,Red,Leader,5,5000,Straw Hat Crew;The Four Emperors,Strike,,
615566,Usopp,Usopp,https://tcgplayer-cdn.tcgplayer.com/product/615566_200w.jpg,68,23991,https://cpt.tcgcsv.com/lfX6,2026-01-29T20:07:39.53,1,0.02,0.23,1.0,0.22,,Foil,C,ST21-002,[DON!! x2] [Opponent's Turn] This Character gains +2000 power.,Red,Character,,3000,Straw Hat Crew,Ranged,2,2000
615567,Usopp (Parallel),Usopp Parallel,https://tcgplayer-cdn.tcgplayer.com/product/615567_200w.jpg,68,23991,https://cpt.tcgcsv.com/mfX6,2025-03-14T04:10:23.097,1,1.99,3.91,50.0,2.69,,Foil,C,ST21-002,[DON!! x2] [Opponent's Turn] This Character gains +2000 power.,Red,Character,,3000,Straw Hat Crew,Ranged,2,2000
615568,Sanji,Sanji,https://tcgplayer-cdn.tcgplayer.com/product/615568_200w.jpg,68,23991,https://cpt.tcgcsv.com/nfX6,2026-01-29T20:10:04.31,1,1.47,2.49,6.66,1.9,,Foil,C,ST21-003,"[On Play] Select up to 1 of your {Straw Hat Crew} type Characters with 6000 power or more. If the selected Character attacks during this turn, your opponent cannot activate [Blocker].",Red,Character,,3000,Straw Hat Crew,Strike,2,2000
615569,Sanji (Parallel),Sanji Parallel,https://tcgplayer-cdn.tcgplayer.com/product/615569_200w.jpg,68,23991,https://cpt.tcgcsv.com/pfX6,2025-03-14T04:10:23.097,1,9.4,14.0,80.0,13.54,,Foil,C,ST21-003,"[On Play] Select up to 1 of your {Straw Hat Crew} type Characters with 6000 power or more. If the selected Character attacks during this turn, your opponent cannot activate [Blocker].",Red,Character,,3000,Straw Hat Crew,Strike,2,2000
615570,Jewelry Bonney,Jewelry Bonney,https://tcgplayer-cdn.tcgplayer.com/product/615570_200w.jpg,68,23991,https://cpt.tcgcsv.com/qfX6,2026-01-29T20:11:48.24,1,0.1,0.25,1.24,0.21,,Foil,C,ST21-004,[DON!! x2] [On K.O.] Draw 1 card.,Red,Character,,3000,Bonney Pirates;Egghead,Special,1,
615571,Jewelry Bonney (Parallel),Jewelry Bonney Parallel,https://tcgplayer-cdn.tcgplayer.com/product/615571_200w.jpg,68,23991,https://cpt.tcgcsv.com/rfX6,2025-03-14T04:10:23.097,1,6.0,9.23,50.0,8.45,,Foil,C,ST21-004,[DON!! x2] [On K.O.] Draw 1 card.,Red,Character,,3000,Bonney Pirates;Egghead,Special,1,
