productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
692138,Starter Deck EX: Luffy & Ace,Starter Deck EX Luffy and Ace,https://tcgplayer-cdn.tcgplayer.com/product/692138_200w.jpg,68,24678,https://cpt.tcgcsv.com/NSx7,2026-06-12T04:10:25.997,1,35.95,44.99,99.99,39.46,,Normal,,,,,,,,,,,
692139,Starter Deck EX: Luffy & Ace Display,Starter Deck EX Luffy and Ace Display,https://tcgplayer-cdn.tcgplayer.com/product/692139_200w.jpg,68,24678,https://cpt.tcgcsv.com/PSx7,2026-06-12T04:10:25.997,1,240.0,272.95,595.88,253.41,,Normal,,,,,,,,,,,
692140,Starter Deck EX: Luffy & Ace Bonus Pack,Starter Deck EX Luffy and Ace Bonus Pack,https://tcgplayer-cdn.tcgplayer.com/product/692140_200w.jpg,68,24678,https://cpt.tcgcsv.com/QSx7,2026-06-12T04:10:25.997,1,34.99,34.99,34.99,34.0,,Normal,,,,,,,,,,,
693256,Luffy & Ace,Luffy and Ace,https://tcgplayer-cdn.tcgplayer.com/product/693256_200w.jpg,68,24678,https://cpt.tcgcsv.com/8kz7,2026-06-12T04:10:25.997,1,3.0,5.75,18.49,5.25,,Foil,L,ST30-001,"If you have a Character with 7000 base power or more, give this Leader -2000 power.
<br>[Opponent's Turn] All of your [Portgas.D.Ace] and [Monkey.D.Luffy] cards gain +3000 power.",Green;Red,Leader,4,6000,Straw Hat Crew;Whitebeard Pirates;Impel Down,Special;Strike,,
693257,Luffy & Ace (Parallel),Luffy and Ace Parallel,https://tcgplayer-cdn.tcgplayer.com/product/693257_200w.jpg,68,24678,https://cpt.tcgcsv.com/9kz7,2026-06-12T04:10:25.997,1,100.0,112.0,349.99,111.78,,Foil,L,ST30-001,"If you have a Character with 7000 base power or more, give this Leader -2000 power.
<br>[Opponent's Turn] All of your [Portgas.D.Ace] and [Monkey.D.Luffy] cards gain +3000 power.",Green;Red,Leader,4,6000,Straw Hat Crew;Whitebeard Pirates;Impel Down,Special;Strike,,
693394,Portgas.D.Ace (007),PortgasDAce 007,https://tcgplayer-cdn.tcgplayer.com/product/693394_200w.jpg,68,24678,https://cpt.tcgcsv.com/Vmz7,2026-06-12T04:10:25.997,1,0.25,0.57,9.99,0.49,,Foil,SR,ST30-007,"[On Play] <strong>You may rest 1 of your DON!! cards:</strong> This Character gains [Rush] during this turn. 
<br><em>(This card can attack on the turn in which it is played.)</em>
<br>[When Attacking] Give up to 1 of your opponent's Characters -1000 power during this turn.",Red,Character,,6000,Whitebeard Pirates,Special,4,
693395,Portgas.D.Ace (007) (Parallel),PortgasDAce 007 Parallel,https://tcgplayer-cdn.tcgplayer.com/product/693395_200w.jpg,68,24678,https://cpt.tcgcsv.com/Wmz7,2026-06-12T04:10:25.997,1,4.14,6.0,25.0,4.72,,Foil,SR,ST30-007,"[On Play] <strong>You may rest 1 of your DON!! cards:</strong> This Character gains [Rush] during this turn. 
<br><em>(This card can attack on the turn in which it is played.)</em>
<br>[When Attacking] Give up to 1 of your opponent's Characters -1000 power during this turn.",Red,Character,,6000,Whitebeard Pirates,Special,4,
693396,Monkey.D.Luffy,MonkeyDLuffy,https://tcgplayer-cdn.tcgplayer.com/product/693396_200w.jpg,68,24678,https://cpt.tcgcsv.com/Xmz7,2026-06-12T04:10:25.997,1,1.97,3.78,19.2,2.76,,Foil,SR,ST30-012,"[On Play] <strong>You may rest 1 of your DON!! cards:</strong> This Character gains [Rush] during this turn. <em>(This card can attack on the turn in which it is played.)</em>
<br>[When Attacking] Rest up to 1 of your opponent's [Blocker] Characters.",Green,Character,,6000,Straw Hat Crew;Impel Down,Strike,4,
693397,Monkey.D.Luffy (Parallel),MonkeyDLuffy Parallel,https://tcgplayer-cdn.tcgplayer.com/product/693397_200w.jpg,68,24678,https://cpt.tcgcsv.com/Zmz7,2026-06-12T04:10:25.997,1,15.48,20.0,38.68,17.02,,Foil,SR,ST30-012,"[On Play] <strong>You may rest 1 of your DON!! cards:</strong> This Character gains [Rush] during this turn. <em>(This card can attack on the turn in which it is played.)</em>
<br>[When Attacking] Rest up to 1 of your opponent's [Blocker] Characters.",Green,Character,,6000,Straw Hat Crew;Impel Down,Strike,4,
695418,Inazuma,Inazuma,https://tcgplayer-cdn.tcgplayer.com/product/695418_200w.jpg,68,24678,https://cpt.tcgcsv.com/nbB7,2026-06-12T04:10:25.997,1,0.05,0.25,1.69,0.19,,Normal,C,ST30-002,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 Character card with 6000 power and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Red,Character,,2000,Revolutionary Army;Impel Down,Slash,1,1000
695419,Inazuma (Full Art),Inazuma Full Art,https://tcgplayer-cdn.tcgplayer.com/product/695419_200w.jpg,68,24678,https://cpt.tcgcsv.com/pbB7,2026-06-12T04:10:25.997,1,0.5,2.84,12.99,2.1,,Foil,C,ST30-002,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 Character card with 6000 power and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Red,Character,,2000,Revolutionary Army;Impel Down,Slash,1,1000
695420,Edward.Newgate,EdwardNewgate,https://tcgplayer-cdn.tcgplayer.com/product/695420_200w.jpg,68,24678,https://cpt.tcgcsv.com/qbB7,2026-06-12T04:10:25.997,1,0.01,0.2,2.27,0.16,,Normal,C,ST30-003,[Your Turn] All of your Characters with 6000 base power gain +1000 power.,Red,Character,,6000,The Four Emperors;Whitebeard Pirates,Special,8,1000
695421,Edward.Newgate (Full Art),EdwardNewgate Full Art,https://tcgplayer-cdn.tcgplayer.com/product/695421_200w.jpg,68,24678,https://cpt.tcgcsv.com/rbB7,2026-06-12T04:10:25.997,1,0.75,1.49,19.95,1.2,,Foil,C,ST30-003,[Your Turn] All of your Characters with 6000 base power gain +1000 power.,Red,Character,,6000,The Four Emperors;Whitebeard Pirates,Special,8,1000
695422,Emporio.Ivankov,EmporioIvankov,https://tcgplayer-cdn.tcgplayer.com/product/695422_200w.jpg,68,24678,https://cpt.tcgcsv.com/sbB7,2026-06-12T04:10:25.997,1,0.04,0.25,1.67,0.18,,Normal,C,ST30-004,[On Play] <strong>You may reveal 2 Character cards with 6000 power from your hand:</strong> Draw 3 cards and trash 2 cards from your hand.,Red,Character,,2000,Revolutionary Army;Impel Down,Special,1,1000
695423,Jozu,Jozu,https://tcgplayer-cdn.tcgplayer.com/product/695423_200w.jpg,68,24678,https://cpt.tcgcsv.com/tbB7,2026-06-12T04:10:25.997,1,0.01,0.18,1.64,0.1,,Normal,C,ST30-005,,Red,Character,,6000,Whitebeard Pirates,Strike,5,2000
695424,Jozu (Full Art),Jozu Full Art,https://tcgplayer-cdn.tcgplayer.com/product/695424_200w.jpg,68,24678,https://cpt.tcgcsv.com/vbB7,2026-06-12T04:10:25.997,1,0.85,1.4,13.99,1.09,,Foil,C,ST30-005,,Red,Character,,6000,Whitebeard Pirates,Strike,5,2000
695425,Jinbe,Jinbe,https://tcgplayer-cdn.tcgplayer.com/product/695425_200w.jpg,68,24678,https://cpt.tcgcsv.com/wbB7,2026-06-12T04:10:25.997,1,0.01,0.18,1.53,0.1,,Normal,C,ST30-006,[On Play] <strong>You may trash 1 Character card with 6000 power from your hand:</strong> Draw 2 cards.,Red,Character,,6000,Fish-Man;The Sun Pirates;Impel Down,Strike,5,1000
695426,Jinbe (Full Art),Jinbe Full Art,https://tcgplayer-cdn.tcgplayer.com/product/695426_200w.jpg,68,24678,https://cpt.tcgcsv.com/xbB7,2026-06-12T04:10:25.997,1,0.99,1.5,14.69,1.25,,Foil,C,ST30-006,[On Play] <strong>You may trash 1 Character card with 6000 power from your hand:</strong> Draw 2 cards.,Red,Character,,6000,Fish-Man;The Sun Pirates;Impel Down,Strike,5,1000
695429,Marco,Marco,https://tcgplayer-cdn.tcgplayer.com/product/695429_200w.jpg,68,24678,https://cpt.tcgcsv.com/CbB7,2026-06-12T04:10:25.997,1,0.01,0.2,1.52,0.15,,Normal,C,ST30-008,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em><br>
<br>[On K.O.] <strong>You may trash 1 Character card with 6000 power from your hand:</strong> Play this Character card from your trash rested.",Red,Character,,6000,Whitebeard Pirates,Special,5,1000
695430,Marco (Full Art),Marco Full Art,https://tcgplayer-cdn.tcgplayer.com/product/695430_200w.jpg,68,24678,https://cpt.tcgcsv.com/DbB7,2026-06-12T04:10:25.997,1,0.8,1.4,19.95,1.18,,Foil,C,ST30-008,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em><br>
<br>[On K.O.] <strong>You may trash 1 Character card with 6000 power from your hand:</strong> Play this Character card from your trash rested.",Red,Character,,6000,Whitebeard Pirates,Special,5,1000
695431,LittleOars Jr.,LittleOars Jr,https://tcgplayer-cdn.tcgplayer.com/product/695431_200w.jpg,68,24678,https://cpt.tcgcsv.com/FbB7,2026-06-12T04:10:25.997,1,0.03,0.19,2.06,0.15,,Normal,C,ST30-009,"If your Character with 6000 base power would be removed from the field by your opponent's effect, you may trash this Character and draw 1 card instead.",Red,Character,,2000,Giant;Whitebeard Pirates,Strike,1,1000
695432,LittleOars Jr. (Full Art),LittleOars Jr Full Art,https://tcgplayer-cdn.tcgplayer.com/product/695432_200w.jpg,68,24678,https://cpt.tcgcsv.com/GbB7,2026-06-12T04:10:25.997,1,0.33,1.4,13.99,0.81,,Foil,C,ST30-009,"If your Character with 6000 base power would be removed from the field by your opponent's effect, you may trash this Character and draw 1 card instead.",Red,Character,,2000,Giant;Whitebeard Pirates,Strike,1,1000
695433,Crocodile,Crocodile,https://tcgplayer-cdn.tcgplayer.com/product/695433_200w.jpg,68,24678,https://cpt.tcgcsv.com/HbB7,2026-06-12T04:10:25.997,1,0.04,0.25,1.69,0.16,,Normal,C,ST30-010,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)<br>
<br>[On Play] Up to 1 of your opponent's rested Characters will not become active in your opponent's next Refresh Phase.",Green,Character,,6000,Impel Down;Former Baroque Works,Special,6,1000
695434,Crocodile (Full Art),Crocodile Full Art,https://tcgplayer-cdn.tcgplayer.com/product/695434_200w.jpg,68,24678,https://cpt.tcgcsv.com/JbB7,2026-06-12T04:10:25.997,1,1.21,2.5,20.0,1.7,,Foil,C,ST30-010,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)<br>
<br>[On Play] Up to 1 of your opponent's rested Characters will not become active in your opponent's next Refresh Phase.",Green,Character,,6000,Impel Down;Former Baroque Works,Special,6,1000
