productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
665598,The Azure Sea's Seven Booster Box,The Azure Seas Seven Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/665598_200w.jpg,68,24537,https://cpt.tcgcsv.com/-fl7,2026-01-22T12:45:43.337,1,264.95,299.99,599.99,267.14,,Normal,,,,,,,,,,,
665599,The Azure Sea's Seven Booster Box Case,The Azure Seas Seven Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/665599_200w.jpg,68,24537,https://cpt.tcgcsv.com/_fl7,2026-01-22T12:45:55.637,1,3000.0,3149.99,3500.0,2793.09,,Normal,,,,,,,,,,,
666518,Trafalgar Law - OP14-001,Trafalgar Law OP14 001,https://tcgplayer-cdn.tcgplayer.com/product/666518_200w.jpg,68,24537,https://cpt.tcgcsv.com/nDl7,2026-01-16T05:10:17.13,1,0.01,0.15,5.0,0.11,,Normal,L,OP14-001,[Activate:Main] [Once Per Turn] Select 2 of your {Supernovas} or {Heart Pirates} type Characters. Swap the base power of the selected Characters with each other during this turn.,Red,Leader,5,5000,Heart Pirates;Supernovas;The Seven Warlords of the Sea,Slash,,
666519,Trafalgar Law - OP14-001 (Alternate Art),Trafalgar Law OP14 001 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/666519_200w.jpg,68,24537,https://cpt.tcgcsv.com/pDl7,2026-01-16T05:10:17.13,1,17.5,22.99,149.0,19.27,,Foil,L,OP14-001,[Activate:Main] [Once Per Turn] Select 2 of your {Supernovas} or {Heart Pirates} type Characters. Swap the base power of the selected Characters with each other during this turn.,Red,Leader,5,5000,Heart Pirates;Supernovas;The Seven Warlords of the Sea,,,
666520,Monkey.D.Luffy - OP14-013,MonkeyDLuffy OP14 013,https://tcgplayer-cdn.tcgplayer.com/product/666520_200w.jpg,68,24537,https://cpt.tcgcsv.com/qDl7,2026-01-16T05:10:17.13,1,0.25,0.86,200.0,0.57,,Foil,SR,OP14-013,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Supernovas} type card other than [Monkey.D.Luffy] and add it to your hand. Then, place the rest at the bottom of your deck in any order.
<br>[When Attacking] Give up to 1 of your opponent's Characters -1000 power during this turn.",Red,Character,,0,Straw Hat Crew;Supernovas,Strike,1,1000
666521,Monkey.D.Luffy - OP14-013 (Alternate Art),MonkeyDLuffy OP14 013 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/666521_200w.jpg,68,24537,https://cpt.tcgcsv.com/rDl7,2026-01-16T05:10:17.13,1,15.5,18.7,65.0,16.21,,Foil,SR,OP14-013,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Supernovas} type card other than [Monkey.D.Luffy] and add it to your hand. Then, place the rest at the bottom of your deck in any order.
<br>[When Attacking] Give up to 1 of your opponent's Characters -1000 power during this turn.",Red,Character,,0,Straw Hat Crew;Supernovas,,1,1000
666524,Dracule Mihawk - OP14-020,Dracule Mihawk OP14 020,https://tcgplayer-cdn.tcgplayer.com/product/666524_200w.jpg,68,24537,https://cpt.tcgcsv.com/vDl7,2026-01-16T05:10:17.13,1,0.01,0.21,5.0,0.2,,Normal,L,OP14-020,"If your opponent's Leader has the ""Slash"" attribute, this leader gains +1000 power.
<br> [Activate:Main] [Once Per Turn] <strong>You may rest 1 of your cards:</strong> If there is a Character with a cost of 5 or more, set up to 3 of your DON!! cards as active. Then, you cannot play character cards during this turn.",Green,Leader,5,5000,The Seven Warlords of the Sea,Slash,,
666525,Dracule Mihawk - OP14-020 (Alternate Art),Dracule Mihawk OP14 020 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/666525_200w.jpg,68,24537,https://cpt.tcgcsv.com/wDl7,2026-01-16T05:10:17.13,1,65.0,75.0,115.79,70.43,,Foil,L,OP14-020,"If your opponent's Leader has the ""Slash"" attribute, this leader gains +1000 power.
<br> [Activate:Main] [Once Per Turn] <strong>You may rest 1 of your cards:</strong> If there is a Character with a cost of 5 or more, set up to 3 of your DON!! cards as active. Then, you cannot play character cards during this turn.",Green,Leader,5,5000,The Seven Warlords of the Sea,Slash,,
666526,Perona - OP14-033,Perona OP14 033,https://tcgplayer-cdn.tcgplayer.com/product/666526_200w.jpg,68,24537,https://cpt.tcgcsv.com/xDl7,2026-01-16T05:10:17.13,1,9.99,11.53,50.0,10.97,,Foil,SR,OP14-033,"[On Play] Up to 2 of your opponent's Characters with a cost of 5 or less cannot be rested until the end of your opponent's next End Phase.
<br>[On K.O.] <strong>You may rest 1 of your cards:</strong> Play up to 1 green Character card with a cost of 5 or less from your hand.",Green,Character,,6000,Thriller Bark Pirates;Muggy Kingdom,Special,5,1000
666527,Perona - OP14-033 (Alternate Art),Perona OP14 033 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/666527_200w.jpg,68,24537,https://cpt.tcgcsv.com/zDl7,2026-01-16T05:10:17.13,1,46.99,59.0,150.0,53.19,,Foil,SR,OP14-033,"[On Play] Up to 2 of your opponent's Characters with a cost of 5 or less cannot be rested until the end of your opponent's next End Phase.
<br>[On K.O.] <strong>You may rest 1 of your cards:</strong> Play up to 1 green Character card with a cost of 5 or less from your hand.",Green,Character,,6000,Thriller Bark Pirates;Muggy Kingdom,Special,5,1000
666528,Donquixote Doflamingo - OP14-060,Donquixote Doflamingo OP14 060,https://tcgplayer-cdn.tcgplayer.com/product/666528_200w.jpg,68,24537,https://cpt.tcgcsv.com/BDl7,2026-01-16T05:10:17.13,1,0.03,0.2,9.95,0.14,,Normal,L,OP14-060,[On Your Opponent's Attack] [Once Per Turn] <strong>DON!! -1:</strong> Select your Leader or 1 of your {Donquixote Pirates} type Characters. Change the attack target to the selected card.,Purple,Leader,5,5000,Donquixote Pirates;The Seven Warlords of the Sea,Special,,
666529,Donquixote Doflamingo - OP14-060 (Alternate Art),Donquixote Doflamingo OP14 060 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/666529_200w.jpg,68,24537,https://cpt.tcgcsv.com/CDl7,2026-01-16T05:10:17.13,1,24.0,29.35,150.0,25.29,,Foil,L,OP14-060,[On Your Opponent's Attack] [Once Per Turn] <strong> DON!! -1:</strong> Select your Leader or 1 of your {Donquixote Pirates} type Characters. Change the attack target to the selected card.,Purple,Leader,5,5000,Donquixote Pirates;The Seven Warlords of the Sea,Special,,
