productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
689336,The Time of Battle Booster Box,The Time of Battle Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/689336_200w.jpg,68,24664,https://cpt.tcgcsv.com/LLw7,2026-06-12T04:10:24.217,1,192.99,231.96,507.99,206.78,,Normal,,,,,,,,,,,
689338,The Time of Battle Booster Box Case,The Time of Battle Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/689338_200w.jpg,68,24664,https://cpt.tcgcsv.com/NLw7,2026-06-12T04:10:24.217,1,2200.0,2773.98,4800.0,2342.94,,Normal,,,,,,,,,,,
689341,The Time of Battle Booster Pack,The Time of Battle Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/689341_200w.jpg,68,24664,https://cpt.tcgcsv.com/RLw7,2026-06-12T04:10:24.217,1,2.0,6.73,16.99,6.67,,Normal,,,,,,,,,,,
689347,The Time of Battle Sleeved Booster Pack,The Time of Battle Sleeved Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/689347_200w.jpg,68,24664,https://cpt.tcgcsv.com/ZLw7,2026-06-16T15:42:21.453,1,9.0,10.9,30.0,10.62,,Normal,,,,,,,,,,,
693364,Double Pack Set Vol. 11,Double Pack Set Vol 11,https://tcgplayer-cdn.tcgplayer.com/product/693364_200w.jpg,68,24664,https://cpt.tcgcsv.com/jmz7,2026-06-16T15:43:46.47,1,20.0,28.29,41.09,26.01,,Normal,,,,,,,,,,,
693365,Double Pack Set Vol. 11 Display,Double Pack Set Vol 11 Display,https://tcgplayer-cdn.tcgplayer.com/product/693365_200w.jpg,68,24664,https://cpt.tcgcsv.com/kmz7,2026-06-16T15:44:04.167,1,265.0,276.34,350.0,260.36,,Normal,,,,,,,,,,,
693417,Portgas.D.Ace (001),PortgasDAce 001,https://tcgplayer-cdn.tcgplayer.com/product/693417_200w.jpg,68,24664,https://cpt.tcgcsv.com/mnz7,2026-06-12T04:10:24.217,1,0.01,0.19,5.0,0.17,,Normal,L,OP16-001,"[Activate:Main] [Once Per Turn] Up to 1 of your [Monkey.D.Luffy] Characters or up to 1 of your Characters with a type including ""Whitebeard Pirates"", with 8000 power or more, gains [Rush] during this turn.",Red,Leader,5,5000,Whitebeard Pirates,Special,,
693418,Portgas.D.Ace (001) (Alternate Art),PortgasDAce 001 Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/693418_200w.jpg,68,24664,https://cpt.tcgcsv.com/nnz7,2026-06-12T04:10:24.217,1,43.99,56.95,200.0,45.17,,Foil,L,OP16-001,"[Activate:Main] [Once Per Turn] Up to 1 of your [Monkey.D.Luffy] Characters or up to 1 of your Characters with a type including ""Whitebeard Pirates"", with 8000 power or more, gains [Rush] during this turn.",Red,Leader,5,5000,Whitebeard Pirates,Special,,
693419,Monkey.D.Luffy,MonkeyDLuffy,https://tcgplayer-cdn.tcgplayer.com/product/693419_200w.jpg,68,24664,https://cpt.tcgcsv.com/pnz7,2026-06-12T04:10:24.217,1,0.58,1.5,21.05,1.16,,Foil,SR,OP16-015,"If your Leader's card name includes ""Ace"" and you have 6 or more DON!! cards on your field, give this card in your hand -2 cost.
<br>[On Your Opponent's Attack] <strong>You may trash 1 Character card with 8000 power from your hand:</strong> Your Leader and this Character's base power becomes 7000 during this turn.",Red,Character,,6000,Straw Hat Crew;Impel Down,Strike,4,
693420,Monkey.D.Luffy (Alternate Art),MonkeyDLuffy Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/693420_200w.jpg,68,24664,https://cpt.tcgcsv.com/qnz7,2026-06-12T04:10:24.217,1,37.0,47.19,150.0,44.94,,Foil,SR,OP16-015,"If your Leader's card name includes ""Ace"" and you have 6 or more DON!! cards on your field, give this card in your hand -2 cost.
<br>[On Your Opponent's Attack] <strong>You may trash 1 Character card with 8000 power from your hand:</strong> Your Leader and this Character's base power becomes 7000 during this turn.",Red,Character,,6000,Straw Hat Crew;Impel Down,Strike,4,
