productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extPower,extSubtypes,extAttribute,extCounterplus,extLife
542502,Two Legends - Booster Pack,Two Legends Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/542502_200w.jpg,68,23462,https://cpt.tcgcsv.com/30m6,2024-09-13T04:08:26.533,1,8.0,9.82,14.99,9.49,,Normal,,,,,,,,,,,
542503,Two Legends - Sleeved Booster Pack,Two Legends Sleeved Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/542503_200w.jpg,68,23462,https://cpt.tcgcsv.com/50m6,2025-08-22T13:24:14.737,1,15.95,15.99,18.47,14.68,,Normal,,,,,,,,,,,
542504,Two Legends - Booster Box,Two Legends Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/542504_200w.jpg,68,23462,https://cpt.tcgcsv.com/60m6,2024-11-25T13:17:00.807,1,260.0,299.99,1000.0,248.17,,Normal,,,,,,,,,,,
542505,Two Legends - Booster Box Case,Two Legends Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/542505_200w.jpg,68,23462,https://cpt.tcgcsv.com/70m6,2024-11-25T13:17:17.13,1,2750.0,3150.0,4799.95,2414.99,,Normal,,,,,,,,,,,
558019,Portgas.D.Ace (SP),PortgasDAce SP,https://tcgplayer-cdn.tcgplayer.com/product/558019_200w.jpg,68,23462,https://cpt.tcgcsv.com/pdt6,2024-11-01T13:01:40.377,1,237.5,270.0,700.0,270.05,,Foil,SR,OP02-013,"[On Play] Give up to 2 of your opponent's Characters 3000 power during this turn. Then, if your Leader's type includes ""Whitebeard Piratess"", this Character gains [Rush] during this turn.<br>
(This card can attack on the turn in which it is played.)",Red,Character,7,7000,Whitebeard Pirates,Special,,
558020,Charlotte Pudding (SP),Charlotte Pudding SP,https://tcgplayer-cdn.tcgplayer.com/product/558020_200w.jpg,68,23462,https://cpt.tcgcsv.com/qdt6,2024-09-13T04:08:26.533,1,85.0,110.37,300.0,99.28,,Foil,R,OP03-112,"[On Play] Look at 4 cards from the top of your deck; reveal up to 1 [Sanji] or [Big Mom Pirates] type card other than [Charlotte Pudding] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Yellow,Character,1,2000,Big Mom Pirates,Wisdom,1000,
558021,Tony Tony.Chopper (001),Tony TonyChopper 001,https://tcgplayer-cdn.tcgplayer.com/product/558021_200w.jpg,68,23462,https://cpt.tcgcsv.com/rdt6,2024-09-13T04:08:26.533,1,0.05,0.25,5.0,0.28,,Normal,L,OP08-001,[Activate:Main] [Once Per Turn] Give up to 3 of your [Animal] or [Drum Kingdom] type Characters up to 1 rested DON!! card each.,Green;Red,Leader,1,5000,Animal;Straw Hat Crew;Drum Kingdom,Strike,,4
558022,Tony Tony.Chopper (001) (Parallel),Tony TonyChopper 001 Parallel,https://tcgplayer-cdn.tcgplayer.com/product/558022_200w.jpg,68,23462,https://cpt.tcgcsv.com/sdt6,2024-09-13T04:08:26.533,1,90.0,94.99,149.99,91.18,,Foil,L,OP08-001,[Activate:Main] [Once Per Turn] Give up to 3 of your [Animal] or [Drum Kingdom] type Characters up to 1 rested DON!! card each.,Green;Red,Leader,,5000,Animal;Straw Hat Crew;Drum Kingdom,Strike,,4
558023,Marco,Marco,https://tcgplayer-cdn.tcgplayer.com/product/558023_200w.jpg,68,23462,https://cpt.tcgcsv.com/tdt6,2024-09-18T20:11:47.143,1,0.01,0.17,5.0,0.13,,Normal,L,OP08-002,"[DON!! x1] [Activate: Main] [Once Per Turn] Draw 1 card and place 1 card from your hand at the top or bottom of your deck. Then, give up to 1 of your opponent's Characters -2000 power during this turn.",Blue;Red,Leader,,5000,Whitebeard Pirates,Special,,4
558024,Marco (Parallel),Marco Parallel,https://tcgplayer-cdn.tcgplayer.com/product/558024_200w.jpg,68,23462,https://cpt.tcgcsv.com/vdt6,2024-09-13T04:08:26.533,1,13.95,19.99,70.0,15.47,,Foil,L,OP08-002,"[DON!! x1] [Activate: Main] [Once Per Turn] Draw 1 card and place 1 card from your hand at the top or bottom of your deck. Then, give up to 1 of your opponent's Characters 2000 power during this turn.",Blue;Red,Leader,,5000,Whitebeard Pirates,Special,,4
