productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,extCost,extCounterplus
543595,Ultra Deck: The Three Brothers,Ultra Deck The Three Brothers,https://tcgplayer-cdn.tcgplayer.com/product/543595_200w.jpg,68,23349,https://cpt.tcgcsv.com/Wrm6,2024-04-19T04:03:15.757,1,71.0,87.24,154.95,79.29,,Normal,,,,,,,,,,,
543596,Ultra Deck: The Three Brothers Display,Ultra Deck The Three Brothers Display,https://tcgplayer-cdn.tcgplayer.com/product/543596_200w.jpg,68,23349,https://cpt.tcgcsv.com/Xrm6,2024-04-19T04:03:15.757,1,500.0,535.0,1199.99,440.01,,Normal,,,,,,,,,,,
543597,Ultra Deck: The Three Brothers Display Case,Ultra Deck The Three Brothers Display Case,https://tcgplayer-cdn.tcgplayer.com/product/543597_200w.jpg,68,23349,https://cpt.tcgcsv.com/Zrm6,2024-04-19T04:03:15.757,1,,,,,,,,,,,,,,,,,
543603,Sabo (001),Sabo 001,https://tcgplayer-cdn.tcgplayer.com/product/543603_200w.jpg,68,23349,https://cpt.tcgcsv.com/5sm6,2024-04-19T04:03:15.757,1,1.8,2.79,25.0,2.13,,Foil,L,ST13-001,[DON!! x1][Activate: Main][Once Per Turn] <strong>You may add 1 of your Characters with a cost of 3 or more and 7000 power or more to the top of your Life cards face-up</strong>: Up to 1 of your Characters gains +2000 power until the start of your next turn.,Red;Yellow,Leader,4,5000,Revolutionary Army;Dressrosa,Special,,
543604,Portgas.D.Ace (002),PortgasDAce 002,https://tcgplayer-cdn.tcgplayer.com/product/543604_200w.jpg,68,23349,https://cpt.tcgcsv.com/6sm6,2024-04-19T04:03:15.757,1,2.0,3.01,25.0,2.26,,Foil,L,ST13-002,"[DON!! x2][Activate: Main][Once Per Turn] Look at 5 cards from the top of your deck and add up to 1 Character card with a cost of 5 to the top of your Life cards face-up. Then, place the rest at the bottom of your deck in any order.
<br>
[End of Your Turn] Trash all your face-up Life cards.",Blue;Yellow,Leader,4,5000,Whitebeard Pirates,Special,,
543605,Monkey.D.Luffy (003),MonkeyDLuffy 003,https://tcgplayer-cdn.tcgplayer.com/product/543605_200w.jpg,68,23349,https://cpt.tcgcsv.com/7sm6,2024-04-19T04:03:15.757,1,7.22,9.99,69.21,8.25,,Foil,L,ST13-003,"Your face-up Life cards are placed at the bottom of your deck instead of being added to your hand, according to the rules.
<br>
[DON!! x2][Activate: Main][Once Per Turn]<strong>You may trash 1 card from your hand</strong>: If you have 0 Life cards, add up to 2 Character cards with a cost of 5 from your hand or trash to the top of your Life cards face-up.",Yellow,Leader,4,5000,Straw Hat Crew;Supernovas,Strike,,
543606,Edward.Newgate,EdwardNewgate,https://tcgplayer-cdn.tcgplayer.com/product/543606_200w.jpg,68,23349,https://cpt.tcgcsv.com/8sm6,2024-04-19T04:03:15.757,1,0.01,0.25,4.0,0.13,,Foil,C,ST13-004,"[On Play] Add 1 card from the top of your deck to the top of your Life cards. Then, look at all your Life cards; place 1 card at the top of your deck and place the rest back in your Life area in any order.",Yellow,Character,,7000,The Four Emperors;Whitebeard Pirates,Special,6,1000
543607,Emporio.Ivankov,EmporioIvankov,https://tcgplayer-cdn.tcgplayer.com/product/543607_200w.jpg,68,23349,https://cpt.tcgcsv.com/9sm6,2024-04-19T04:03:15.757,1,0.17,0.32,5.0,0.28,,Foil,R,ST13-005,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
[On Play] <strong>You may trash 1 card from the top or bottom of your Life cards</strong>: Reveal up to 1 Character card with a cost of 5 from your hand and add it to the top of your Life cards face-down.",Yellow,Character,,4000,Revolutionary Army,Special,3,1000
543608,Curly.Dadan,CurlyDadan,https://tcgplayer-cdn.tcgplayer.com/product/543608_200w.jpg,68,23349,https://cpt.tcgcsv.com/bsm6,2024-04-19T04:03:15.757,1,0.01,0.2,4.0,0.09,,Foil,C,ST13-006,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
[On Play] Play up to 1 each of [Sabo], [Portgas.D.Ace], and [Monkey.D.Luffy] with a cost of 2 from your hand.",Yellow,Character,,4000,Mountain Bandits,Slash,5,1000
543609,Sabo (007),Sabo 007,https://tcgplayer-cdn.tcgplayer.com/product/543609_200w.jpg,68,23349,https://cpt.tcgcsv.com/csm6,2024-04-19T04:03:15.757,1,0.05,0.25,4.0,0.2,,Foil,C,ST13-007,"[Activate: Main] <strong>You may trash this Character</strong>: Reveal 1 card from the top of your Life cards. If that card is a [Sabo] with a cost of 5, you may play that card. If you do, up to 1 of your Leader gains +2000 power until the end of your opponent's next turn.",Yellow,Character,,2000,Goa Kingdom,Strike,2,1000
543610,Sabo (008),Sabo 008,https://tcgplayer-cdn.tcgplayer.com/product/543610_200w.jpg,68,23349,https://cpt.tcgcsv.com/dsm6,2024-04-19T04:03:15.757,1,0.25,0.75,10.0,0.54,,Foil,SR,ST13-008,[On Play]<strong>You may trash 1 card from the top or bottom of your Life cards</strong>: K.O. up to 1 of your opponent's Characters with a cost of 5 or less.,Yellow,Character,,6000,Revolutionary Army;Dressrosa,Special,5,1000
543611,Shanks,Shanks,https://tcgplayer-cdn.tcgplayer.com/product/543611_200w.jpg,68,23349,https://cpt.tcgcsv.com/fsm6,2024-04-19T04:03:15.757,1,0.04,0.25,4.0,0.19,,Foil,C,ST13-009,"[On Play] <strong>You may turn 1 of your face-up Life cards face-down</strong>: If your opponent has 7 or more cards in their hand, trash up to 1 card from the top of your opponent's Life cards.",Yellow,Character,,7000,The Four Emperors;Red-Haired Pirates,Slash,7,
543612,Portgas.D.Ace (010),PortgasDAce 010,https://tcgplayer-cdn.tcgplayer.com/product/543612_200w.jpg,68,23349,https://cpt.tcgcsv.com/gsm6,2024-04-19T04:03:15.757,1,0.1,0.3,4.0,0.31,,Foil,C,ST13-010,"[Activate: Main] <strong>You may trash this Character</strong>: Reveal 1 card from the top of your Life cards. If that card is a [Portgas.D.Ace] with a cost of 5, you may play that card. If you do, up to 1 of your Leader gains +2000 power until the end of your opponent's next turn.",Yellow,Character,,2000,Goa Kingdom,Strike,2,1000
