productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extPower,extSubtypes,extCounterplus,extAttribute,extLife
515077,Wings of the Captain - Booster Pack,Wings of the Captain Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/515077_200w.jpg,68,23272,https://cpt.tcgcsv.com/z286,2024-03-15T04:03:11.733,1,11.0,11.5,23.28,11.54,,Normal,,,,,,,,,,,
515080,Wings of the Captain - Booster Box,Wings of the Captain Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/515080_200w.jpg,68,23272,https://cpt.tcgcsv.com/D286,2024-07-25T13:11:18.947,1,380.0,405.0,600.0,382.09,,Normal,,,,,,,,,,,
515081,Wings of the Captain - Booster Box Case,Wings of the Captain Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/515081_200w.jpg,68,23272,https://cpt.tcgcsv.com/F286,2024-11-25T13:17:41.217,1,4485.0,5700.0,7689.99,4143.33,,Normal,,,,,,,,,,,
539277,Monkey.D.Luffy,MonkeyDLuffy,https://tcgplayer-cdn.tcgplayer.com/product/539277_200w.jpg,68,23272,https://cpt.tcgcsv.com/zKk6,2024-03-15T04:03:11.733,1,0.05,0.25,14.99,0.22,,Foil,R,OP06-013,"[On Play] Look at 3 cards from the top of your deck; reveal up to 1 ""FILM"" type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.
<br>[Trigger] Activate this card's [On Play] effect.",Red,Character,3,3000,FILM;Straw Hat Crew,1000,Strike,
539278,Monkey.D.Luffy (Alternate Art),MonkeyDLuffy Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/539278_200w.jpg,68,23272,https://cpt.tcgcsv.com/BKk6,2024-03-15T04:03:11.733,1,18.89,27.76,98.0,26.82,,Foil,R,OP06-013,"[On Play] Look at 3 cards from the top of your deck; reveal up to 1 ""FILM"" type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.
<br>[Trigger] Activate this card's [On Play] effect.",Red,Character,3,3000,FILM;Straw Hat Crew,1000,Strike,
539279,Shuraiya (Alternate Art),Shuraiya Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/539279_200w.jpg,68,23272,https://cpt.tcgcsv.com/CKk6,2024-03-15T04:03:11.733,1,0.61,2.99,67.95,2.38,,Foil,SR,OP06-009,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>[When Attacking] / [On Block] [Once Per Turn] This Character's base power becomes the same as your opponent's Leader until the start of your next turn.",Red,Character,3,4000,FILM;Shipbuilding Town,1000,Strike,
539280,Shuraiya,Shuraiya,https://tcgplayer-cdn.tcgplayer.com/product/539280_200w.jpg,68,23272,https://cpt.tcgcsv.com/DKk6,2024-03-15T04:03:11.733,1,0.15,0.5,25.0,0.4,,Foil,SR,OP06-009,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>[When Attacking] / [On Block] [Once Per Turn] This Character's base power becomes the same as your opponent's Leader until the start of your next turn.",Red,Character,3,4000,FILM;Shipbuilding Town,1000,Strike,
539282,Shanks,Shanks,https://tcgplayer-cdn.tcgplayer.com/product/539282_200w.jpg,68,23272,https://cpt.tcgcsv.com/GKk6,2024-03-15T04:03:11.733,1,1.39,2.71,25.0,1.72,,Foil,SR,OP06-007,[On play] K.O. up to 1 of your opponent's Characters with 10000 power or less.,Red,Character,10,12000,FILM;The Four Emperors;Red-Haired Pirates,,Slash,
539283,Shanks (Alternate Art),Shanks Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/539283_200w.jpg,68,23272,https://cpt.tcgcsv.com/HKk6,2024-03-15T04:03:11.733,1,21.0,30.83,100.0,27.08,,Foil,SR,OP06-007,[On play] K.O. up to 1 of your opponent's Characters with 10000 power or less.,Red,Character,10,12000,FILM;The Four Emperors;Red-Haired Pirates,,Slash,
539285,Uta (Alternate Art),Uta Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/539285_200w.jpg,68,23272,https://cpt.tcgcsv.com/KKk6,2024-03-15T04:03:11.733,1,33.0,41.93,9999.0,34.94,,Foil,L,OP06-001,"[When Attacking] <strong>You may trash 1 ""FILM"" type card from your hand:</strong> Give up to 1 of your opponent's Characters -2000 power during this turn. Then, add up to 1 DON!! card from your DON!! deck and rest it.",Purple;Red,Leader,,5000,FILM,,Special,4
539287,Uta,Uta,https://tcgplayer-cdn.tcgplayer.com/product/539287_200w.jpg,68,23272,https://cpt.tcgcsv.com/MKk6,2024-03-15T04:03:11.733,1,0.05,0.2,5.0,0.18,,Normal,L,OP06-001,"[When Attacking] <strong>You may trash 1 ""FILM"" type card from your hand:</strong> Give up to 1 of your opponent's Characters -2000 power during this turn. Then, add up to 1 DON!! card from your DON!! deck and rest it.",Purple;Red,Leader,,5000,FILM,,Special,4
539290,Douglas Bullet,Douglas Bullet,https://tcgplayer-cdn.tcgplayer.com/product/539290_200w.jpg,68,23272,https://cpt.tcgcsv.com/QKk6,2024-03-15T04:03:11.733,1,0.01,0.2,8.49,0.11,,Foil,R,OP06-010,"If your Leader has the ""FILM"" type, this Character gains [Blocker].
<br><em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Red,Character,6,7000,FILM;The Pirates Fest,1000,Strike,
539292,Tot Musica,Tot Musica,https://tcgplayer-cdn.tcgplayer.com/product/539292_200w.jpg,68,23272,https://cpt.tcgcsv.com/SKk6,2024-03-15T04:03:11.733,1,0.01,0.2,5.0,0.1,,Foil,R,OP06-011,"[Activate:Main] [Once Per Turn] <strong>You may rest 1 of your [Uta]
cards:</strong> This Character gains +5000 power during this turn.",Red,Character,5,6000,FILM,1000,Special,
539489,Yamato,Yamato,https://tcgplayer-cdn.tcgplayer.com/product/539489_200w.jpg,68,23272,https://cpt.tcgcsv.com/PPk6,2024-03-15T04:03:11.733,1,0.07,0.24,5.0,0.19,,Normal,L,OP06-022,"[Double Attack] <em>(This card deals 2 damage.)</em>
<br>[Activate:Main] [Once Per Turn] If your opponent has 3 or less Life cards, give up to 2 rested DON!! cards to 1 of your Characters.",Green;Yellow,Leader,,5000,Land of Wano,,Strike,4
539490,Yamato (Alternate Art),Yamato Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/539490_200w.jpg,68,23272,https://cpt.tcgcsv.com/QPk6,2024-03-15T04:03:11.733,1,70.69,81.37,450.0,72.43,,Foil,L,OP06-022,"[Double Attack] <em>(This card deals 2 damage.)</em>
<br>[Activate:Main] [Once Per Turn] If your opponent has 3 or less Life cards, give up to 2 rested DON!! cards to 1 of your Characters.",Green;Yellow,Leader,,5000,Land of Wano,,Strike,4
539491,O-Nami,O Nami,https://tcgplayer-cdn.tcgplayer.com/product/539491_200w.jpg,68,23272,https://cpt.tcgcsv.com/RPk6,2024-03-15T04:03:11.733,1,0.59,1.25,25.0,0.84,,Foil,R,OP06-101,"[On Play] Up to 1 of your Leader or Character cards gains [Banish] during this turn.
<br><em>(When this card deals damage, the target card is trashed without activating its Trigger.)</em>
<br>[Trigger] K.O. up to 1 of your opponent's Characters with a cost of 5 or less.",Yellow,Character,2,3000,Straw Hat Crew,1000,Special,
539492,O-Nami (Alternate Art),O Nami Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/539492_200w.jpg,68,23272,https://cpt.tcgcsv.com/SPk6,2024-03-15T04:03:11.733,1,22.0,35.0,149.0,26.01,,Foil,R,OP06-101,"[On Play] Up to 1 of your Leader or Character cards gains [Banish] during this turn.
<br><em>(When this card deals damage, the target card is trashed without activating its Trigger.)</em>
<br>[Trigger] K.O. up to 1 of your opponent's Characters with a cost of 5 or less.",Yellow,Character,2,3000,Straw Hat Crew,1000,Special,
539499,Kouzuki Momonosuke,Kouzuki Momonosuke,https://tcgplayer-cdn.tcgplayer.com/product/539499_200w.jpg,68,23272,https://cpt.tcgcsv.com/_Pk6,2024-03-15T04:03:11.733,1,0.22,0.54,25.0,0.4,,Foil,SR,OP06-107,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>[On Play] Add up to 1 of your ""Land of Wano"" type Characters other than [Kouzuki Momonosuke] to the top or bottom of the owner's Life cards face-up.",Yellow,Character,5,6000,Land of Wano;Kouzuki Clan,,Wisdom,
539500,Kouzuki Momonosuke (Alternate Art),Kouzuki Momonosuke Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/539500_200w.jpg,68,23272,https://cpt.tcgcsv.com/0Qk6,2024-03-15T04:03:11.733,1,2.38,6.66,50.0,5.52,,Foil,SR,OP06-107,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>[On Play] Add up to 1 of your ""Land of Wano"" type Characters other than [Kouzuki Momonosuke] to the top or bottom of the owner's Life cards face-up.",Yellow,Character,5,6000,Land of Wano;Kouzuki Clan,,Wisdom,
539501,Kouzuki Hiyori,Kouzuki Hiyori,https://tcgplayer-cdn.tcgplayer.com/product/539501_200w.jpg,68,23272,https://cpt.tcgcsv.com/2Qk6,2024-03-15T04:03:11.733,1,2.2,5.0,31.98,3.26,,Foil,SR,OP06-106,[On Play] <strong>You may add 1 card from the top or bottom of your Life cards to your hand:</strong> Add up to 1 card from your hand to the top of your Life cards.,Yellow,Character,2,0,Land of Wano;Kouzuki Clan,2000,Wisdom,
539502,Kouzuki Hiyori (Alternate Art),Kouzuki Hiyori Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/539502_200w.jpg,68,23272,https://cpt.tcgcsv.com/3Qk6,2024-03-15T04:03:11.733,1,20.97,25.08,98.99,21.88,,Foil,SR,OP06-106,[On Play] <strong>You may add 1 card from the top or bottom of your Life cards to your hand:</strong> Add up to 1 card from your hand to the top of your Life cards.,Yellow,Character,2,0,Land of Wano;Kouzuki Clan,2000,Wisdom,
539503,Kikunojo,Kikunojo,https://tcgplayer-cdn.tcgplayer.com/product/539503_200w.jpg,68,23272,https://cpt.tcgcsv.com/5Qk6,2024-03-15T04:03:11.733,1,0.89,1.99,45.0,1.17,,Foil,R,OP06-104,"[On K.O.] If your opponent has 3 or less Life cards, add up to 1 card from the top of your deck to the top of your Life cards.
<br>[Trigger] If your opponent has 3 or less Life cards, play this card.",Yellow,Character,4,6000,Land of Wano;The Akazaya Nine,,Slash,
